Plate	Cell Type	Day	Dose	Molecule	Rep	CTG Signal
Plate01: A1	HBL-1	D5	1000	(+)-Abscisic Acid	1	699787
Plate01: A1	HBL-1	D5	1000	Ellagic Acid	1	1025126
Plate01: A1	HBL-1	D5	1000	coumarin-SAHA	1	187705
Plate01: A1	HBL-1	D5	1000	UNC0631	1	1187227
Plate01: A1	HBL-1	D5	1000	Decitabine	1	359807
Plate01: A1	HBL-1	D5	1000	DMSO	1	731410
Plate01: A1	HBL-1	D5	1000	3-amino Benzamide	1	1048647
Plate01: A1	HBL-1	D5	1000	Scriptaid	1	316205
Plate01: A1	HBL-1	D5	1000	I-BET762	1	389304
Plate01: A1	HBL-1	D5	1000	UNC0646	1	1397638
Plate01: A1	HBL-1	D5	1000	I-BET151	1	217072
Plate01: A1	HBL-1	D5	1000	DMSO	1	1021044
Plate01: A1	HBL-1	D5	1000	SB939	1	4875
Plate01: A1	HBL-1	D5	1000	Suberohydroxamic Acid	1	1266592
Plate01: A1	HBL-1	D5	1000	UNC0638	1	1260500
Plate01: A1	HBL-1	D5	1000	Methylstat (hydrate)	1	1328684
Plate01: A1	HBL-1	D5	1000	(+)-JQ1	1	122669
Plate01: A1	HBL-1	D5	1000	DMSO	1	1112515
Plate01: A1	HBL-1	D5	1000	PCI 34051	1	1113474
Plate01: A1	HBL-1	D5	1000	Apicidin	1	7266
Plate01: A1	HBL-1	D5	1000	Phthalazinone pyrazole	1	1366504
Plate01: A1	HBL-1	D5	1000	3-Deazaneplanocin A (hydrochloride)	1	427260
Plate01: A1	HBL-1	D5	1000	(−)-JQ1	1	1315093
Plate01: A1	HBL-1	D5	1000	DMSO	1	1067499
Plate01: A1	HBL-1	D5	1000	4-iodo-SAHA	1	5653
Plate01: A1	HBL-1	D5	1000	Unused	1	1251634
Plate01: A1	HBL-1	D5	1000	Isoliquiritigenin	1	1223251
Plate01: A1	HBL-1	D5	1000	Suramin (sodium salt)	1	1248456
Plate01: A1	HBL-1	D5	1000	BSI-201	1	1272669
Plate01: A1	HBL-1	D5	1000	DMSO	1	1176459
Plate01: A1	HBL-1	D5	1000	Sirtinol	1	1124572
Plate01: A1	HBL-1	D5	1000	UNC0321 (trifluoroacetate salt)	1	1218077
Plate01: A1	HBL-1	D5	1000	CCG-100602	1	1140244
Plate01: A1	HBL-1	D5	1000	Nicotinamide	1	1152236
Plate01: A1	HBL-1	D5	1000	Sodium 4-Phenylbutyrate	1	1166527
Plate01: A1	HBL-1	D5	1000	DMSO	1	1098285
Plate01: A1	HBL-1	D5	1000	4-pentynoyl-Coenzyme A (trifluoroacetate salt)	1	1132803
