cell_type	day	molecule	dose	log2FC	pinhib	pval	padj	log10padj	hit
HBL-1	D5	(-)-Neplanocin A	100	-0.0345705722691413	0.976322326334263	0.560363023168325	0.622941634892706	0.205552641673802	Not a hit
HBL-1	D5	(-)-Neplanocin A	500	-0.539632808356202	0.687945981323307	1.37588410205123e-61	1.58588746499589e-60	59.7997276335791	Not a hit
HBL-1	D5	(-)-Neplanocin A	1000	-0.963717738443801	0.512733924909687	1.38017929925677e-06	8.16916936587115e-06	5.08782209991286	Not a hit
HBL-1	D5	(+)-Abscisic Acid	100	-0.898086779268678	0.53659786543218	0.00154852145464399	0.00554233818027468	2.25630697813043	Not a hit
HBL-1	D5	(+)-Abscisic Acid	500	-0.473187766849954	0.720371111972146	0.124241197934711	0.178418507198044	0.748560098630825	Not a hit
HBL-1	D5	(+)-Abscisic Acid	1000	-0.619011623838016	0.65111684869504	0.0394184545736999	0.0753942493593037	1.12266177835789	Not a hit
HBL-1	D5	(+)-JQ1	100	-0.544461940249582	0.685647070038739	7.67105174384962e-08	4.79988666258019e-07	6.31876901729048	Not a hit
HBL-1	D5	(+)-JQ1	500	-2.2761216148448	0.206452012217841	7.6398144003639e-22	6.97133064033206e-21	20.1566843188032	Hit
HBL-1	D5	(+)-JQ1	1000	-3.14645733961676	0.11293328490356	1.77422529463222e-158	2.87818770018116e-157	156.540880887086	Hit
HBL-1	D5	(±)-EX-527	100	0.319156142238937	1.24760059186133	0.0613299234316246	0.107450025852206	0.968793475682364	Not a hit
HBL-1	D5	(±)-EX-527	500	0.278422616781729	1.21286805929786	0.0747583724187134	0.123253915247532	0.909199276161145	Not a hit
HBL-1	D5	(±)-EX-527	1000	0.0524980068395129	1.03705902375672	0.53663961201444	0.602687564262371	0.219907769587256	Not a hit
HBL-1	D5	(−)-JQ1	100	0.455110149696047	1.37088746817551	0.0058939297212544	0.0183088029638966	1.73734004909909	Not a hit
HBL-1	D5	(−)-JQ1	500	0.345289115594049	1.27040554586876	0.00618665690394002	0.0188177480828176	1.7254323497569	Not a hit
HBL-1	D5	(−)-JQ1	1000	0.142559611177061	1.10386183718848	0.0731854689638409	0.122816993893342	0.910741536749574	Not a hit
HBL-1	D5	(R)-PFI-2 (hydrochloride)	100	0.0313003591242838	1.02193281990981	0.811787912071722	0.850629438965106	0.0702595911037046	Not a hit
HBL-1	D5	(R)-PFI-2 (hydrochloride)	500	0.289825073861651	1.22249204208378	0.000326978265967896	0.00140408314209744	2.85260717490917	Not a hit
HBL-1	D5	(R)-PFI-2 (hydrochloride)	1000	-0.047236936797599	0.96778807199984	0.679051066233154	0.735477265873182	0.133430747081144	Not a hit
