Plate	Cell Type	Day	Dose	Molecule	Rep	CTG Signal
Plate01: A1	OCI-Ly1	D5	1000	(+)-Abscisic Acid	1	48859
Plate01: A1	OCI-Ly1	D5	1000	Ellagic Acid	1	742644
Plate01: A1	OCI-Ly1	D5	1000	coumarin-SAHA	1	235354
Plate01: A1	OCI-Ly1	D5	1000	UNC0631	1	800721
Plate01: A1	OCI-Ly1	D5	1000	Decitabine	1	159305
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	219093
Plate01: A1	OCI-Ly1	D5	1000	3-amino Benzamide	1	718614
Plate01: A1	OCI-Ly1	D5	1000	Scriptaid	1	447848
Plate01: A1	OCI-Ly1	D5	1000	I-BET762	1	251880
Plate01: A1	OCI-Ly1	D5	1000	UNC0646	1	1310793
Plate01: A1	OCI-Ly1	D5	1000	I-BET151	1	222844
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	994464
Plate01: A1	OCI-Ly1	D5	1000	SB939	1	18486
Plate01: A1	OCI-Ly1	D5	1000	Suberohydroxamic Acid	1	1168846
Plate01: A1	OCI-Ly1	D5	1000	UNC0638	1	1470574
Plate01: A1	OCI-Ly1	D5	1000	Methylstat (hydrate)	1	1224057
Plate01: A1	OCI-Ly1	D5	1000	(+)-JQ1	1	196533
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	1136459
Plate01: A1	OCI-Ly1	D5	1000	PCI 34051	1	864833
Plate01: A1	OCI-Ly1	D5	1000	Apicidin	1	18588
Plate01: A1	OCI-Ly1	D5	1000	Phthalazinone pyrazole	1	225438
Plate01: A1	OCI-Ly1	D5	1000	3-Deazaneplanocin A (hydrochloride)	1	38539
Plate01: A1	OCI-Ly1	D5	1000	(−)-JQ1	1	1489938
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	1264494
Plate01: A1	OCI-Ly1	D5	1000	4-iodo-SAHA	1	76611
Plate01: A1	OCI-Ly1	D5	1000	Unused	1	1347580
Plate01: A1	OCI-Ly1	D5	1000	Isoliquiritigenin	1	1465720
Plate01: A1	OCI-Ly1	D5	1000	Suramin (sodium salt)	1	1468009
Plate01: A1	OCI-Ly1	D5	1000	BSI-201	1	1238596
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	1189847
Plate01: A1	OCI-Ly1	D5	1000	Sirtinol	1	928415
Plate01: A1	OCI-Ly1	D5	1000	UNC0321 (trifluoroacetate salt)	1	1304443
Plate01: A1	OCI-Ly1	D5	1000	CCG-100602	1	1352836
Plate01: A1	OCI-Ly1	D5	1000	Nicotinamide	1	1350187
Plate01: A1	OCI-Ly1	D5	1000	Sodium 4-Phenylbutyrate	1	1273992
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	1144554
Plate01: A1	OCI-Ly1	D5	1000	4-pentynoyl-Coenzyme A (trifluoroacetate salt)	1	897141
Plate01: A1	OCI-Ly1	D5	1000	(-)-Neplanocin A	1	29864
Plate01: A1	OCI-Ly1	D5	1000	CAY10669	1	1448616
Plate01: A1	OCI-Ly1	D5	1000	2,4-Pyridinedicarboxylic Acid (hydrate)	1	1289793
Plate01: A1	OCI-Ly1	D5	1000	Rucaparib (phosphate)	1	1370725
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	1118899
Plate01: A1	OCI-Ly1	D5	1000	C646	1	891160
Plate01: A1	OCI-Ly1	D5	1000	Cl-Amidine (hydrochloride)	1	1501542
Plate01: A1	OCI-Ly1	D5	1000	Zebularine	1	1468792
Plate01: A1	OCI-Ly1	D5	1000	PFI-1	1	538323
Plate01: A1	OCI-Ly1	D5	1000	IOX1	1	1451542
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	1070392
Plate01: A1	OCI-Ly1	D5	1000	Tubastatin A (trifluoroacetate salt)	1	780409
Plate01: A1	OCI-Ly1	D5	1000	F-Amidine (trifluoroacetate salt)	1	1375712
Plate01: A1	OCI-Ly1	D5	1000	Delphinidin (chloride)	1	1496043
Plate01: A1	OCI-Ly1	D5	1000	5-Azacytidine	1	1159699
Plate01: A1	OCI-Ly1	D5	1000	MI-2 (hydrochloride)	1	1447177
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	1047531
Plate01: A1	OCI-Ly1	D5	1000	Garcinol	1	480573
Plate01: A1	OCI-Ly1	D5	1000	JGB1741	1	1021106
Plate01: A1	OCI-Ly1	D5	1000	ITF 2357	1	11764
Plate01: A1	OCI-Ly1	D5	1000	SGI-1027	1	184305
Plate01: A1	OCI-Ly1	D5	1000	MI-nc (hydrochloride)	1	952805
Plate01: A1	OCI-Ly1	D5	1000	DMSO	1	564787
Plate02: A2	OCI-Ly1	D5	1000	(+)-Abscisic Acid	2	36805
Plate02: A2	OCI-Ly1	D5	1000	Ellagic Acid	2	749317
Plate02: A2	OCI-Ly1	D5	1000	coumarin-SAHA	2	194157
Plate02: A2	OCI-Ly1	D5	1000	UNC0631	2	830722
Plate02: A2	OCI-Ly1	D5	1000	Decitabine	2	184813
Plate02: A2	OCI-Ly1	D5	1000	DMSO	2	173846
Plate02: A2	OCI-Ly1	D5	1000	3-amino Benzamide	2	785794
Plate02: A2	OCI-Ly1	D5	1000	Scriptaid	2	456798
Plate02: A2	OCI-Ly1	D5	1000	I-BET762	2	260956
Plate02: A2	OCI-Ly1	D5	1000	UNC0646	2	1329972
Plate02: A2	OCI-Ly1	D5	1000	I-BET151	2	250260
Plate02: A2	OCI-Ly1	D5	1000	DMSO	2	1028614
Plate02: A2	OCI-Ly1	D5	1000	SB939	2	18383
Plate02: A2	OCI-Ly1	D5	1000	Suberohydroxamic Acid	2	1177755
Plate02: A2	OCI-Ly1	D5	1000	UNC0638	2	1717510
Plate02: A2	OCI-Ly1	D5	1000	Methylstat (hydrate)	2	1314756
Plate02: A2	OCI-Ly1	D5	1000	(+)-JQ1	2	197436
Plate02: A2	OCI-Ly1	D5	1000	DMSO	2	1169130
Plate02: A2	OCI-Ly1	D5	1000	PCI 34051	2	901081
Plate02: A2	OCI-Ly1	D5	1000	Apicidin	2	15818
