cell_type	day	molecule	dose	log2FC	pinhib	pval	padj	log10padj	hit
OCI-Ly1	D5	(-)-Neplanocin A	100	-3.36157366609144	0.0972893930192111	6.75803085427617e-39	6.29790960462333e-38	37.2008035771855	Hit
OCI-Ly1	D5	(-)-Neplanocin A	500	-5.14039167423194	0.0283522752593304	4.1910643987421e-108	7.06033156403477e-107	106.151174903332	Hit
OCI-Ly1	D5	(-)-Neplanocin A	1000	-5.01227884291026	0.03098515847085	3.1248356198072e-120	6.51751429274073e-119	118.185918007762	Hit
OCI-Ly1	D5	(+)-Abscisic Acid	100	-4.43784354704066	0.0461398285366569	3.53582966974268e-35	3.03665371636724e-34	33.5176047298616	Hit
OCI-Ly1	D5	(+)-Abscisic Acid	500	-3.62691386434833	0.0809450200809874	3.33378426797743e-06	1.48999745854501e-05	4.82681447235338	Hit
OCI-Ly1	D5	(+)-Abscisic Acid	1000	-4.74439025069895	0.0373075065068233	8.52560630964971e-43	8.48685355369676e-42	41.0712532917989	Hit
OCI-Ly1	D5	(+)-JQ1	100	-1.09075673759123	0.469515035037212	2.5434162302718e-08	1.26592762370346e-07	6.89759112332714	Hit
OCI-Ly1	D5	(+)-JQ1	500	-2.28713223748477	0.204882371522373	7.04831723406395e-08	3.38002021126187e-07	6.47108070279535	Hit
OCI-Ly1	D5	(+)-JQ1	1000	-2.23243003640339	0.21279998637746	1.80257955073035e-101	2.81974944007105e-100	99.5497894809108	Hit
OCI-Ly1	D5	(±)-EX-527	100	0.941362998000818	1.92034164045519	9.92289111100884e-05	0.000362185525551823	3.44106890989877	Not a hit
OCI-Ly1	D5	(±)-EX-527	500	0.670741233415108	1.5918906451444	2.61680877595248e-11	1.48852239463271e-10	9.8272446270621	Not a hit
OCI-Ly1	D5	(±)-EX-527	1000	0.451501576712626	1.36746279028798	0.0366619793916607	0.0524769508939457	1.28003140702424	Not a hit
OCI-Ly1	D5	(−)-JQ1	100	1.01466695803725	2.02043642724957	1.35578334747119e-53	1.48458276548095e-52	51.828395585478	Not a hit
OCI-Ly1	D5	(−)-JQ1	500	0.49171945957345	1.4061197451786	0.202873348094115	0.234455214947816	0.62994010287876	Not a hit
OCI-Ly1	D5	(−)-JQ1	1000	0.744837170705579	1.67578512173343	0.0017450105640339	0.00454949182765981	2.34203711076453	Not a hit
OCI-Ly1	D5	(R)-PFI-2 (hydrochloride)	100	0.225634699595678	1.16929155382242	0.103921311434964	0.131553567654665	0.880897369610017	Not a hit
OCI-Ly1	D5	(R)-PFI-2 (hydrochloride)	500	0.224984312349695	1.16876453952118	0.00634227156595692	0.0124014060084336	1.90652907394354	Not a hit
OCI-Ly1	D5	(R)-PFI-2 (hydrochloride)	1000	-0.0848315867220336	0.942894598472991	0.481537633469794	0.508225261348843	0.293943752131478	Not a hit
OCI-Ly1	D5	(S)-HDAC-42	100	-0.49120571075558	0.711430282084516	0.00388312876876487	0.00850405200359507	2.07037409269862	Not a hit
OCI-Ly1	D5	(S)-HDAC-42	500	-1.86612070981381	0.274310032005552	1.26035401349288e-31	1.04157558096204e-30	29.9823092103981	Hit
OCI-Ly1	D5	(S)-HDAC-42	1000	-3.53882865007949	0.0860411936666035	1.02907445198612e-116	1.95971569552139e-115	114.707806929063	Hit
OCI-Ly1	D5	2,4-DPD	100	0.923043437202884	1.8961110182189	2.86792972159844e-05	0.000114195747096374	3.9423500698815	Not a hit
