name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
AC0004:ZSCAN:C2H2_ZF	2.99987235026135	0.698050308386735	3.47183357090663	5.89388899314061e-06	1.29462320297606e-05
AC0005:POU3F/POU1F:Homeodomain,POU	2.16278459474547	0.588301460490848	2.58199640111293	0.00286069499478629	0.00478284176293666
AC0006:MEOX:Homeodomain	3.09623053772098	0.47147791489767	3.38808698164984	2.51522166006638e-06	5.76329567432475e-06
AC0011:POU6F/NKX:Homeodomain	2.28030448677092	0.325316060415135	2.76447271776034	0.00136989952660173	0.0023394798885933
AC0013:SIX:Homeodomain	2.41920706468284	0.160420254679681	2.71788990910677	0.000542591061210455	0.000996053331386339
AC0015:RUNX:Runt	3.90028957681388	1.03782988177591	4.56193996010074	6.775152481461e-10	2.56891198255396e-09
AC0016:KLF:C2H2_ZF	2.58150345494229	0.0836468606528464	2.69350525961034	0.000170352616591572	0.000328832172026762
AC0017:RUNX:Runt	1.73551265066617	0.360108259610189	2.05201511378078	0.0288158929942163	0.0404311097738232
AC0018:ZBTB:C2H2_ZF	4.02546118524161	0.97393218078562	5.00206276477397	1.57691287593022e-10	6.60850988136544e-10
AC0019:AIRE:SAND	2.90198325771813	0.978507567633231	3.445313451665	1.35938891138314e-05	2.92544167753738e-05
AC0021:ZNF:C2H2_ZF	4.60387677551278	1.15486566062571	5.50769705747757	1.00588618277659e-13	6.16105286950664e-13
AC0022:ZNF:C2H2_ZF	3.50824843072589	0.808917862132241	4.17079593834891	4.7762784456918e-08	1.39563732564481e-07
AC0023:ZNF:C2H2_ZF	4.8564146621291	1.21341702706323	5.49564497287045	2.94259507742282e-15	2.31411489422017e-14
AC0024:ZNF:C2H2_ZF	4.03553566159691	0.547286342635455	4.49598850561414	1.39941791288587e-10	5.94286140338867e-10
AC0025:ZNF:C2H2_ZF	6.57107268297433	1.12489795780059	7.45205967922645	6.80537345183894e-28	2.55001346401259e-26
AC0026:ZKSCAN:C2H2_ZF	4.11608899698564	1.35230433707381	4.77199684726854	5.32650756876337e-11	2.47663162138852e-10
AC0027:ZNF:C2H2_ZF	4.97633926174854	0.6841648418563	5.48724944771033	5.1389088029768e-16	4.61054212323411e-15
AC0028:KLF:C2H2_ZF	6.43201786112152	1.62813259467689	7.32966804761	1.00370372340445e-26	3.19679635904316e-25
AC0029:ZNF:C2H2_ZF	3.24804738170763	0.382413104426024	3.95817202217013	6.20382254602877e-07	1.53171897744974e-06
AC0030:ZNF:C2H2_ZF	2.68473174814163	0.596179863144929	3.23331392288018	7.81262095018223e-05	0.000157988556992574
AC0033:PRDM:C2H2_ZF	3.02566958357003	1.07501453605593	3.49522697731012	4.70556816279716e-06	1.04440659223059e-05
AC0034:NR2F/NR1H:Nuclear_receptor	3.56154352994865	0.642188119004801	3.91030239321978	2.75333907117754e-08	8.27300466198158e-08
