baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
(CATTC)n:Satellite:Satellite	24.3300613893999	5.40434384673051	0.797267083137687	6.7785864499277	1.21357352559107e-11	1.37624668595774e-10
(GAATG)n:Satellite:Satellite	54.0647720121285	1.41743818207742	0.277352090890563	5.11060932523024	3.21121420517996e-07	2.39996009018712e-06
6kbHsap:acro:Satellite	35.7824883574001	0.291431423341765	0.313918902939379	0.928365321785171	0.353218100568676	0.581430607817162
7SK:RNA:RNA	38110.56011248	0.88904154821746	0.0947326791572688	9.38473983979207	6.30719545747005e-21	1.28658976564021e-19
ACRO1:acro:Satellite	51.1536006669511	3.75528715316957	0.373230001084878	10.0615897496288	8.16687570076923e-24	1.95672402244467e-22
ALR/Alpha:centr:Satellite	1270.60895299695	-0.105687325897926	0.0644758578503739	-1.63917673097409	0.101176458437772	0.244582273893345
Alu:Alu:SINE	1543.96151338723	-0.0238161842252127	0.0644832837480771	-0.369338886621495	0.711875143971161	0.851121807777068
AluJb:Alu:SINE	145101.173249748	0.0534923410362146	0.146264218511986	0.365724040920036	0.714571005041224	0.852210108967113
AluJo:Alu:SINE	81973.7322353504	0.00828208314386576	0.119498542224228	0.0693069805682247	0.944745269411214	0.975572458874809
AluJr4:Alu:SINE	21317.0399807326	-0.0417655328025962	0.0843902840860018	-0.494909257089751	0.620664175948506	0.799231346816554
AluJr:Alu:SINE	90373.7708343079	0.0215994768510196	0.106497395766931	0.202816948672529	0.839278110122686	0.927482407832067
AluSc5:Alu:SINE	5506.98826312941	0.408614029793622	0.395090116821108	1.03422994500932	0.301028678163885	0.528647442411469
AluSc8:Alu:SINE	19456.1883528386	0.485512472403243	0.359129969504985	1.3519129942635	0.176403150152305	0.369378082922363
AluSc:Alu:SINE	29869.3500028507	0.453091576380536	0.353274819622026	1.28254704613622	0.199650812478137	0.402946539623829
AluSg4:Alu:SINE	7002.45932804587	0.437955609564726	0.417176853118665	1.04980802815575	0.293806383444347	0.519965484619424
AluSg7:Alu:SINE	8702.76495496754	0.380568031102419	0.417454744273372	0.911639013145823	0.361958778124465	0.5911933558023
AluSg:Alu:SINE	39446.0207220386	0.431366773444252	0.360847913810864	1.1954254325282	0.231920853978216	0.446102680764778
AluSp:Alu:SINE	57190.6743597435	0.421124078341192	0.346322958995818	1.21598660268515	0.223990025594562	0.43668772145792
AluSq10:Alu:SINE	1638.67929225163	0.368572770781049	0.393908326319439	0.935681594306174	0.349437149924803	0.577672494335743
AluSq2:Alu:SINE	61892.7214143363	0.386448171947062	0.326418020564417	1.18390575152329	0.236450373180826	0.4517293605932
AluSq4:Alu:SINE	2249.1528405017	0.408351735128468	0.416289296000508	0.980932584747435	0.326625987485817	0.55337446807574
AluSq:Alu:SINE	21679.3495811244	0.408359978096649	0.405736840105799	1.00646512155555	0.314191881341905	0.542646400653688
AluSx1:Alu:SINE	121472.067973869	0.394018053111562	0.326627896281121	1.20632088562466	0.227693787632927	0.441477496308584
AluSx3:Alu:SINE	29990.8599043352	0.37148393634658	0.322470903190248	1.15199211051738	0.249324315332923	0.468028700804384
AluSx4:Alu:SINE	10956.0735265893	0.429070568371682	0.422692765977654	1.0150885061382	0.310063640039968	0.537815856235281
AluSx:Alu:SINE	124280.020499049	0.350561444653961	0.307711045516369	1.13925531683689	0.254596679432355	0.473652191507765
AluSz6:Alu:SINE	53969.6986147066	0.166821580225401	0.217826951426447	0.765844534539753	0.443768811909982	0.669453234708419
AluSz:Alu:SINE	113549.412071962	0.305149249079323	0.290422438751659	1.05070823862979	0.293392610999128	0.519484369383816
AluY:Alu:SINE	80975.017689927	0.614752367992084	0.416216041957896	1.47700306095908	0.139674816767635	0.311899082464106
AluYa5:Alu:SINE	1627.92199697331	0.930550362728217	0.554663883292977	1.67768335158879	0.0934089312199999	0.229818060501246
AluYa8:Alu:SINE	93.1935694505885	0.401198466544318	0.214137628874698	1.87355425878503	0.0609918875906635	0.163279436436439
AluYb10:Alu:SINE	4.09313422131792	0.566834977715093	0.938435819336566	0.604021038024551	0.545829655207084	0.746133284694696
AluYb8:Alu:SINE	868.772601947194	0.576929168028559	0.39624777671864	1.45598083301856	0.145397918215572	0.320958792394386
AluYb8a1:Alu:SINE	5.47569601879153	0.44302843378414	0.841748162217806	0.526319454760513	0.598666268037217	0.78301755466692
AluYb9:Alu:SINE	93.683750049086	0.555761196056073	0.420237247770435	1.32249389839825	0.186003739819409	0.382742486234267
AluYc3:Alu:SINE	558.658372856164	0.49436960841695	0.418555805169728	1.18113188805607	0.237550333930914	0.45302525073734
AluYc:Alu:SINE	2436.29706213755	0.550295403048509	0.392175196273738	1.40318767805092	0.160560880996241	0.343921824677515
AluYd8:Alu:SINE	105.439208581556	0.559565170377161	0.226545501451308	2.4699902085561	0.0135116750411419	0.0462039259451297
AluYe5:Alu:SINE	734.407992712311	0.598287310272642	0.42062751495782	1.42236845902161	0.154919314553217	0.33497387100559
AluYe6:Alu:SINE	132.530753443846	0.838030301265738	0.579516578296606	1.44608512103138	0.148153328454244	0.324825821424893
AluYf1:Alu:SINE	1428.07908640371	0.593573809567246	0.537860657762916	1.10358287225553	0.269774124362618	0.492733755779901
AluYg6:Alu:SINE	341.10551746031	0.381324796139	0.282704161957129	1.34884747893038	0.177385960871265	0.37071694272892
AluYh3:Alu:SINE	1454.43117009187	0.618655988428908	0.424403622806057	1.45770666220637	0.144921414825916	0.320116239249847
AluYh3a3:Alu:SINE	315.968308727941	0.177367036092144	0.287860717918294	0.616155748428612	0.537791731164755	0.739811708346905
AluYh7:Alu:SINE	33.2006318735143	1.04673505870387	0.345215006141574	3.03212502377317	0.00242838600985697	0.0100909117947437
AluYh9:Alu:SINE	42.5868828489814	0.0567998342099866	0.306394208003389	0.185381553326747	0.852929775964805	0.933798097084994
AluYi6:Alu:SINE	172.554717405406	0.298890431396015	0.390742794969999	0.764928836164371	0.444313921724971	0.669631631698954
AluYi6_4d:Alu:SINE	55.0576451727368	0.109778232918534	0.533286741951695	0.205852169729128	0.836906388223407	0.926228509881141
AluYj4:Alu:SINE	1775.23928008887	0.627062347129313	0.422537702075459	1.48403880659466	0.137798625758743	0.308567015157425
AluYk11:Alu:SINE	392.247580629418	0.198581309674405	0.113767111961839	1.74550717030608	0.0808966254239025	0.205336191383392
AluYk12:Alu:SINE	83.7006337270524	0.413411910142113	0.261077770835873	1.58348184458034	0.113311681534691	0.266319240177995
AluYk2:Alu:SINE	548.034808639791	0.497142256155764	0.442367481105306	1.12382188427051	0.261088595557482	0.482346592312757
AluYk3:Alu:SINE	899.553441876583	0.583768006109931	0.473247875968467	1.23353539604439	0.217376079238911	0.429000635674567
AluYk4:Alu:SINE	711.590419511296	0.466125939624471	0.43222763395879	1.07842697459023	0.280843254458277	0.504828045002541
AluYm1:Alu:SINE	3326.0989097886	0.527242581699366	0.477923000718664	1.10319566312259	0.26994220429478	0.492986084499541
AmnL2-1:L2:LINE	984.929509771048	-0.638948663288016	0.0798301599964	-8.00385046599969	1.20587815020283e-15	1.81399314065215e-14
AmnSINE1:5S-Deu-L2:SINE	1142.46417472641	0.0611415663686661	0.0654782623423275	0.933768920882647	0.350423104432273	0.578663596612371
Arthur1:hAT-Tip100:DNA	637.872837408097	0.0646672716668975	0.0849017164847243	0.761672135080244	0.446255710103178	0.671421634711321
Arthur1A:hAT-Tip100:DNA	329.088702524425	0.0219719926894233	0.111688175941832	0.196726220158403	0.844041790317009	0.929504019395071
Arthur1B:hAT-Tip100:DNA	501.937864361515	0.184509043316291	0.0960593777375812	1.92078116329611	0.0547593022004834	0.149460683653084
Arthur1C:hAT-Tip100:DNA	145.70348928332	0.176571894937249	0.165005681098853	1.07009585222382	0.284576165933806	0.508658087489735
Arthur2:hAT-Tip100:DNA	6.82217688578761	-0.273543275420587	0.72056744116563	-0.379622030906765	0.704226004685269	0.847644190659536
BLACKJACK:hAT-Blackjack:DNA	1021.69629264279	-0.0864458533704975	0.0682290454896916	-1.26699491030632	0.20515710979758	0.411187919034585
BSR/Beta:Satellite:Satellite	213.922408861655	3.54416072296693	0.178601654055899	19.8439412092884	1.2431992470943e-87	2.20193311807927e-85
CER:Satellite:Satellite	782.238108783343	0.195593577210205	0.0871706112529383	2.24380183181992	0.024845154503336	0.0780042666499477
CR1-11_Crp:CR1:LINE	3.68143698456808	-0.633358632413909	0.987328873197305	-0.641486995475864	0.521206327372175	0.727044978149169
CR1-12_AMi:CR1:LINE	55.5774043132693	0.3688787003091	0.2716719226074	1.35780943709143	0.174524159661537	0.366398414216777
CR1-13_AMi:CR1:LINE	32.4776056555513	0.0858363450058203	0.332156243525946	0.258421591280777	0.796081554939734	0.901674714499574
