baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	296.522831266955	-0.0688435986900906	0.14846717508979	-0.463695753950026	0.642865739724539	0.999958123893525
A1BG-AS1	170.66686813264	-0.232063677098631	0.16156519104115	-1.43634699778571	0.150903626956783	0.999958123893525
A1CF	2.37705100137418	-0.615402115260211	1.47772369511971	-0.416452762646104	0.677078726353254	0.999958123893525
A2M	38.708066522067	-0.136608035416638	0.355625288288653	-0.384134761827613	0.700878568069171	0.999958123893525
A2M-AS1	9.02340482670293	-0.536039684919867	0.684531380214172	-0.783075400797776	0.433582835617527	0.999958123893525
A2ML1	23.278088657163	-0.113388879992163	0.413840148402209	-0.273991975959666	0.784090788049155	0.999958123893525
A2MP1	3.42613079480983	-1.02872113387821	1.15023585188563	-0.894356694056954	0.371131075156481	0.999958123893525
A4GALT	5.42280350403526	0.129031072252317	0.844044964549197	0.152872273008859	0.878499001800188	0.999958123893525
AAAS	543.765425750582	0.0803873302582248	0.0997773924376163	0.805666777757148	0.420435010296405	0.999958123893525
AACS	256.63448181857	-0.0911740415128731	0.141056044606853	-0.646367490078079	0.518041389306006	0.999958123893525
AAGAB	2507.28041139977	0.0515692627999889	0.064844168639973	0.795279882240623	0.426450713323347	0.999958123893525
AAK1	190.631144151888	-0.063683072031064	0.149987903577489	-0.424588053517015	0.671137003309006	0.999958123893525
AAMDC	291.921459828257	0.0399902400334927	0.12951832206064	0.308761257845584	0.757503141835501	0.999958123893525
AAMP	2283.85161943577	-0.0332173666734516	0.0809380556182287	-0.410404801792278	0.681509024444753	0.999958123893525
AANAT	10.7034957306802	-0.140783349836044	0.670022425097752	-0.210117370049971	0.833576068746906	0.999958123893525
AAR2	874.248746096939	-0.0761381503049859	0.103076749757073	-0.73865493900831	0.460116554577399	0.999958123893525
AARD	0.483067434890517	-2.35283065079883	3.29165567036722	-0.714786383029043	0.474741050558663	0.999958123893525
AARS1	7424.48770073502	0.161944540841361	0.0655940676593082	2.46889004783925	0.0135532855680288	0.87745565271603
AARS2	848.841859848354	-0.0351575067381909	0.0975312198586532	-0.360474387474521	0.718492406852649	0.999958123893525
AARSD1	479.38684570927	0.0673595224217194	0.107206364234254	0.628316452132762	0.529796656107179	0.999958123893525
AARSD1P1	2.95663294017199	-0.141965327436928	1.14828299406925	-0.123632700449422	0.901606099893365	0.999958123893525
AASDH	467.620630143929	0.0485867964574919	0.105553724464939	0.460303951412255	0.645298065333773	0.999958123893525
AASDHPPT	2134.75136580797	0.196551533445994	0.0799221030987151	2.45928880529114	0.0139212578364625	0.887359249506404
AASS	4.89290729000068	0.0585964465223955	0.917073097473017	0.0638950664716447	0.949053780638972	0.999958123893525
AATBC	347.95688992629	-0.280777506697631	0.119533911019535	-2.3489359990216	0.0188271426281335	0.999958123893525
AATF	1519.59622148553	-0.0282597840353535	0.0752025010051287	-0.375782502678018	0.707078596876036	0.999958123893525
ABALON	321.348044572301	-0.0401107347659884	0.125713824691661	-0.319063832990273	0.749678108508224	0.999958123893525
ABAT	79.6042204033221	0.0244749403027965	0.238790235982957	0.102495565624984	0.918363332433009	0.999958123893525
ABCA1	772.520635538775	0.155138387964861	0.0871948548642058	1.77921493425809	0.0752045308633152	0.999958123893525
ABCA11P	366.998665139619	-0.0284468405439077	0.119515982073132	-0.23801704216011	0.811867876263684	0.999958123893525
ABCA12	62.2562653199294	0.450012866149025	0.338186321333353	1.33066548751818	0.183299103874761	0.999958123893525
ABCA17P	28.0875538017036	-0.0882488623118171	0.397459846119393	-0.222032145318418	0.82428885946804	0.999958123893525
ABCA2	40.8293024935658	0.571659233685351	0.325501680879083	1.75624049664343	0.0790473526178109	0.999958123893525
ABCA3	20.1787377099542	-0.367162499905975	0.464670053548871	-0.790157439890539	0.429435827959258	0.999958123893525
ABCA3P1	6.54755704408954	0.0964305915031143	0.800374508061965	0.120481837604514	0.90410146632733	0.999958123893525
ABCA5	212.612388235605	0.332890218021795	0.165325895962084	2.01353947658714	0.0440579063100186	0.999958123893525
ABCA6	342.09570185188	0.0256405371503708	0.124575624629028	0.205823067126697	0.836929121997984	0.999958123893525
ABCA7	1654.65460055738	0.027226600562794	0.0913819367798865	0.297942914346139	0.76574673358641	0.999958123893525
ABCA9	4.98584981542782	-0.0799001193350643	0.920112167410209	-0.0868373684916643	0.930800784039061	0.999958123893525
ABCB1	407.901415150647	0.0992309013858631	0.112949017141237	0.878545948405906	0.379647513827636	0.999958123893525
ABCB10	775.115704149772	0.156261735152029	0.0937579090848867	1.66665123696981	0.0955837743892934	0.999958123893525
ABCB10P3	4.37208583191154	0.35968661999319	0.95066673667097	0.378351956704339	0.705169153069768	0.999958123893525
ABCB4	1117.65840022791	0.221810100666709	0.0892703654834973	2.48470026380382	0.0129660555534147	0.860797273777904
ABCB6	695.914533929709	0.0769482860984907	0.0909665521903965	0.845896477833248	0.397610497554775	0.999958123893525
ABCB7	1293.08133659428	0.0140444805445517	0.0781018309228903	0.179822679937142	0.857291777833598	0.999958123893525
ABCB8	959.595731945711	-0.115207483912334	0.104819095661726	-1.09910778360589	0.271721055234627	0.999958123893525
ABCB9	53.8372500175517	-0.202049212447145	0.297874078488913	-0.67830411250325	0.497578891699368	0.999958123893525
ABCC1	1400.07742223338	-0.077919444499633	0.0832435272949509	-0.936042080767991	0.349251521982667	0.999958123893525
ABCC10	394.851110228893	-0.0887745657849841	0.126252665969954	-0.703150029371347	0.481962256856207	0.999958123893525
ABCC11	68.4729447306331	0.0327751889062064	0.251427486035895	0.13035642770388	0.896284438023481	0.999958123893525
