baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
(CATTC)n:Satellite:Satellite	14.1937032018766	2.79657533423404	0.789685652442867	3.54137792118032	0.000398043005902716	0.00239326612557612
(GAATG)n:Satellite:Satellite	75.6014824329898	2.12514522841889	0.287192930798211	7.39971287772424	1.36479269307418e-13	2.96098879615447e-12
6kbHsap:acro:Satellite	97.6187124230834	-0.803825014484975	0.236239739180301	-3.40258170481422	0.00066752392868661	0.00383286208395655
7SK:RNA:RNA	120748.958925007	0.414357516341321	0.221917478190187	1.86716936277642	0.0618779405486565	0.186298188315745
ACRO1:acro:Satellite	22.733090378971	1.89778442786229	0.504138530596586	3.76441059884175	0.000166942380447269	0.00109086269053975
ALR/Alpha:centr:Satellite	5701.50714438105	-0.00510457364820587	0.0710689728117961	-0.0718256286287369	0.942740676794714	0.972086901147885
Alu:Alu:SINE	1708.30376342415	-0.491909799527265	0.0695256278457592	-7.07522987952808	1.49201220233231e-12	2.89524685131524e-11
AluJb:Alu:SINE	198620.732321514	-0.5990840706179	0.0507755413144246	-11.7986742260039	3.96509138066651e-32	2.97307197017716e-30
AluJo:Alu:SINE	110819.250780732	-0.585557510326074	0.0494654409230336	-11.8377093057187	2.49165603425728e-32	1.87612277150872e-30
AluJr4:Alu:SINE	31218.3618844183	-0.569263127003676	0.0514658388905388	-11.06098995519	1.93945001039475e-28	1.20471105411713e-26
AluJr:Alu:SINE	120707.104152435	-0.579406730825623	0.0506200893366287	-11.4461815144677	2.45733481890127e-30	1.71016188823768e-28
AluSc5:Alu:SINE	6686.78958591132	-0.558172302345249	0.0478614482575329	-11.6622526619302	1.98714430069887e-31	1.45945161642107e-29
AluSc8:Alu:SINE	22725.4584332844	-0.639857750343389	0.045715875519471	-13.9964015360674	1.63965096399006e-44	1.99209254916501e-42
AluSc:Alu:SINE	34706.3658581886	-0.592938384155225	0.0424378367333862	-13.9719276427857	2.31280945930623e-44	2.8004528321282e-42
AluSg4:Alu:SINE	8297.4764471996	-0.598620666704286	0.0513357132460585	-11.6609009372291	2.01894700778292e-31	1.47977668110322e-29
AluSg7:Alu:SINE	9879.88640995252	-0.615998960661751	0.047385528310215	-12.9997276094305	1.22779821478532e-38	1.17661806994975e-36
AluSg:Alu:SINE	46319.7567835729	-0.601209011245811	0.0424019354826561	-14.1788105755627	1.23929261899877e-45	1.56399601258926e-43
AluSp:Alu:SINE	67013.6283773731	-0.62655681217406	0.0409876575775992	-15.2864752270325	9.41075420042102e-53	1.39376380701359e-50
AluSq10:Alu:SINE	1962.42803207619	-0.514089306464412	0.0658192077371108	-7.81062738581937	5.69040132802439e-15	1.41631718053974e-13
AluSq2:Alu:SINE	72206.7850391979	-0.600830070135189	0.0415168097221465	-14.4719710921016	1.82175738929605e-47	2.39170720109009e-45
AluSq4:Alu:SINE	2400.25195306772	-0.631415091952138	0.0584835154299749	-10.796462683714	3.57720587551315e-27	2.10526495540668e-25
AluSq:Alu:SINE	24938.6322590545	-0.633026948403989	0.0414716182031785	-15.2641005061016	1.32644281142607e-52	1.9484031477181e-50
AluSx1:Alu:SINE	139566.921328384	-0.619372991490072	0.0444846847442041	-13.9232860714107	4.57382119288191e-44	5.44619021176347e-42
AluSx3:Alu:SINE	34505.4989543586	-0.609579360434408	0.0442354632983429	-13.7803317741502	3.34730315899229e-43	3.89515235459229e-41
AluSx4:Alu:SINE	12480.4679101448	-0.620786919832066	0.0447623491706519	-13.8685062632745	9.83026486493195e-44	1.15139386609159e-41
AluSx:Alu:SINE	147975.348611151	-0.609338356967796	0.0426405554056204	-14.2901130431214	2.52199737690363e-46	3.2167582913026e-44
AluSz6:Alu:SINE	68933.958049235	-0.62806377313301	0.0488873554158128	-12.8471619663407	8.92239415962515e-38	8.30616958636688e-36
AluSz:Alu:SINE	139224.019603329	-0.612849584095227	0.0464466311357671	-13.1947047419611	9.4122927585331e-40	9.5565434775803e-38
AluY:Alu:SINE	88166.0668732629	-0.601412333937821	0.0396966214371964	-15.1502146067848	7.55196040456012e-52	1.07836578828621e-49
AluYa5:Alu:SINE	1674.35261051771	-0.576385075261246	0.0682331883242913	-8.44728334431428	2.98159481688924e-17	9.32489876371093e-16
AluYa8:Alu:SINE	105.123257869207	-0.484625250861015	0.22020987924225	-2.20074254855698	0.0277542548247849	0.0977727783738073
AluYb10:Alu:SINE	1.94112983456184	-0.390566884688012	1.45173964943127	-0.269033696807152	0.787903751989627	0.893279928354165
AluYb8:Alu:SINE	1201.12185521453	-0.491654758980071	0.0768460249004261	-6.39792051205169	1.57507239646045e-10	2.44911799399301e-09
AluYb8a1:Alu:SINE	3.86402226265724	-1.48485764939939	1.12613126053265	-1.3185475809428	0.187320408042496	0.422221919668643
AluYb9:Alu:SINE	153.651200569675	-0.273565876527179	0.178477511703723	-1.53277504776795	0.12533129065752	0.318062648761324
AluYc3:Alu:SINE	431.940826982907	-0.662474986436268	0.113469626512763	-5.83834640860262	5.27214529708877e-09	6.87623579304798e-08
AluYc:Alu:SINE	2649.61919157147	-0.582140909461271	0.0605654053774168	-9.61177269158237	7.13105452387245e-22	3.12068528925656e-20
AluYd8:Alu:SINE	102.089482008604	-0.774770258575891	0.214133225396951	-3.61816928288291	0.000296694317216052	0.0018410354957307
AluYe5:Alu:SINE	859.864528285171	-0.6407878275722	0.0837029926925305	-7.65549482712083	1.92569301034138e-14	4.54968775106429e-13
AluYe6:Alu:SINE	103.639863135467	-0.61095644680563	0.210283580371161	-2.90539302083055	0.00366792210812513	0.0173914534035339
AluYf1:Alu:SINE	1604.63919035572	-0.693200361934801	0.0651459193260685	-10.6407334351242	1.9260719819608e-26	1.09055838713202e-24
AluYg6:Alu:SINE	424.240380626835	-0.575294148389741	0.113450199572884	-5.07089586933828	3.95947384885233e-07	4.02243487008833e-06
