baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AAAS	683.967308019695	0.338810955113279	0.100017887270617	3.38750361919325	0.000705317866156758	0.00402472498661429
AACS	356.458213979981	0.436398952077359	0.123463897995109	3.53462801000052	0.000408349587124765	0.00245071291897835
AAK1	288.597383652124	0.674596268246815	0.130741131172297	5.15978607648577	2.47232176175134e-07	2.60159965540017e-06
AARS1	10350.5854229888	0.665188266672175	0.0478582355731414	13.8991389612677	6.41079246975648e-44	7.55819779304415e-42
AATBC	346.13520583041	-0.762783202646725	0.125563916222216	-6.07485992469996	1.24095997112268e-09	1.74694604575836e-08
ABALON	420.927329142654	0.333231376977257	0.124128178001392	2.68457478666543	0.0072622133803975	0.0313747576864545
ABAT	149.740810012611	1.21675112557757	0.21443803478867	5.67413857703317	1.39388265394465e-08	1.72388365079469e-07
ABCA10	3.51257578197681	4.00201663302571	1.55045481915212	2.5811888122056	0.0098460714538751	0.0408204796967423
ABCA11P	471.331217729265	0.294771362875174	0.112252892708356	2.62595783291767	0.00864055206763354	0.036425079587868
ABCA2	85.8441943243389	1.82847477767187	0.252178567237566	7.25071443501915	4.14578944723006e-13	8.62386764818181e-12
ABCA4	3.38613300950465	4.96924042463149	1.6082174415346	3.08990581515501	0.00200219975877791	0.0102267124917143
ABCA5	306.336867351947	0.886125679295064	0.133590705315216	6.63313871428551	3.2862270820803e-11	5.52187833327895e-10
ABCA6	299.16212151359	-0.865764431905345	0.134248151545037	-6.44898586640803	1.12601062115701e-10	1.77239115822962e-09
ABCA7	2120.37907901722	0.336417975943566	0.0760378792977124	4.4243471681579	9.67343553355977e-06	7.94831735346896e-05
ABCB1	593.261018767626	0.708746619426656	0.113943355890334	6.22016627374741	4.96628307077014e-10	7.30691919291759e-09
ABCB10	1112.38977133401	0.72826970900131	0.078408721700666	9.28812118352803	1.57035730975894e-20	6.29565730862081e-19
ABCB4	1685.79311625742	0.89454333135636	0.0671456770744548	13.322426257828	1.71443896834944e-40	1.81260197830715e-38
ABCB7	1304.70185942869	-0.367236947433013	0.0736407063056653	-4.98687432340339	6.13639533142963e-07	6.09405777428011e-06
ABCB9	85.7531937209634	0.685803851831664	0.250433689308228	2.73846483564594	0.00617267611816015	0.0272759073789888
ABCC5	1906.71643602687	0.61506280829663	0.06247212134856	9.84539655480752	7.17556895322249e-23	3.36622469702156e-21
ABCD3	2363.74090784806	-0.244919120324555	0.062517225333489	-3.91762620650661	8.94252294672274e-05	0.000615771306308338
ABCD4	622.01537845505	0.385458267781053	0.103667731600271	3.71820876015044	0.000200640434202537	0.00129012447116131
ABCE1	6473.8199315172	-0.463249352243239	0.0484671890343005	-9.55799916342158	1.20055199295266e-21	5.19046851380172e-20
ABCF1	666.345431885196	-0.251443435622998	0.0882180829183335	-2.85024824055367	0.00436851191780062	0.0202865814519165
ABCG1	182.954401766017	-0.664562734027884	0.162103022819455	-4.09963196533386	4.13807661877845e-05	0.000303857414656092
ABHD11	434.228833383731	-0.315156575078437	0.117587510427319	-2.68018749553538	0.0073580933012271	0.031758360068555
ABHD12B	411.521693355483	-0.359914108822523	0.10943425452401	-3.28886152135808	0.00100593503342809	0.00554246234175189
ABHD14A	204.55121345709	0.445521458753807	0.158189896110225	2.8163711444843	0.0048569521847469	0.0222663114931585
ABHD15	204.640406778188	0.657266751346872	0.158995481013387	4.13387064310042	3.56704293733996e-05	0.000265131451508091
ABHD16A	123.62676272193	0.522208366175499	0.197324301929303	2.64644730055903	0.00813421783592007	0.0345711492300737
ABHD3	2626.69897937399	0.681849490761647	0.0575906547825951	11.8395856642997	2.43653684748263e-32	1.83848246632895e-30
ABHD4	195.33009919236	1.27164265220657	0.170444862480568	7.46072737951577	8.60461237921555e-14	1.90722271047288e-12
ABHD5	282.774460432934	-0.37500369696629	0.149844591068308	-2.50261750719678	0.0123278694276686	0.0494531832840621
ABI1	4074.34928663769	0.149906099000467	0.0502167044782323	2.98518392550923	0.00283407860065771	0.0138406065030894
ABI3	382.713286274237	-1.60915869679487	0.133507735220717	-12.0529248296706	1.87187746257239e-33	1.49088800302349e-31
ABITRAM	659.361905153147	0.333042987182389	0.0983090705803557	3.38771371976472	0.000704777847318476	0.00402228388944928
ABL1	1266.10946703552	0.296029180417409	0.0757517873891042	3.90788376908963	9.3108076319952e-05	0.000639854510119406
ABLIM1	4740.28791144467	0.254258939344718	0.0544612903389054	4.66861761376747	3.0323316661573e-06	2.71433065051808e-05
ABLIM2	280.514343934994	0.677701770328265	0.140629063831247	4.81907332570669	1.44226543483077e-06	1.35603975471589e-05
ABRACL	966.208765044167	-0.362212859893797	0.101323149261319	-3.57482828489298	0.000350457830768591	0.0021394582034708
ABRAXAS1	540.323776829481	-0.274162002927118	0.102499594249417	-2.67476183622723	0.00747823545100133	0.0321877551098041
ACAA1	407.555409731535	-0.634139596734882	0.119672197723638	-5.29897176451392	1.16456639749481e-07	1.2811302717192e-06
ACAA2	2377.99515279098	-0.209079340480765	0.0577915286729602	-3.61781986532898	0.000297095047765681	0.00184320297853034
ACACA	1968.67370062801	-0.288009192966999	0.063404493761154	-4.54240978647247	5.56147988141549e-06	4.7663915655348e-05
ACACB	432.786351826333	0.649171642722265	0.119278147181692	5.44250273885797	5.25371525341246e-08	6.06436097898731e-07
ACAD11	414.990195406758	0.942724015375573	0.112584129909986	8.37350713754513	5.59282960000952e-17	1.68731149574025e-15
ACAD9	1516.94094678793	-0.685001702418319	0.0645566149461923	-10.6108677319786	2.65273890725467e-26	1.48094727686783e-24
ACADM	6001.5738981842	-0.281739794536654	0.0536906547941038	-5.24746430486063	1.54206915018627e-07	1.67229350716569e-06
ACAP3	568.389093957502	0.252498078740302	0.100240362480404	2.51892623382784	0.0117713314830963	0.0475376103307781
ACAT1	3315.26816558233	-0.350539704803608	0.0530617656574349	-6.60625782916237	3.94156194710667e-11	6.57373298028153e-10
ACAT2	3549.0976940745	-0.236773219229303	0.0538856981059486	-4.39399001129698	1.11288931428735e-05	9.05289739295797e-05
ACBD5	1055.20651780264	0.282728389973605	0.0818235477557386	3.45534259670103	0.000549593988186089	0.00321599969478818
ACBD7	215.037288859905	0.645435207955959	0.154340403765035	4.18189399671751	2.8909075463636e-05	0.000218916157551696
ACER2	78.7391923933803	0.725611388277437	0.244599046035568	2.96653400754443	0.00301177051347293	0.014612211002132
ACER3	521.647968181376	0.347807011988394	0.10740920281448	3.23814908662095	0.00120307922305791	0.00648609543225309
ACIN1	5403.63668871068	-0.138456667963355	0.0527022988331125	-2.62714665259276	0.00861042159989717	0.0363108742866119
ACKR3	18.1107177138444	1.98371110878678	0.600224729420601	3.30494731648539	0.000949942544876182	0.00526227059519432
ACLY	10463.89175711	-0.288199100279845	0.0479451931749212	-6.01101134848683	1.84369497617041e-09	2.54643050639397e-08
ACMSD	19.2204717771353	-1.96442111970456	0.547466005930457	-3.58820657068175	0.0003329604445407	0.00204162196898569
ACOT13	1353.27609887918	-0.40045363081204	0.0785575394376109	-5.09758367788586	3.44016363109322e-07	3.52786565670993e-06
ACOT4	42.6894069284761	0.911630949809065	0.338341608910387	2.69440980890565	0.0070513407398797	0.0306187428468656
ACOX3	648.953352639909	0.515401806847702	0.105823693084781	4.87038197046088	1.11382719223626e-06	1.06313396529799e-05
ACP3	14.098425653547	-2.18231324143852	0.651699527973388	-3.34864941244461	0.000812064817180271	0.00456982495094333
ACP6	132.066596031349	0.628099785571098	0.206168407356156	3.04653750604017	0.00231493596500631	0.0116041426464044
ACSBG1	482.552602789601	-0.405870154022937	0.105949445736253	-3.83079072478867	0.000127732112335252	0.000850779899313841
ACSF2	119.423965947856	0.958202313885329	0.202116648715772	4.74083812478412	2.12835933767472e-06	1.94449469848584e-05
ACSL4	1985.36735627902	-0.202627072169719	0.0644152428220504	-3.14563856771423	0.00165724668551889	0.00863961868446292
ACSL5	1481.20690290986	0.335891932102944	0.0738735423041138	4.54685022034255	5.44547218838397e-06	4.67252019879986e-05
ACSL6	9.87407004512387	2.7794108755763	0.889614296424356	3.12428755557059	0.00178236177705463	0.00921945857286982
ACSS1	70.8254754134004	1.88396218562179	0.283701600220226	6.64064701841424	3.12309145030966e-11	5.25761957118593e-10
ACSS2	104.789719923189	0.662277616670244	0.223485682964122	2.96340064332696	0.00304260268732212	0.0147424527398015
ACTB	65194.3961616629	-0.632175438956682	0.0397787447017984	-15.8922923208309	7.16584637225057e-57	1.19456325501318e-54
ACTBP11	19.7632997947862	-1.7866308261864	0.565380058042562	-3.16005278355944	0.00157740559217172	0.00826425870911074
ACTG1	17321.3784339769	-0.382790865816566	0.0498909553293728	-7.67255033080519	1.68609763991294e-14	4.00208115974302e-13
ACTN1	16.0050630787677	4.05148128961728	0.855690035038149	4.73475338466066	2.19321615315284e-06	1.9991622620842e-05
ACTR10	1756.27572371622	0.402374640670371	0.0697118687999153	5.77196749416162	7.83512333480216e-09	1.00399948316998e-07
ACTR2	9163.6834691009	-0.356998988307159	0.0483754959153834	-7.37974839434428	1.58588944680458e-13	3.41791122446921e-12
ACTR3	14697.0622823827	-0.588034447898704	0.0483009475208833	-12.1743874205462	4.2557720326155e-34	3.46661648684028e-32
ACVR2B	483.748300813075	0.385943729308516	0.10855557858333	3.55526389656942	0.000377599898603812	0.00228607398071946
ACYP2	287.231990580095	0.434112311683652	0.13222151582915	3.28321989777058	0.00102628576868638	0.00564071587724102
ADA	855.758739635171	-0.398129060211018	0.0873201609346989	-4.55941738940167	5.12957301124707e-06	4.42796306108156e-05
ADAL	1076.50075904644	0.326553235499083	0.0827995510949951	3.94390103787437	8.01667509030744e-05	0.00055758907803553
ADAM19	357.538150971147	-1.15155437277587	0.134774040583816	-8.54433366980425	1.29280014097758e-17	4.18944392882255e-16
ADAM22	1248.45154712438	0.282884687982558	0.0791217870131656	3.57530711402521	0.000349817007743365	0.00213590994455365
ADAM23	6.71441596282662	2.61228258094075	0.979050061410914	2.66818080494901	0.00762632052819116	0.0327425675671897
ADAM28	156.239197821262	-0.633191056426152	0.172708451190691	-3.66624245693126	0.00024614056795198	0.00155699331026596
ADAM9	1052.38618900505	0.215949235141747	0.0804257151766908	2.68507696409437	0.00725131060671249	0.0313318622106915
ADAMTS13	25.3235072038213	1.77292681115684	0.456551163513525	3.88330367512976	0.000103046738811067	0.000701481133091635
ADAMTS6	1545.39739247358	0.223466523643781	0.0704252087027416	3.17310417335094	0.00150818398954509	0.00793640028913308
ADAMTSL2	5.15372053163583	4.58513077755416	1.45747227455577	3.14594717004252	0.00165549906391457	0.0086330193437745
ADARB1	60.089325683574	0.969970776131632	0.303129715449238	3.19985381404835	0.00137497307929578	0.00729972006147831
ADCK2	1873.40950221997	0.184797642825773	0.0678801345446544	2.72241126310976	0.00648074354727836	0.0284617484962632
ADCY10P1	104.683309845063	0.618027780355724	0.218937207730928	2.82285403546059	0.00475982366303092	0.0218713897316271
ADCY5	5.38905149065772	3.7729897652499	1.32853198907232	2.83996907585528	0.00451179073803126	0.0208546675060328
ADCY9	202.204515625747	0.841822743294325	0.160868346084511	5.2329918457176	1.66788100048957e-07	1.79839118347012e-06
ADD1	1987.78172601469	-0.348550322163922	0.0603255443252761	-5.77782307747666	7.56733187622891e-09	9.71769049716662e-08
ADD2	2.28161548057214	4.41797451705476	1.76159990745187	2.50793298657996	0.01214396957898	0.048848111570449
ADD3	7325.94821512929	0.538822073184064	0.051161002006214	10.5318905426954	6.15850013738729e-26	3.41154255678667e-24
ADD3-AS1	141.546548139278	0.727143714637618	0.182506732052279	3.98420215222158	6.77072185856712e-05	0.00047863795292486
ADGRB1	22.3144033084226	1.48116567366293	0.481016511802011	3.07924081049548	0.00207528860746599	0.0105609000397826
ADGRB2	375.790235348932	0.426352091159274	0.128368250650408	3.32132041216626	0.000895926191445091	0.00499469445132734
ADGRE3	27.1037438458205	-1.34945288822852	0.412719832568597	-3.26965845045556	0.00107677412313431	0.00587675671497745
ADGRG1	13.3650405435163	6.96309544289405	1.29278022525517	5.3861401241032	7.19868491887022e-08	8.15449008145472e-07
ADGRL1	91.9459183526666	0.662941631848341	0.226075223272246	2.93239401581839	0.00336359705828007	0.0161169361184246
ADH5	3187.30701789541	-0.243443550738506	0.0573302114336636	-4.24633966369011	2.17291146047842e-05	0.000167843361325446
ADIPOR1	2202.95517518044	0.387723870804469	0.0620056054232309	6.2530454812591	4.02524851106572e-10	5.96399056986799e-09
ADIPOR2	1807.74445935386	-0.194698949811792	0.0648686881081725	-3.00143190019689	0.00268713135972779	0.0132093642935131
ADM2	245.114667764958	4.51273777834903	0.237092559373548	19.0336541571474	8.97690983660493e-81	2.41910846205833e-78
ADNP	2527.17936132387	-0.233682590226452	0.06453291647118	-3.62113790922208	0.000293310103393215	0.00182256023157355
ADO	1017.5459868274	0.445733223114088	0.0772432746029025	5.77051174235613	7.90311576941873e-09	1.01126587751423e-07
ADORA2A-AS1	64.7031043546133	-0.959184704439263	0.289642314688459	-3.31161800536972	0.000927581096579924	0.00515672934427192
ADPGK-AS1	152.489314563799	0.7912821051955	0.178095032415875	4.44303299458547	8.86995573303641e-06	7.33351980225508e-05
ADPRHL1	596.453451739753	-0.606838559468872	0.101235159039425	-5.99434588957918	2.04306106929671e-09	2.80556903389515e-08
ADRB2	69.8764827860975	2.30368871444826	0.296779361299577	7.76229419849333	8.3406648725735e-15	2.0503276385316e-13
ADRM1	2633.44205533119	-0.398888504444086	0.063403237100784	-6.2912955660296	3.14827234915207e-10	4.7311207239396e-09
ADSL	4421.73446538312	-0.327373042052252	0.0582618339356297	-5.61899651861197	1.92069726293605e-08	2.32960103556315e-07
ADSS2	2258.67426906091	-0.197396454736285	0.0626299631984529	-3.15178940966009	0.00162273261570512	0.00847695083508051
AEBP1	214.25659986495	-0.46320003796016	0.169534809314477	-2.73218249298261	0.00629162808338991	0.0277399731992592
AEN	2931.82706054889	0.387191786926777	0.0643362158803991	6.01825552883877	1.76306728659062e-09	2.43977199299978e-08
AFAP1L2	66.3491610449499	0.753317691227666	0.275947541357093	2.72993079598715	0.00633476219967883	0.0279026928841943
AFDN	1528.42203488491	0.325572616875362	0.0723661673537178	4.498961721767	6.82861504401144e-06	5.77499744672992e-05
AFF1	1434.42738107136	0.311244814000978	0.0788237896409836	3.94861520130656	7.86045864638493e-05	0.000547786697151628
AFF1-AS1	116.37900697415	0.767315843037962	0.206245321882261	3.72040362435954	0.00019890463592952	0.0012803414253502
AFF3	2397.72218910368	-0.497805031890217	0.0605588897592121	-8.22018094898266	2.03196362377933e-16	5.82620865919e-15
AFF4	2602.26607995125	0.310177329334364	0.0539126897815041	5.75332691786371	8.75040335901511e-09	1.11056376342231e-07
AFG3L2	5527.41322202324	-0.287206443589546	0.047433122578863	-6.05497652219779	1.40438145708513e-09	1.96388746794335e-08
AFG3L2P1	25.5005316872228	-1.31983783808858	0.46211641411761	-2.85607218823583	0.00428917601751994	0.0199440007322174
AFMID	1653.88061129482	-0.478493024774309	0.0746779410162125	-6.40742123126331	1.48001505094097e-10	2.30832112448979e-09
AFTPH	2458.46143315914	0.203096211184703	0.0578738747634741	3.50929002101106	0.000449304678063318	0.00267322858009086
