baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
(CATTC)n:Satellite:Satellite	8.12188717624798	3.6243526849937	0.956678446927773	3.78847531961523	0.000151574647022539	0.00167944294479519
(GAATG)n:Satellite:Satellite	46.1634147718989	0.871767013392483	0.294561658316916	2.95954001065053	0.00308098691274389	0.0226343973965912
6kbHsap:acro:Satellite	34.6232890313357	-0.0793870736029876	0.319272414493175	-0.248649961597871	0.803631558135562	0.939210627885243
7SK:RNA:RNA	38077.8492685433	0.649675582015699	0.073433016593265	8.84718634962471	8.97534504600586e-19	1.38562231615005e-16
ACRO1:acro:Satellite	15.1607547299062	1.5371767932761	0.498869444591381	3.08132079433164	0.002060844873742	0.0161852206411617
ALR/Alpha:centr:Satellite	1377.1654685365	-0.174557138056626	0.0730024176849601	-2.39111448075491	0.0167973143608715	0.0913706261039351
Alu:Alu:SINE	1718.68055804911	-0.0124493986965728	0.0718501613300275	-0.173268903870505	0.862440065088054	0.959878708852165
AluJb:Alu:SINE	163595.38850646	0.0991683767212009	0.154792882475042	0.640652045078301	0.521748777355376	0.824633319541109
AluJo:Alu:SINE	92542.0307560405	0.0583289272152549	0.087545622805838	0.666268916089831	0.505239230039345	0.816461395536863
AluJr4:Alu:SINE	24088.7273980211	0.0119727477239707	0.072875516899981	0.164290398658893	0.869502539756932	0.962518261990636
AluJr:Alu:SINE	101489.832128579	0.0565783302398824	0.0828233966508499	0.68312013908816	0.494530930652771	0.810011362404211
AluSc5:Alu:SINE	6005.77276124466	0.365384160060556	0.408112849780151	0.895301778067973	0.370625790077327	0.722906784237091
AluSc8:Alu:SINE	21114.2275199946	0.43090691683631	0.427035023865522	1.00906692133994	0.312942540725726	0.670045992718991
AluSc:Alu:SINE	32568.4769875913	0.409931230621306	0.360501003938492	1.13711536484722	0.255490061593831	0.606057495929757
AluSg4:Alu:SINE	7633.95353801423	0.39419075782757	0.430425312575199	0.915816859071691	0.359762959467068	0.713876334194065
AluSg7:Alu:SINE	9543.58881977308	0.351211583631818	0.426015033135489	0.8244112444739	0.409705927870424	0.754097092174359
AluSg:Alu:SINE	43141.8156747514	0.39567618121776	0.369862371806284	1.06979301323736	0.28471248788411	0.641799616673633
AluSp:Alu:SINE	62428.4276222661	0.380398410649847	0.354810535359215	1.07211701102597	0.28366747914427	0.640291002844616
AluSq10:Alu:SINE	1816.79252492392	0.36738683161401	0.396260608526378	0.92713437497675	0.353856770424411	0.708281564311872
