baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AARS1	2463.06485401875	0.446103847227023	0.0604818213481622	7.37583355268084	1.63319955787142e-13	1.20337112877708e-11
AASDHPPT	544.668542972421	-0.478963845239814	0.102221065330158	-4.68556890590835	2.79183349004264e-06	4.92444187960731e-05
ABAT	42.7745958243093	0.766589426825047	0.288014808970642	2.66163198192766	0.00777628480768784	0.0490671766183807
ABCA10	21.220612557558	1.70810052825899	0.434812719021198	3.9283591613973	8.5527414623587e-05	0.00101344984725756
ABCA2	211.65460307889	0.694446072974106	0.142132753256473	4.88589756451845	1.02958721124173e-06	2.02789899079325e-05
ABCA5	554.467364979378	0.653911237671579	0.0942850244516605	6.93547296057431	4.04864333338612e-12	2.36073771346004e-10
ABCA7	22142.8917892729	0.655614662692371	0.0569512402831695	11.5118592577188	1.1497256651763e-30	5.48148618603172e-28
ABCA9	270.081637319734	0.879267002051473	0.139982479097937	6.28126468196283	3.35829825716273e-10	1.38929731626952e-08
ABCB10	953.664809308987	-0.293943117493983	0.0872558973125918	-3.3687478617169	0.000755104698570124	0.00676256749382415
ABCB4	229.570605827123	0.513549890920501	0.136777112889809	3.75464783595943	0.000173585366434902	0.00189100725128345
ABCB6	278.267970485394	0.440526499744665	0.128292957196101	3.43375434920641	0.000595283413352415	0.00552507536813206
ABCC4	932.33703345507	-0.639495255357482	0.0812214646279651	-7.87347603600465	3.44921175194888e-15	3.3390565938429e-13
ABCD1	241.673530286799	-0.65482026301346	0.130920852441108	-5.00164985794007	5.68417572937387e-07	1.18128831504039e-05
ABCE1	4011.00215068236	-0.520567031543922	0.079564865581418	-6.54267468109063	6.04281875571919e-11	2.91096855959014e-09
ABCF2	1438.39586851728	-0.420328057971475	0.0738156736434561	-5.69429278667483	1.23884338019693e-08	3.71195031293755e-07
ABCF2-H2BK1	982.099363207148	-0.422863853721995	0.0798182185651915	-5.29783627501811	1.17182964472857e-07	2.85429880406463e-06
ABHD10	858.936460303453	-0.436574646068619	0.0869093433091258	-5.02333384933973	5.07821579950389e-07	1.06767675888402e-05
ABHD4	236.25663905232	1.32563760603964	0.138294803330601	9.58559232967441	9.19286255718118e-22	2.12880431502724e-19
ABI1	2899.48229750973	0.212957800568198	0.0623539921967206	3.41530338420574	0.000637110066837973	0.00585628249699095
ABITRAM	195.652319273047	-0.449336593204781	0.15346967888643	-2.92785256648185	0.0034131184827099	0.0246608649898495
ABL1	1767.23724616193	0.193910949462367	0.0677440713864711	2.86240471665971	0.00420439656208159	0.0293258469325914
