baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
413.81	8.28	0.467431922779883	17.7094363008789	3.546e-70	4.549e-68	67.3421305692835	ESRP1
37.82	8.11	1.21697097710495	6.66066753381035	2.726e-11	2.866e-10	9.54268135204197	ALPK2
16.9	7.91	1.78010557601567	4.44184157563657	8.919e-06	4.545e-05	4.34243649633212	DUX4L2
16.9	7.91	1.78010557601567	4.44184157563657	8.919e-06	4.545e-05	4.34243649633212	DUX4L3
16.9	7.91	1.78010557601567	4.44184157563657	8.919e-06	4.545e-05	4.34243649633212	DUX4L5
16.9	7.91	1.78010557601567	4.44184157563657	8.919e-06	4.545e-05	4.34243649633212	DUX4L6
13.01	7.54	1.28426758720439	5.86826031345996	4.404e-09	3.619e-08	7.44143863646443	DACT1
11.74	7.4	1.29206626821528	5.72886132082768	1.011e-08	7.964e-08	7.09884810723641	MT1E
11.21	7.29	1.29841850456531	5.61307277931906	1.988e-08	1.509e-07	6.82144171416826	CSTA
99.54	7	0.617440548003052	11.3371747585762	8.587e-30	3.297e-28	27.4818261670008	P2RX1
17.61	6.94	1.25542423665191	5.52702096437716	3.257e-08	2.411e-07	6.61774444365388	ITGB2
45.69	6.93	0.877442143197769	7.89913597923747	2.808e-15	4.479e-14	13.3488063559732	KLHDC7B
16.59	6.91	1.25941649548001	5.48557042160644	4.121e-08	3.015e-07	6.52066398794757	PTPRD
18.5	6.88	1.24435475647935	5.52932545387018	3.215e-08	2.382e-07	6.62309227138382	KCNK15
7.26	6.62	1.38723509479139	4.77196257571446	1.824e-06	1.048e-05	4.97957354049599	GRB10
6.33	6.52	1.40379166394803	4.64403623580167	3.417e-06	1.866e-05	4.72901286106738	GABRG1
6.51	6.46	1.37493802512329	4.69946912279947	2.608e-06	1.456e-05	4.83669647071933	DLL4
23.29	6.44	1.08970320753896	5.90984069173643	3.424e-09	2.848e-08	7.54553384184779	HCK
12.21	6.41	1.27981537864971	5.00768745576514	5.509e-07	3.428e-06	5.46489693759646	RAB31
362.77	6.39	0.287282347819069	22.2598094228559	9.063e-110	2.101e-107	106.677471390421	DUX2
76.05	6.34	0.585740289670595	10.8194693990857	2.784e-27	9.500e-26	25.0222885331116	HMCN1
