baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
93.61	24.07	3.53300780984247	6.81280315916142	9.572e-12	1.414e-10	9.84955558165674	PCNA-AS1
10.28	7.25	1.30940120189321	5.53402975055567	3.130e-08	2.881e-07	6.54042269981216	MT1G
10.48	7.24	1.32286612964832	5.46985193272714	4.504e-08	4.033e-07	6.39437645463452	LOC642423
4.93	6.2	1.44150717682449	4.30091343921426	1.701e-05	9.702e-05	4.01315858980349	CXCL10
4.76	6.11	1.45359946029181	4.20270253598438	2.637e-05	1.446e-04	3.8399283326993	FRAS1
4.35	5.97	1.45907394415784	4.09437944532989	4.233e-05	2.218e-04	3.65397565049798	MIR4651
34.76	5.74	1.06876383260316	5.37069174183742	7.844e-08	6.791e-07	6.16806355554058	TMEM110-MUSTN1
11.74	5.59	1.15384837291276	4.8411761040221	1.291e-06	9.136e-06	5.0392450605708	MT1E
6.33	5.58	1.40379633527821	3.97358413856109	7.080e-05	3.549e-04	3.44989602546304	GABRG1
3.02	5.37	1.62171194843509	3.31239799251752	9.250e-04	3.581e-03	2.44595112823369	CCM2L
45.69	5.36	0.552318272925805	9.69772040265773	3.083e-22	1.107e-20	19.956038646594	KLHDC7B
5.49	5.35	1.40366075814596	3.81330642692098	1.371e-04	6.448e-04	3.19060820776271	COL21A1
15.21	5.31	0.951947444640214	5.57738535388915	2.442e-08	2.286e-07	6.64100539483183	NPDC1
3.05	5.28	1.59168833867752	3.31944905148009	9.020e-04	3.502e-03	2.4557018128832	HAP1
3.25	5.24	1.5280760889956	3.43148760883601	6.003e-04	2.427e-03	2.61488183548642	ARMC4
4.81	5.17	1.44376525293824	3.58168959087179	3.414e-04	1.460e-03	2.83576774238084	TBX21
2.85	5.16	1.65327839777861	3.12223303752034	1.795e-03	6.438e-03	2.19123096400227	C19orf21
2.49	5.14	1.65156605776858	3.11180297753503	1.859e-03	6.637e-03	2.17805921355886	RGS8
4.75	5.11	1.44463499726466	3.53572854381381	4.067e-04	1.709e-03	2.76723110898161	NPPC
2.31	5.11	1.70895979842563	2.98824399774054	2.806e-03	9.527e-03	2.02105803937735	BFSP1
4.56	5.09	1.45118462294078	3.5045441461578	4.574e-04	1.899e-03	2.72151609524276	DLG5
13.01	5.07	0.976910472723789	5.19075337702828	2.094e-07	1.685e-06	5.77334768674233	DACT1
37.82	5.06	0.568035228140556	8.90022945677825	5.573e-19	1.555e-17	16.8082711153389	ALPK2
2.66	5.05	1.620638624694	3.11529592411624	1.838e-03	6.561e-03	2.18302072680148	RTN4R
4.47	4.99	1.44500487701504	3.45530170195031	5.497e-04	2.239e-03	2.64995341065293	DLX3
