baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
190.25	8.87	0.734372581981473	12.0802097846399	1.344e-33	3.811e-32	31.4189706058024	MT1H
84.87	8.2	1.04070742017201	7.88252303192151	3.208e-15	3.088e-14	13.5102663009232	GDF15
9.51	7.46	1.27769319387334	5.83880973557959	5.258e-09	2.976e-08	7.52641833321437	COL6A2
19.17	7.46	1.24360016147231	5.9987673901117	1.988e-09	1.171e-08	7.93146267594905	FAM71E2
1181.27	7.35	0.432609959257195	16.9923375853327	9.358e-65	9.427e-63	62.0256296008305	HSPA6
103.13	7.28	0.616576994512446	11.8109740520969	3.426e-32	8.957e-31	30.0478209449262	RRAD
14.49	7.06	1.2504868681915	5.64573974053099	1.645e-08	8.881e-08	7.05155064494677	CDH16
13.06	6.99	1.25852715973909	5.55512962525565	2.774e-08	1.470e-07	6.83259442301725	MIR548AA2
198.63	6.9	0.381895190406255	18.068245924885	5.669e-73	7.657e-71	70.1159133851601	MT1G
6.52	6.79	1.32486001372935	5.12245423767778	3.016e-07	1.422e-06	5.84703735344928	RBBP8NL
5.89	6.7	1.34345669401139	4.9904687099954	6.023e-07	2.754e-06	5.56006675287614	PDGFB
5.62	6.59	1.35211747775997	4.87166062555386	1.107e-06	4.923e-06	5.30779324896646	SPATA31E1
6.33	6.57	1.33439182206753	4.92395132617448	8.481e-07	3.819e-06	5.41806101148967	FLJ35024
6.07	6.53	1.34226670155672	4.86706614638964	1.133e-06	5.026e-06	5.29874302331544	SECTM1
1096.69	6.38	0.388260936156626	16.4290916912992	1.184e-60	1.011e-58	57.9954112509895	HSPA1A
4.79	6.37	1.37344017966369	4.6391623147321	3.498e-06	1.466e-05	4.83388449370324	TUSC3
59.4	6.37	0.682503519813771	9.32804427986344	1.078e-20	1.518e-19	18.8188623284136	NPPC
6.66	6.31	1.316049193331	4.79358872489666	1.638e-06	7.146e-06	5.14593250229324	SORCS2
4.03	6.24	2.39310128598576	2.60773446123582	9.114e-03	2.220e-02	1.65363522959295	GOLGA8CP
171.21	6.1	0.319992646610479	19.0535835436308	6.135e-81	1.142e-78	77.9421675301786	MT1E
5.16	6.09	1.38061180829091	4.41389790427065	1.015e-05	4.040e-05	4.39366607360411	TGM5
247.12	6.01	0.302916980874554	19.8383898065277	1.388e-87	3.160e-85	84.5003678640027	FOSB
5.43	5.99	1.35614335684048	4.41494398132148	1.010e-05	4.021e-05	4.39567217575797	MIR3189
3.47	5.99	1.45413423194069	4.11621167859236	3.852e-05	1.417e-04	3.84876089858366	LINC00469
9.78	5.95	1.2848693497302	4.63045648154958	3.649e-06	1.525e-05	4.81679066831114	HAP1
19.31	5.95	1.08417548036436	5.48357970741049	4.168e-08	2.163e-07	6.66492113237053	MIR191
15.76	5.94	1.09396341594667	5.42723977400529	5.723e-08	2.923e-07	6.53412669889128	MEGF6
3.81	5.92	1.43807690592271	4.11841295873733	3.815e-05	1.404e-04	3.85256088472368	CILP
3.46	5.87	1.44159846377832	4.07323266031756	4.637e-05	1.683e-04	3.77396774885191	GPC5
3.46	5.87	1.47127738014729	3.99081869481774	6.585e-05	2.341e-04	3.6306861461389	NRARP
233.59	5.85	0.306322834729926	19.0962455180366	2.713e-81	5.156e-79	78.2876874711037	CHAC1
4.8	5.83	1.37935430857845	4.22959076449519	2.341e-05	8.860e-05	4.05256595247799	MRGPRE
3.81	5.8	1.41455002901962	4.09804209524579	4.167e-05	1.523e-04	3.81720194976646	PCSK4
3.97	5.75	1.46283226737049	3.92939433302233	8.516e-05	2.974e-04	3.52659831973337	FUT5
74.05	5.73	0.475457438415605	12.0448109255531	2.065e-33	5.813e-32	31.2355976501734	MAFA
30.42	5.7	0.781648944571679	7.29723923771641	2.937e-13	2.438e-12	11.612993012834	DRAXIN
2.85	5.59	1.50062052798082	3.72620813242534	1.944e-04	6.447e-04	3.19064310021247	FAM13C
2.49	5.57	1.55764234617153	3.57673815431307	3.479e-04	1.110e-03	2.95461792601083	TMEM132E
2.48	5.48	1.53583724780906	3.56740832098037	3.605e-04	1.147e-03	2.94026821644876	GCGR
2.39	5.48	1.56421746443057	3.50050402702939	4.644e-04	1.455e-03	2.83703265716706	LILRB5
3.45	5.44	1.43759734690989	3.78727887962518	1.523e-04	5.131e-04	3.28980914316	MIR3193
5.17	5.43	1.35692442635391	4.00531704953896	6.193e-05	2.206e-04	3.6563591607944	MIR212
2.59	5.42	1.51775564552867	3.56809190645336	3.596e-04	1.145e-03	2.94132591564036	NBEAP1
3.15	5.42	1.48948725870637	3.63569964556692	2.772e-04	8.972e-04	3.04711457090877	MRPL23-AS1
4.35	5.37	1.39342524888064	3.85539862318108	1.155e-04	3.963e-04	3.40202199577043	MUC16
8.9	5.36	1.13510282578886	4.72119436375808	2.345e-06	1.002e-05	4.99895770579497	IGF2
4.28	5.33	1.40018163871689	3.80583620790821	1.413e-04	4.785e-04	3.32015656957552	USP17L2
2.1	5.33	1.62886478450781	3.27078408847195	1.072e-03	3.147e-03	2.5021511484814	FAM46B
3.03	5.27	1.49580877829192	3.52621937759902	4.215e-04	1.328e-03	2.87677416223437	ASGR1
2.25	5.23	1.57179690532882	3.32971787577669	8.693e-04	2.594e-03	2.58610884884742	ALK
2.19	5.22	1.61474847027598	3.2339685857536	1.221e-03	3.542e-03	2.45070934546348	COL26A1
2.07	5.17	1.60733198733418	3.2167574696265	1.296e-03	3.745e-03	2.42657090775358	SIGLEC17P
13.81	5.14	0.934681815954095	5.50011625566225	3.795e-08	1.981e-07	6.70314250549473	FOXJ1
1.94	5.13	1.66030627666498	3.0886233819938	2.011e-03	5.604e-03	2.25152804998182	PLK5
33.58	5.12	0.650478731333128	7.87522452003848	3.401e-15	3.267e-14	13.4858085257129	EPHA2
2	5.12	1.64811399140724	3.10631773481774	1.894e-03	5.308e-03	2.27508455368711	MUC2
1.86	5.07	1.65217905052898	3.07121134531993	2.132e-03	5.914e-03	2.2281041131886	MT1M
2.86	5.02	1.50135668549586	3.34146137117536	8.334e-04	2.498e-03	2.60247987994906	SCRT2
135.99	5.01	0.306277959931909	16.364513533837	3.428e-60	2.821e-58	57.549643857825	MAFB
7.37	5	1.16826272981808	4.28045531943542	1.865e-05	7.161e-05	4.14500690096752	ESPN
2.8	4.99	1.52164579773532	3.28007239931584	1.038e-03	3.052e-03	2.51539385171071	KNDC1
1.7	4.98	1.76653611728239	2.82124169324755	4.784e-03	1.236e-02	1.90800005570645	PYDC1
