baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
19.17	4.31	0.632218112128174	6.81434076263622	9.470e-12	4.308e-10	9.36569755198517	FAM71E2
190.25	4.07	0.199578673269984	20.413956231739	1.257e-92	6.042e-89	88.2188036754562	MT1H
171.21	3.72	0.184946150975467	20.090507769788	8.934e-90	3.221e-86	85.4919704193165	MT1E
19.73	3.69	0.5222305853901	7.06832654830619	1.568e-12	8.439e-11	10.073726701894	ARC
198.63	3.67	0.17664070199276	20.7602624943111	9.902e-96	7.141e-92	91.1462625782251	MT1G
1181.27	3.6	0.399436399891025	9.02017471201074	1.878e-19	2.681e-17	16.5716244181912	HSPA6
1096.69	3.35	0.369029450981534	9.06440589023364	1.253e-19	1.844e-17	16.7343010485996	HSPA1A
103.13	2.71	0.22188449413598	12.2191839502636	2.455e-34	1.142e-31	30.9422192442869	RRAD
28.19	2.3	0.371036526098659	6.21081514811097	5.271e-10	1.740e-08	7.75955921909483	DLL1
14.84	2.2	0.513807502133491	4.27506787190856	1.911e-05	2.091e-04	3.67967678736318	TRNP1
845.61	2.14	0.192521913273663	11.1322015164148	8.745e-29	2.803e-26	25.5524340249918	MT2A
166.87	2.12	0.159892346665464	13.2561548657309	4.157e-40	2.606e-37	36.5839553623648	MT1F
4176.19	2.02	0.0767618552839599	26.3706062731793	2.979e-153	4.296e-149	148.366895435422	HSPA1B
39.99	2.01	0.31865374474098	6.31398718788622	2.719e-10	9.566e-09	8.01929092319123	LINC00624
25.76	2.01	0.390260113220885	5.15272317843518	2.567e-07	4.611e-06	5.33621207954347	DHRS2
375.06	1.98	0.113605834629917	17.4469505285321	3.631e-68	7.481e-65	64.1260367506226	MT1X
15.38	1.89	0.50875572083516	3.72145226237357	1.981e-04	1.587e-03	2.7994056953076	TMEM132B
34.53	1.85	0.3155650147605	5.85307979537682	4.826e-09	1.308e-07	6.88334161142619	ITGB4
54.66	1.84	0.251396847452912	7.30424705774534	2.788e-13	1.662e-11	10.7794602655433	ROCK1P1
38.5	1.82	0.310863921553594	5.85774929958044	4.692e-09	1.280e-07	6.89290011355699	EPAS1
46.82	1.74	0.270013873709302	6.4391692033229	1.201e-10	4.420e-09	8.35461190644752	CLIP2
74.05	1.66	0.221669128782597	7.46876580503184	8.095e-14	5.259e-12	11.2791081496308	MAFA
15.76	1.6	0.462449959222682	3.45018378600262	5.602e-04	3.843e-03	2.41532817741418	MEGF6
77.84	1.53	0.252120125199457	6.06998321611582	1.279e-09	3.959e-08	7.40240968947049	FAM166A
15.13	1.53	0.516349020061477	2.95485797421375	3.128e-03	1.601e-02	1.79563067917793	NBL1
23.93	1.48	0.382439751683242	3.86823583969429	1.096e-04	9.547e-04	3.02012281438474	DUSP8
42.06	1.46	0.300294328672703	4.87121572708106	1.109e-06	1.693e-05	4.77142129267339	ELFN2
20.6	1.46	0.453338845198355	3.21045671755934	1.325e-03	7.850e-03	2.10513184849847	EFNA2
21.33	1.43	0.412873218790323	3.46219341293478	5.358e-04	3.697e-03	2.43212459760824	SEMA3B
15.4	1.43	0.471796627381464	3.02607541665482	2.478e-03	1.322e-02	1.87864531445433	RASD1
31.89	1.42	0.329483343653888	4.30156099043356	1.696e-05	1.893e-04	3.72281353792219	SEPT5
17.89	1.41	0.432853768736651	3.26487718424806	1.095e-03	6.698e-03	2.17405838714483	CCDC144NL
48.76	1.41	0.330990439790681	4.25967431191619	2.047e-05	2.213e-04	3.65495947990207	DUX2
25.39	1.39	0.382040615946439	3.63998905058901	2.726e-04	2.084e-03	2.68114148882195	ADM
21.93	1.36	0.38530515667409	3.53338183205701	4.103e-04	2.944e-03	2.53109079837893	PDIA2
48.36	1.35	0.268016167499263	5.04796297637409	4.465e-07	7.559e-06	5.12154823689594	MYO15B
26.26	1.34	0.378946906440849	3.53153945522415	4.131e-04	2.961e-03	2.52849659729535	LOC100129722
22.73	1.33	0.392720201832081	3.38542297726997	7.107e-04	4.684e-03	2.32937502253885	ITGA6
15.34	1.33	0.460162456063186	2.88705392820775	3.889e-03	1.909e-02	1.7192245708478	CDC42EP4
227.31	1.31	0.136263073644305	9.64512588315498	5.155e-22	9.410e-20	19.0263905385017	COL1A1
150.89	1.31	0.1571798474183	8.32353340157253	8.538e-17	8.611e-15	14.0649584510037	CYP2W1
25.82	1.3	0.430253235232372	3.01188272434925	2.596e-03	1.373e-02	1.86245918064822	MUC6
158.56	1.29	0.14503436345799	8.91669473386263	4.804e-19	6.536e-17	16.1846668764974	C5orf27
111.44	1.29	0.188414463523097	6.85982632577279	6.894e-12	3.218e-10	9.49243452862385	LFNG
41.95	1.29	0.301269331713745	4.28089484925922	1.861e-05	2.045e-04	3.68939182368698	DLL4
116.67	1.28	0.172411238635655	7.41593786917249	1.208e-13	7.589e-12	11.1198375255961	GADD45G
31.52	1.26	0.32278862662318	3.91604404005354	9.001e-05	8.078e-04	3.0926812316826	RHPN1
280.32	1.26	0.120810803929981	10.4460177313846	1.528e-25	4.007e-23	22.3971925673431	TJP2
34.1	1.26	0.312976648874895	4.0223780272661	5.761e-05	5.517e-04	3.25827528657068	WDR63
24.49	1.25	0.367290044520856	3.41098586565898	6.473e-04	4.324e-03	2.36413196490796	LOC115110
15.02	1.25	0.464283224500819	2.6824897275245	7.308e-03	3.192e-02	1.49597445681486	NOTUM
16.92	1.24	0.467732293083239	2.6583813691688	7.852e-03	3.384e-02	1.47053681613191	C9orf9
247.12	1.24	0.143231509365838	8.63097170531946	6.083e-18	6.854e-16	15.1640457242957	FOSB
16.56	1.23	0.439066420050702	2.81261307197006	4.914e-03	2.313e-02	1.63582155141689	FSCN1
24.76	1.23	0.376308308841448	3.27829630991223	1.044e-03	6.442e-03	2.19097000967262	SORT1
189.25	1.22	0.174016229653028	7.02269741401712	2.176e-12	1.129e-10	9.94727510346881	FOS
15.67	1.22	0.47208753776834	2.58312920969107	9.791e-03	4.047e-02	1.39290185996001	DPF3
21.89	1.21	0.388346998466041	3.11370967223819	1.848e-03	1.034e-02	1.98554277155923	EPHB6
143.37	1.21	0.154866680833965	7.79285415402907	6.551e-15	5.278e-13	12.2775051863876	FAM46C
480.76	1.2	0.0905476951267705	13.2434544953831	4.923e-40	2.958e-37	36.5289451376203	SLC30A1
16.76	1.18	0.454567814461129	2.58980362116479	9.603e-03	3.984e-02	1.39964419767323	WFIKKN1
28.71	1.17	0.349125252795726	3.36456427596424	7.666e-04	4.983e-03	2.30253679568741	INSM2
239.8	1.17	0.158825844527387	7.38117212979397	1.569e-13	9.754e-12	11.0108340255868	MAST4
22.26	1.17	0.380751362465937	3.07314152885173	2.118e-03	1.162e-02	1.93496738694063	CYP4F3
51.88	1.17	0.253066693604178	4.61574287199632	3.917e-06	5.168e-05	4.28665033969459	GPR153
15.25	1.16	0.450021851220034	2.58054682660771	9.864e-03	4.072e-02	1.39022683533853	ADC
17.04	1.16	0.428900188043079	2.70128898753035	6.907e-03	3.057e-02	1.51476127710933	MEIS3
24.52	1.15	0.392700515636332	2.93583238748539	3.327e-03	1.679e-02	1.77489198320595	GRIN3B
83.45	1.15	0.216172355454428	5.33133574040844	9.749e-08	1.931e-06	5.71413253449786	C11orf96
17.44	1.14	0.428375906999002	2.66192140368531	7.770e-03	3.352e-02	1.47471212326175	FGR
20.67	1.13	0.394774527095332	2.86156640327917	4.216e-03	2.040e-02	1.69033437650045	ASTL
17.94	1.13	0.426327551188643	2.64763489766983	8.106e-03	3.473e-02	1.45929802303832	LOC100133445
25.26	1.13	0.368905557596188	3.05690954554262	2.236e-03	1.215e-02	1.91534196544508	C9orf173
127.85	1.12	0.168658184152675	6.61234802397503	3.783e-11	1.581e-09	8.80099010942878	SDC1
616.23	1.12	0.10533089612974	10.586288863002	3.450e-26	9.568e-24	23.0191591910205	CREBRF
30.41	1.11	0.336296114518836	3.29218857969637	9.941e-04	6.190e-03	2.20827893479165	SPP1
183.05	1.1	0.159725145905505	6.91699395512111	4.613e-12	2.263e-10	9.64531224632152	HRK
20.44	1.1	0.410546466840785	2.68331912614016	7.290e-03	3.185e-02	1.4969199436439	UNC5B
67.77	1.1	0.239529765234314	4.57843831029824	4.685e-06	6.027e-05	4.21990735106038	KIAA1683
21.96	1.09	0.379656464282921	2.8820844937663	3.951e-03	1.939e-02	1.7125188147922	HBEGF
51.38	1.08	0.274351795956214	3.93069150035387	8.470e-05	7.673e-04	3.11506019301266	UGT2B17
28.67	1.07	0.328257859352629	3.25865109960305	1.119e-03	6.832e-03	2.16544033364044	RGMA
24.46	1.07	0.369598263544552	2.89256770543183	3.821e-03	1.881e-02	1.72550909529814	PRODH
20.78	1.06	0.410035629627713	2.59696922701435	9.405e-03	3.916e-02	1.4071919777797	NDP
117.79	1.06	0.164230529663022	6.46945184697298	9.836e-11	3.733e-09	8.42794370206265	ADAMTS7
46.68	1.06	0.279852097740867	3.77392320885184	1.607e-04	1.324e-03	2.87824411750339	DLX2
42.06	1.05	0.283496352843174	3.68978793743798	2.244e-04	1.766e-03	2.75303464994954	EVPL
21.91	1.04	0.388609639042325	2.67680300640244	7.433e-03	3.238e-02	1.48977935774689	KIF1A
221.94	1.04	0.130949197647176	7.92230117972899	2.332e-15	2.002e-13	12.6986395781004	STAT5A
226.54	1.04	0.135176725053683	7.6710743770779	1.706e-14	1.268e-12	11.8968949693002	DUSP1
60.31	1.04	0.247018271945678	4.19219314763559	2.763e-05	2.910e-04	3.53604324746609	RND1
43.15	1.03	0.284827234190524	3.62110512267014	2.933e-04	2.215e-03	2.654625808036	PRX
100.48	1.03	0.186215747268783	5.53322394858287	3.144e-08	6.870e-07	6.16303918060308	ARHGEF40
196.67	1.03	0.145274064174398	7.08813758717598	1.359e-12	7.370e-11	10.1325446628002	IER5L
66.15	1.03	0.232899271925078	4.41287555409883	1.020e-05	1.210e-04	3.91727965779225	TBC1D16
90.38	1.03	0.201812155054979	5.0852808072681	3.671e-07	6.348e-06	5.19737681720636	LACC1
154.8	1.02	0.159174142867188	6.39780766493163	1.576e-10	5.697e-09	8.24432600696922	HES6
85.73	1.02	0.202284788889111	5.02545483234574	5.022e-07	8.316e-06	5.08008070079647	MC1R
135.99	1.01	0.163730926688868	6.15855178320864	7.341e-10	2.358e-08	7.62744681246768	MAFB
245.64	1	0.125880880881325	7.97760254831346	1.492e-15	1.328e-13	12.8767121706544	VLDLR
57.58	1	0.247755324770748	4.05219136348739	5.074e-05	4.921e-04	3.30793385181579	SLC6A8
158.74	1	0.151693338880032	6.61373128805924	3.748e-11	1.571e-09	8.80378929699262	ANKRD30BP2
48.56	1	0.29672854943788	3.38045370099599	7.237e-04	4.761e-03	2.32227889463278	CYR61
75.64	0.99	0.218237243075289	4.55257349321432	5.299e-06	6.716e-05	4.17289302641239	VASN
32.01	0.99	0.316468901877506	3.13091884958895	1.743e-03	9.867e-03	2.00580498110318	ADAMTS13
59.4	0.99	0.245651672851843	4.015763566712	5.925e-05	5.648e-04	3.24809842769289	NPPC
25.25	0.98	0.373562235907954	2.62979829244186	8.544e-03	3.627e-02	1.44043147194564	DRD4
158.71	0.98	0.150718035409747	6.51739087114461	7.154e-11	2.850e-09	8.54512909183909	BAI2
118.9	0.98	0.179875787844729	5.45913630400252	4.785e-08	1.007e-06	5.9968227571271	LOC339166
302.82	0.98	0.110624395770419	8.84918326513692	8.816e-19	1.135e-16	15.9449106177391	PLXNA2
41.8	0.97	0.294085769188298	3.30685452076926	9.435e-04	5.950e-03	2.22549933180141	SRGAP3
84.87	0.97	0.221511840827579	4.377161462001	1.202e-05	1.404e-04	3.85261089711353	GDF15
148.18	0.97	0.171447809416352	5.65223562961322	1.584e-08	3.757e-07	6.4251934451158	COL7A1
41.27	0.97	0.281494225285077	3.43856923262742	5.848e-04	3.981e-03	2.3999662497126	ZBTB8B
1743.8	0.97	0.137556920783765	7.0311577959278	2.048e-12	1.070e-10	9.97049703364765	GADD45B
36.03	0.97	0.321037653519103	3.01206668796626	2.595e-03	1.372e-02	1.86256314313601	SNAI3
278.04	0.96	0.126532936793868	7.62020012434084	2.533e-14	1.826e-12	11.7383989359799	LRP1
293.56	0.96	0.108205677081191	8.89094396991957	6.059e-19	8.017e-17	16.0959862349122	SORL1
236.92	0.96	0.130235110110374	7.33492931325328	2.218e-13	1.344e-11	10.8715144670358	SNAI1
55	0.95	0.24877717045333	3.8288114196018	1.288e-04	1.092e-03	2.96188563625177	DCAF4L1
58.38	0.95	0.250812462463842	3.77864175933551	1.577e-04	1.302e-03	2.88547406114725	LRRC32
77.92	0.94	0.205849256346058	4.58978949854975	4.437e-06	5.749e-05	4.24038686729972	GDPD5
161.04	0.94	0.147771950557321	6.39121745201566	1.646e-10	5.919e-09	8.22776781872271	NR4A1
52.44	0.94	0.242141105265157	3.88788528703039	1.011e-04	8.925e-04	3.04941314725969	IZUMO4
24.06	0.94	0.367367398127595	2.55624819999989	1.058e-02	4.308e-02	1.3657061279857	ASAP2
29.74	0.94	0.353320485086255	2.65647901195287	7.896e-03	3.400e-02	1.46847500411409	SHISA8
31.34	0.94	0.317431043731326	2.94903239576254	3.188e-03	1.627e-02	1.78851475653145	RTN4R
