baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
715.72	8.18	0.399365134228223	20.4931431605626	2.479e-93	3.769e-89	88.4238016392119	APOD
82.9	7.67	0.870153074491174	8.81958509668269	1.149e-18	2.008e-16	15.6972709679653	LOC645638
9.79	6.59	2.41694115414582	2.72452359284247	6.439e-03	2.785e-02	1.55521481675153	CCL3L1
8.36	6.35	1.20436736061462	5.27403798499699	1.335e-07	3.241e-06	5.48925544688258	CD300C
19.34	6.09	1.11136218675942	5.48283332751145	4.186e-08	1.128e-06	5.94752734932404	FCGR2C
6.65	6.02	1.71287102498003	3.51564289192841	4.387e-04	3.271e-03	2.48527245444032	RGPD2
6.19	5.91	1.43445767635019	4.12289862903951	3.741e-05	4.244e-04	3.37220437652747	METTL7B
29.8	5.52	0.85570117123062	6.45357035261702	1.092e-10	5.143e-09	8.28881353058543	TMEM200A
4.69	5.52	1.70300977133669	3.24193092509822	1.187e-03	7.380e-03	2.13193591828747	SIGLEC5
17.15	5.44	1.14584484191236	4.74895710953948	2.045e-06	3.502e-05	4.45569005671556	CXCR3
77.07	5.4	0.487066907149829	11.0826588481326	1.523e-28	1.052e-25	24.977787703121	ELK2AP
16.51	5.4	1.04752511519128	5.15155220131969	2.583e-07	5.828e-06	5.23448300468036	GRAP2
67.04	5.29	0.546359139182414	9.68213741109889	3.591e-22	9.415e-20	19.0261922674654	S1PR1
6.27	5.2	1.1752355272512	4.42527859347405	9.632e-06	1.365e-04	3.8649062960011	SLC2A9
6.15	5.14	1.37783278409088	3.73018140059788	1.913e-04	1.662e-03	2.77948950442083	ITM2C
3.45	5.07	1.43319601158745	3.53708521591636	4.046e-04	3.068e-03	2.51314927860773	HSPA7
3.42	5.07	1.76735258067828	2.86790702820842	4.132e-03	1.966e-02	1.70639267790452	ARHGAP19-SLIT1
3.39	5.05	1.82152662555525	2.77173068920118	5.576e-03	2.493e-02	1.60330408553111	SYNJ2BP-COX16
3.23	4.97	1.41843794055471	3.50554007020539	4.557e-04	3.370e-03	2.47237490405633	SLC6A12
16.07	4.84	0.81815560740323	5.91793526265059	3.260e-09	1.132e-07	6.94625912485608	GPR183
11.75	4.83	1.06091886360393	4.55003334230426	5.364e-06	8.205e-05	4.08593211470738	FCRL4
2.86	4.8	1.64698997576054	2.91378345152241	3.571e-03	1.757e-02	1.75520956257511	DAB2
2.66	4.72	1.50427968248582	3.13658078190709	1.709e-03	9.886e-03	2.00498500312212	AVPR1B
2.67	4.68	1.47181288947537	3.17658219031125	1.490e-03	8.858e-03	2.05266502127038	IQSEC3
2.49	4.61	1.42764289807243	3.22756616754856	1.248e-03	7.685e-03	2.11432837241994	FAM177B
2.44	4.58	1.80016225208873	2.54575113650841	1.090e-02	4.169e-02	1.37997178833589	LIMS3-LOC440895
