baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
53.5	8.53	1.09673031453641	7.77929884373993	7.293e-15	1.875e-13	12.7270059768209	LEFTY2
11.21	7	1.24854168978562	5.60860792708897	2.040e-08	2.154e-07	6.66685083949088	IPO11-LRRC70
6.59	6.24	1.53039208200785	4.07424315715152	4.616e-05	2.589e-04	3.58693167456093	GATSL1
10.89	6.23	1.23336000467744	5.04836588744085	4.456e-07	3.771e-06	5.42358317462394	ADH1C
4.91	5.81	1.74668005471719	3.32548273818229	8.827e-04	3.545e-03	2.45039967179336	LOC399753
3.99	5.51	1.35770258764493	4.06044328440624	4.898e-05	2.735e-04	3.56311201873895	CD300LB
79.07	5.5	0.540690550470719	10.1729501066712	2.619e-24	1.853e-22	21.7321418167206	TPM2
15.99	5.45	1.01638709393501	5.36534065308413	8.080e-08	7.717e-07	6.11252620523946	CD6
3.7	5.4	1.653462839483	3.2683122289046	1.082e-03	4.223e-03	2.37437271449088	IP6K3
3.55	5.34	1.69859835340816	3.1467089925059	1.651e-03	6.114e-03	2.21366833532374	TNXB
3.5	5.33	1.46549258308161	3.63504398373955	2.779e-04	1.290e-03	2.88933656550185	EPN3
3.24	5.22	1.45490497401969	3.58447704846012	3.378e-04	1.536e-03	2.8136016780699	CLEC3B
8.97	5.21	1.25210179859161	4.16041389979704	3.177e-05	1.856e-04	3.7315370099958	ST6GALNAC2
3.13	5.17	1.66009448789019	3.1120664318314	1.858e-03	6.766e-03	2.16969738398993	NID1
4.94	5.06	1.51191196665666	3.34551071527297	8.213e-04	3.336e-03	2.47679354095059	HRC
2.78	5	1.79418701132749	2.78578998911469	5.340e-03	1.697e-02	1.7703258929892	KLK2
2.58	4.88	1.58350870698741	3.08315112858565	2.048e-03	7.370e-03	2.13252454566007	RNU6-71
4.21	4.83	1.3550367725209	3.56475918733299	3.642e-04	1.641e-03	2.78495192491456	C19orf21
4.21	4.81	1.37952020819757	3.4888062822825	4.852e-04	2.107e-03	2.67631438968673	MSLN
10.05	4.79	1.03552593208025	4.62658964443029	3.717e-06	2.620e-05	4.5817578028028	HAPLN3
2.29	4.72	1.80422263849555	2.61370764830566	8.957e-03	2.651e-02	1.57660964909999	FPR1
2.27	4.7	1.54004406432483	3.05017489304403	2.287e-03	8.124e-03	2.09025487741894	VSNL1
2.26	4.69	1.64042225538313	2.8590773772819	4.249e-03	1.394e-02	1.85586033654444	PCDHB7
2.25	4.68	1.57876820610676	2.96696057132316	3.008e-03	1.030e-02	1.98722213438001	NLRP4
3.76	4.65	1.34691744495809	3.45338556804307	5.536e-04	2.370e-03	2.62533763195442	RFPL4A
3.66	4.63	1.59592943717653	2.89902765262315	3.743e-03	1.249e-02	1.90351928571937	C5orf48
2.13	4.62	1.92303443043668	2.40033731107006	1.638e-02	4.438e-02	1.35277475166704	LCN1
165.18	4.57	0.30539987123464	14.9594799715916	1.351e-50	6.129e-48	47.2126428478786	MYO7A
3.5	4.55	1.51523093610933	3.00336760795002	2.670e-03	9.289e-03	2.03201533289415	LOC388849
314.82	4.44	0.216295240232701	20.5299880900106	1.162e-93	3.585e-90	89.4454980329141	DHRS2
3.17	4.4	1.39479442008152	3.15396195633527	1.611e-03	5.987e-03	2.22277989127811	CKM
10.44	4.4	0.882177884455546	4.982572795981	6.274e-07	5.179e-06	5.28578118468556	CARD10
7.61	4.38	1.06447066763003	4.1154006006629	3.865e-05	2.205e-04	3.65659539385716	PTGDR2
2.98	4.32	1.68116381942427	2.568245203428	1.022e-02	2.965e-02	1.52800836710505	ADCY10
41.76	4.32	0.464298182153195	9.29910199301531	1.416e-20	6.871e-19	18.1629975535321	MS4A6A
42.3	4.25	0.559809699713491	7.59445889390393	3.091e-14	7.427e-13	12.1292090500731	L1CAM
6.98	4.24	1.06779289715403	3.97081306332444	7.163e-05	3.847e-04	3.41484970089079	PADI2
2.82	4.23	1.70279021184908	2.48269631303928	1.304e-02	3.656e-02	1.4370156529421	TRIM67
2.73	4.21	1.40983731814977	2.98567676125719	2.830e-03	9.778e-03	2.00975992643758	CTSE
2.58	4.16	1.56909878545969	2.64827704553048	8.090e-03	2.429e-02	1.61457510398261	ACHE
2.66	4.14	1.71198840619878	2.41752221025519	1.563e-02	4.276e-02	1.36893075967022	ARSF
2.58	4.1	1.49185667551025	2.74982556541514	5.963e-03	1.871e-02	1.72800394416499	DDX43
