OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
A1BG	10.0183	9.54654	8.04704	10.7583	8.24782	8.8076	11.9741	12.7579	13.6347
A1BG-AS1	7.12076	6.93382	7.1435	5.99803	6.40892	5.29386	5.69816	6.51591	6.56274
A1CF	0.53071415627855	0.8059767342457	0.51918970402085	0.48513807088759	0.5784332094072	0.6094890609352	0.42137740005848	0.4325963332983	0.35163449427347
A2M	0.314778	0.316871	0.663163	0.398164	0.370841	0.36838	0.289947	0.407766	0.335481
A2M-AS1	0.360933	0.316127	0.430684	0.321717	0.231122	0.27228	0.328158	0.504735	0.247734
A2ML1	0.303147	0.324943	0.396193	0.411492	0.328725	0.351444	0.354795466381	0.401674	0.327161
A2MP1	0.140586	0.205252	0.197191	0	0.199918	0.132628	0	0	0.175241
A4GALT	0.126228	0.110559	0.159475	0.207733	0.134711	0.142839	0.222783	0.362304	0.307157
A4GNT	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0
AAAS	38.1969	36.419592	35.97116	39.23719	39.22315	40.25944	50.13535	55.54206	45.97656
AACS	4.81381	4.39166	5.44367	5.10668	4.66116	4.21123	7.45067	7.39653	6.89128
AACSP1	1.11456	1.73311	1.81124	1.32075	1.55152	1.3366	1.26345	1.28398	1.31531
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	0.225786	0.329573	0.461646	0.109201	0.32612	0.431992	0.234384	0.38149	0.199004
AADACL4	0	0	0	0	0	0	0	0	0
AADAT	0.668507	0.344719	0.484652	0.585377	0.390294	0.413173	0.320133	0.285311	0.0501501
AAED1	14.0165	15.9162	18.2634	15.6628	16.757	17.5007	17.6417	16.2113	16.2306
AAGAB	46.40358	47.8011	51.60835	50.01738	51.15449	52.30826	52.81752	57.576328878	54.33055
AAK1	1.50812	1.48803	1.66626	1.43005	1.63627	1.59657	1.62108	1.64444	1.75473
AAMDC	17.1531	17.6192	18.2848	24.3992	21.7254	18.299	37.7001	30.4777	27.0508
AAMP	83.7533	88.3848	80.3962	89.9818	80.573	79.5636	83.4158	90.3881	84.068
AANAT	1.511295	1.25968	0.9196217	1.749162	1.17119	0.70865	0.827356	0.993236	1.221324
AAR2	23.27417	24.06533	19.89373	22.25675	20.80417	20.8572	25.01488	26.97747	27.19921
AARD	0.617125	0.588574	0.288093	0.485592	0.594091	0.727523	0.56036	0.536846	0.373293
AARS	133.047	125.231	129.656	154.25	138.334	147.996	220.001	227.959	217.079
AARS2	12.1107	12.3649	11.0185	12.3433	11.2597	11.5828	9.88326	12.315	10.6599
AARSD1	47.4031	45.2046	43.6013	50.0154	48.1146	47.301	54.1325	57.7978	52.5154
AASDH	7.48547	7.30517	8.18611	7.76742	7.96047	8.90268	8.12107	7.74622	8.21809
AASDHPPT	43.0824	41.7228	47.3873	44.4228	55.3564	54.0376	44.8166	50.7908	48.8568
AASS	0.623631	0.947927	0.686076	0.727234	0.611223	0.809167	0.482858	0.756064	0.781676
AATF	90.1131	92.9439	97.6748	91.1886	87.0005	99.1842	94.2952	97.2538	89.5707
AATK	0	0	0	0.0101665	0	0	0.0079364	0.0218656	0.00926721
AATK-AS1	0.0688472	0	0.108689	0.0708559	0.0367271	0	0.0552362	0	0.128809
ABAT	0.523945	0.921062	0.792193	0.8658688	0.7722451	0.709018	2.251177	2.501481	1.5834039
ABCA1	4.17311	3.92302	4.7049	4.88226	4.85404	4.98039	4.25871	5.05565	4.2101
ABCA10	0.244984	0.230699	0.233114	0.121858	0.253144	0.324062	0.462738	0.410467	0.38494
ABCA11P	14.6301	11.8029	14.1644	13.8761	13.3151	14.2002	19.244	19.6587	17.8629
ABCA12	0.479978	0.179635	0.40844	0.4804242	0.486239	0.443747	0.31589	0.462473	0.415059
ABCA13	0.118947	0.101728	0.0739635	0.0778639	0.0840691	0.124132	0.0717605	0.0414947	0.0816429
ABCA17P	0.387443	0.371131	0.522886	0.28618	0.568756	0.410921	0.223376	0.321041	0.170086
ABCA2	0.2686271	0.2584192	0.231497	0.38854100244786	0.417183	0.276026	0.89055928	1.032374	0.92011
ABCA3	0.150913	0.330412	0.286179	0.139538	0.177253	0.170713	0.24815	0.23349	0.261528
ABCA4	0	0	0	0.00699223	0	0	0.0218375	0.0827442	0.0510081
ABCA5	1.376748	1.272171	1.402565	1.268002	1.948799	1.820872	2.374961	2.68464	3.03056
ABCA6	3.22843	3.28476	3.63101	3.18061	3.23409	3.85355	1.88889	1.77321	2.09895
ABCA7	15.8652	13.0004	14.0675	16.1937	14.3359	14.0027	18.1014	21.6698	19.4795
ABCA8	0	0	0	0	0	0	0.00703557	0	0.0246476
ABCA9	1.29936	1.16734	1.47352	1.27046	1.3181	1.26968	1.06562	0.954746	1.37543
ABCB1	4.77735	5.04131	5.38298	5.72265	5.25531	5.68049	7.80964	10.5451	8.55345
ABCB10	11.2921	11.3222	11.2964	11.7545	14.4917	13.1146	20.1159	22.1663	19.6177
ABCB11	0	0	0	0	0	0	0	0	0
ABCB4	11.0802191	10.3454992	12.614649	12.3753300723178	13.51986	14.93643	25.89173	27.67919	27.03344
ABCB5	2.499607	1.40811	2.06855	1.727505	1.868015	1.395203	1.356639	1.184122	1.806111
ABCB6	13.6007	12.6043	13.7843	14.8763	14.4818	13.9013	13.9765	17.6039	14.5077
ABCB7	27.345997	30.81286	31.72263	29.65932	29.5202967	32.259092	23.2620098339	26.07957	24.43154
ABCB8	13.974	13.2046	11.4602	13.0631	11.6155	11.283	11.9788	14.4869	13.3404
ABCB9	0.3852727	0.498965	0.47657389143	0.5172089	0.4332362	0.3928119	0.992896	1.285824	1.099899
ABCC1	23.1918	25.3689	22.6515	23.4901	22.3886	22.7776	23.8502	25.4615	27.3539
ABCC10	5.43875	3.89169	4.17557	4.22658	4.30518	4.22442	5.47858	4.84105	5.38661
ABCC11	0.0340091	0	0	0.0465979	0.0121032	0.0961851	0.0909333	0.050101	0.0637033
ABCC12	0	0	0	0	0	0	0	0	0
ABCC13	0.331113	0.268882	0.466494	0.285417	0.275887	0.312881	0.382976	0.425359	0.225655
ABCC2	0.0498554	0.0145541	0.0105037	0.0512278	0.0532298	0.0563992	0.0159961	0.0771239	0.102731
ABCC3	0.019484	0	0	0.01001	0.0520072	0.0551032	0.00781431	0	0.0182495
ABCC4	24.26184	26.8532	24.16606	25.71647	25.65447	27.36431	28.20798	27.12136	29.33929
ABCC5	18.59202	21.84406	20.43178	20.13652	20.60631	19.32933	30.1649	29.6278	30.7161
ABCC5-AS1	2.99763	1.8463	2.31565	3.92898	2.18239	2.46267	1.14082	0.518818	3.0826
ABCC6	0.108221	0.0861619	0.217641	0.192072	0.168068	0.027824	0.0868072	0.108711	0.101364
ABCC6P1	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0
ABCC8	0.0101222	0	0.0106628	0	0	0	0.0405964	0.0111845	0
ABCC9	9.09375	7.97702	9.29129	8.62201	9.45471	8.53333	5.88644	6.4087	7.24115
ABCD1	0.445389	0.650122	0.57173	0.729567	0.624067	0.413345	0.736872	1.23005	0.703823
ABCD2	8.06687	9.54886	9.44987	8.54009	10.1306	9.99609	9.38505	10.5573	11.3647
ABCD3	42.1237	46.2337	48.963	44.2061	50.1722	50.3383	38.4532	43.0169	43.035
ABCD4	8.55363	8.234977	8.29504	8.95151	9.39189	9.355394	10.95526	14.535778	12.21664
ABCE1	96.40603	100.04319	107.49475	92.10379	109.06795	114.94327	74.89267	82.46714	81.92817
ABCF1	74.7646	74.2272	76.7698	75.0716	68.8462	74.4823	64.7096	72.2177	70.0372
ABCF2	104.7819	108.1187	101.9125	101.9852	101.4888	101.4557	104.6801	105.8791	103.5714
ABCF3	26.6713	26.7424	26.2115	29.3782	25.5326	27.4268	31.0635	33.7172	29.019
ABCG1	4.368079	4.575083	4.4023929	4.29498	3.8464826	3.444449	2.778946	3.108589	3.199692
ABCG2	0.0236974	0.017295	0.0124807	0.0121764	0.01265	0.033511	0.0380173	0	0.0332903
ABCG4	0.0282644	0	0.0148848	0	0.0150869	0	0.0113362	0.0468348	0.0132338
ABCG5	0.0378078	0.0275944	0.0597213	0.058307	0	0.0267361	0.106152	0.0626302	0.0176979
ABCG8	0	0.0852624	0	0	0.041564	0	0	0	0.0364547
ABHD1	2.5414	2.21503	2.83405	2.92852	2.18513	2.62968	1.97816	2.09206	2.62531
ABHD10	17.23268	18.319396	19.942093	16.7372051	19.64292	20.295013	18.710394	21.113322	18.171468
ABHD11	22.24146	23.41877	21.29042	21.61483	22.21302	20.71205	19.70188	19.70009	17.15214
ABHD12	18.92685	17.65407	18.05088	17.85664	18.59412	17.88798	21.86534	24.17415	21.00134
ABHD12B	19.37092	19.8984	18.9821	19.21514	18.76896	19.44124	16.16574	16.956106	17.217772
ABHD13	4.80855	4.80372	5.46513	4.71662	6.63279	6.03511	5.79699	6.49769	7.09791
ABHD14A	12.1846	12.2469	11.6914	10.7634	11.0145	11.6526	15.4551	19.3854	19.7152
ABHD14A-ACY1	1.90582	0	0	0	1.45574	0	1.08711	0.873541	0.752265
ABHD14B	26.15685	27.83559	25.60376	28.01978	24.08994	25.07565	29.63412	33.02686	31.30096
