OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
A1BG	329.86	215.317	251.708	344.273	254.502	204.997	491.421	380.634	479.801
A1BG-AS1	287.608	191.85	274.046	235.542	242.552	151.165	286.886	238.393	283.216
A1CF	99.141062086819	103.15499613604	92.054798817605	88.226369734567	101.19482677859	80.52612279813	98.138657006328	73.115459374516	70.116464151381
A2M	29	20	58	35.6974	32	24	33.3016	34	33
A2M-AS1	15	9	17	13	9	8	17	19	11
A2ML1	31.2792	22.9703	35.98959	41.3217	31.7679	25.6443	45.6392432633	37.5076	36.0405
A2MP1	3	3	4	0	4	2	0	0	4
A4GALT	5	3	6	8	5	4	11	13	13
A4GNT	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0
AAAS	1308.0045	856.9998	1167.002	1306.9967	1257.9963	974.0003	2133.002	1727.0006	1680
AACS	312	195	335	322	283	193	602	434	477
AACSP1	46	49	71	53	60	39	65	48	58
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	17	17	33	8	23	23	22	26	16
AADACL4	0	0	0	0	0	0	0	0	0
AADAT	26.6994	9.43137	18.3852	22.7305	14.6062	11.6662	15.9377	10.3221	2.14009
AAED1	306	238	379	332	343	270	480	321	379
AAGAB	2889.005	2048.002	3053	3041.996	2981.003	2303.998	4097.001	3265.99899315	3618.002
AAK1	652.692	441.228	684.373	602.627	663.111	488.715	874.708	643.782	810.489
AAMDC	121	85	123	166	144	91	331	196	205
AAMP	2804	2027	2557	2928	2528	1883	3481	2742	3008
AANAT	47.01517	31.0131	30.01844	54.02745	35.01173	18.0048	34.014	30.00732	40.01563
AAR2	1133	802	909.9997	1048	947	722	1509	1190	1399.998
AARD	20.5723	13.4404	9.12356	15.7332	18.5599	17.1441	23.2839	16.216	13.2995
AARS	8686	5601	8037	9797	8460	6832	17905	13473	15135
AARS2	1147.77	802.847	991.338	1138.44	999.49	776.291	1167.73	1056.3	1078.67
AARSD1	1170	764.244	1022.75	1199	1113.28	825.122	1665.24	1293.46	1386.02
AASDH	522	349	542	527	520	439	706	489	612
AASDHPPT	2385.92	1582.94	2492	2392.98	2872	2115.99	3094	2546.88	2889.97
AASS	73.0307	76.0523	76.2653	82.8894	67.0372	67.0127	70.4951	80.1216	97.725
AATF	3660	2586	3768	3601	3311	2848	4774	3578	3887
AATK	0	0	0	1	0	0	1	2	1
AATK-AS1	2	0	3	2	1	0	2	0	4
ABAT	55	64	72	81.00003	70	49	270.0002	221.9998	162.0004
ABCA1	885	570	947	1008	964	747	1126	970	953
ABCA10	31	20	28	15.0087	30	29	73	47	52
ABCA11P	520.407	287.601	478.615	479.792	443.842	357.08	853.25	633.553	679.014
ABCA12	78	20	63	77.00005	74	51	64	68	72
ABCA13	41.5243	24.3312	24.5048	26.4662	27.4821	30.6493	31.2332	13.1039	30.4188
ABCA17P	32	21	41	23	44	24	23	24	15
ABCA2	44	28.99996	36	62.000000390217	64	32	182.000323	152.9998	161
ABCA3	20	30	36	18	22	16	41	28	37
ABCA4	0	0	0	1	0	0	4	11	8
ABCA5	252.0536	159.9376	241.5518	223.2441	325.843	232.8042	526.583	431.121	574.194
ABCA6	340	237	363	326	319	287	248	169	236
ABCA7	2166	1216	1823	2152	1833	1352	3081	2677	2839
ABCA8	0	0	0	0	0	0	1	0	3
ABCA9	163.62	100.708	176.128	155.715	155.448	113.07	167.292	108.791	184.899
ABCB1	446.301	322.655	477.393	520.265	459.84	375.276	909.549	891.586	853.163
ABCB10	856	588	813	867	1029	703	1901	1521	1588
ABCB11	0	0	0	0	0	0	0	0	0
ABCB4	853.69856	543.34462	916.6075	921.73600549293	972.16	812.724	2471.449	1930.413	2203.833
ABCB5	136.6152	54.8098	113.0983	94.0051	92.1198	51.6946	95.998	59.3303	103.274
ABCB6	797	506	767	848	795	576	1021	934	908
ABCB7	1326.0006	1022.0004	1459.0003	1395.999	1339.99994	1105.9997	1401.99985444	1144.0001	1259.0002
ABCB8	1296	839	1009	1179	1009	740	1385	1216	1321
ABCB9	20.999974	18.99996	25.999980484	33.999976	20.99996	14.00001	67	68.00009	67
ABCC1	3045	2282	2823	3002	2753	2115	3904	3025	3834
ABCC10	547	267	398	413	405	300	684	439	577
ABCC11	3	0	0	4	1	6	10	4	6
ABCC12	0	0	0	0	0	0	0	0	0
ABCC13	18.086	10.0614	24.1961	15.164	14.1176	12.0838	26.0772	21.0375	13.1652
ABCC2	5	1	1	5	5	4	2	7	11
ABCC3	2	0	0	1	5	4	1	0	2
ABCC4	2257.981	1702.787	2231.348	2365.665	2352.851	1926.094	3515.594	2374.883	3050.222
ABCC5	1482.998	1086	1450.997	1562.996	1444.003	1094	3042.001	2261	2717.001
ABCC5-AS1	19	8	14	24	13	11	9	3	21
ABCC6	11	6	21	19	16	2	11	10	11
ABCC6P1	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0
ABCC8	1	0	1	0	0	0	5	1	0
ABCC9	1522.37	914.925	1476.35	1405.1	1482.29	1010.32	1228.58	970.717	1293.99
ABCD1	32	32	39	51	42	21	66	80	54
ABCD2	857	695	953	883	1008	751	1243	1015	1289
ABCD3	2254.674	1672.766	2527.856	2244.998	2453.705	1951.382	2689	2137.804	2509.214
ABCD4	521.9999	346.0004	481.0001	531.0001	537.9998	404.9999	835	808.0003	797.9997
ABCE1	7973.905	5668.915	8440.868	7412.876	8449.907	6722.935	7722.442	6173.887	7235.754
ABCF1	5065	3445	4938	4948	4369	3568	5465	4429	5067
ABCF2	6161.08	4429.82	5558.3	5761.44	5465.87	4118.3	7390.65	5483.56	6376.98
ABCF3	1319	906	1231	1413	1183	959	1915	1510	1533
ABCG1	248.9999	179.9999	239.00031	238.00027	205.9997	139	199.99982	163	199
ABCG2	2	1	1	1	1	2	4	0	3
ABCG4	2	0	1	0	1	0	1	3	1
ABCG5	2	1	3	3	0	1	7	3	1
