TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
A1BG	10.0326	10.2832	8.76418	10.2415	9.90582	10.7291	8.47611	8.76473	10.4658
A1BG-AS1	6.4971	6.18253	6.56256	6.18488	5.07456	6.35431	4.7957	6.71289	6.30361
A1CF	0.19067857177639	0.2697381718069	0.2755355622634	0.171516080997	0.2505108684595	0.2381645382019	0.2031150963527	0.1844368345523	0.1897687901782
A2M	0.0856985	0.124101	0.108698	0.102181	0.126856	0.139657	0.0800114	0.0622705	0.0640152
A2M-AS1	0.0237251	0.0735266	0.0643226	0.0226676	0.0201159	0.0309862	0.0322942	0.0197506	0
A2ML1	0.1634651	0.1709374	0.13410900498883	0.1360505	0.1082306	0.131099	0.1733911	0.1287526	0.1018925
A2MP1	0	0	0	0	0	0	0	0	0
A4GALT	0.0995593	0.0385791	0.0506193	0.0475679	0.084432	0.0650254	0.118604	0.0828992	0
A4GNT	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0
AAAS	21.925359	17.929326	20.040118	16.860702	14.350281	15.107641	12.2833	12.1588	13.886189
AACS	5.92135	5.22555	4.9872	5.23005	5.6442	6.06642	5.99964	6.68001	6.75333
AACSP1	1.05115	1.05507	0.809637	0.844543	0.627943	0.951665	0.520311	0.835311	0.857973
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	0.262109	0.263317	0.195109	0.162559	0.221805	0.153821	0.186953	0.119768	0.109675
AADACL4	0	0	0	0	0	0	0	0	0
AADAT	0.154496	0.199409	0.088426	0.174585	0.217324	0.188567	0.124548	0.0643771	0.0652944
AAED1	7.9366	6.60276	5.61138	4.88171	4.64453	4.28261	4.09759	3.12851	4.27596
AAGAB	12.428348	10.083331	9.97784	9.46725	8.79512	8.74307	7.02184	7.840596	8.04577
