TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
A1BG	335.174	442.739	431.583	357.834	389.87	548.421	415.605	351.326	291.851
A1BG-AS1	266.16	326.844	396.603	265.167	245.152	398.584	288.626	330.297	215.698
A1CF	36.078951874962	66.17365118788	77.1382732956	34.04745961238	56.09560940716	69.18777413348	56.65780498564	42.06965643008	30.06478075842
A2M	8	15	15	10	14	20	11	7	5
A2M-AS1	1	4	4	1	1	2	2	1	0
A2ML1	15.43968	22.68025	20.728900555934	13.75261	12.64468	21.0284	25.24817	14.68649	8.42707
A2MP1	0	0	0	0	0	0	0	0	0
A4GALT	4	2	3	2	4	4	7	4	0
A4GNT	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0
AAAS	764.0001	805.0003	1030.00009	613.9996	588.9999	806.00048	629	509	403.99952
AACS	389	444	484	360	438	611	580	528	371
AACSP1	44	57	50	37	31	61	32	42	30
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	20	26	22	13	20	18	21	11	7
AADACL4	0	0	0	0	0	0	0	0	0
AADAT	6.25854	10.4237	5.28414	7.40134	10.3813	11.6958	7.41191	3.13209	2.20926
AAED1	176	188	183	113	121	145	133	83	79
AAGAB	789.0005	826.0002	930	626	659.9997	858	663	597.9998	427.9998
AAK1	721.195	857.214	858.509	623.694	711.845	1178.23	883.951	765.739	587.853
AAMDC	22	20	24	19	27	36	25	33	16
AAMP	934	1157	1309	936	909	1174	891	792	554
AANAT	45.0074	82.0501	94.0725	43.0342	50.0468	72.5549	53.0437	41.04663	29.03156
AAR2	558	613.9998	725	436	479	629	475.9997	414.9999	292.9999
AARD	23.3553	46.0248	51.2176	39.4977	47.0739	69.8397	37.1477	26.5407	29.9709
AARS	2088	2193	2544	2358	2534	3635	3150	2742	2023
AARS2	919.388	1021.57	1141.11	786.61	829.956	1110.69	811.908	747.402	527.512
AARSD1	396.843	490.767	510.11	301.446	381.604	480.714	288.088	297.857	187.624
AASDH	394	407	415	322	319	431	421	338	263
AASDHPPT	655	666	753	431	407.967	533	395	344	260
AASS	50.7324	77.3443	67.3986	39.6805	46.2956	65.0259	48.3824	38.9705	33.1798
AATF	1333	1552	1834	1100	1053	1663	1033	866	661
AATK	1	1	1	2	1	4	11	14	5
AATK-AS1	0	0	0	0	1	1	1	0	1
ABAT	16	24.99998	18.99998	24.99998	23.99998	42	40	44	24
ABCA1	34	42	41	34	44	86	64	66	32
ABCA10	20.0589	19	21	38	33.0734	58	45	33.0713	32
ABCA11P	81.4845	89.689	91.6203	51.3134	69.4201	105.691	68.4623	76.5888	52
ABCA12	7	5	5	3	1	2	5	4	4
ABCA13	13.1157	34.3804	34.352	17.2648	22.3339	38.3309	19.1579	22.2845	25.1054
ABCA17P	4	6	17.3743	9	4	9	6	5	2
ABCA2	159	180.0002	192.9995	196	258	336	335	319.9999	220.9997
ABCA3	47	48	46.6257	44	46	56	56	49	28
ABCA4	0	0	0	0	0	1	0	1	0
ABCA5	457.934	444.967	520.0685	581.777	599.745	853.995	740.489	615.734	484.227
ABCA6	3552	3523	3987	3075	3238	4727	3547	3055	2146
ABCA7	16639	18499	21359	21235	24846	35906	33146	28458	21714
ABCA8	10	15	17.0568	18	19	29	33	23	14
ABCA9	239.601	296.415	312.802	298.076	356.004	599.664	480.117	395.111	327.577
ABCB1	0	0	1	0	0	0	1	0	1
ABCB10	1049	1115	1151	773	729	961	743	717	469
ABCB11	4	2	4	5	4	3	4	1	0
ABCB4	120.00000352488	114.000024	125	141.99991	179	244.9999978	166	136	88
ABCB5	49.7864	111.9196	108.9053	64.6464	72.1786	131.6798	83.8699	78.66439	54.2923
ABCB6	217	242	314	252	257	436	301	257	164
ABCB7	598.9997	608	696.99984	432.99964	498.000863326	617.9992	485.999768	435.9994	288.9998
ABCB8	505	573	664	447	508	674	561	500	323
ABCB9	51.00005238968	74.00002	77.00002	71.0001	78.000028	119.0000221444	120.00002883	103	79.9999919
ABCC1	2539	2629	2956	1910	2045	2901	2219	1849	1412
ABCC10	474	639	760	503	470	680	547	490	310.0004
