Sample_Type	Vendor_ID	Compound_Name	SMILES	Screened_Concentration	Peptide_Lum_Rep1	Peptide_Lum_Rep2	Peptide_Avg_Lum	Peptide_Zscore_Rep1	Peptide_Zscore_Rep2	Peptide_Avg_Zscore	Peptide_Hit_Rep1	Peptide_Hit_Rep2	Nuc_Lum_Rep1	Nuc_Lum_Rep2	Nuc_Avg_Lum	Nuc_Zscore_Rep1	Nuc_Zscore_Rep2	Nuc_Avg_Zscore	Nuc_Hit_Rep1	Nuc_Hit_Rep2	Peptide_Screen_Hit	Nuc_Screen_Hit	Hit_Type
Primary Screen Hit	ChemBridge 36361706	4-(aminosulfonyl)-N-[1-(4-methyl-1H-imidazol-2-yl)ethyl]benzamide	S(N)(=O)(=O)c(cc1)ccc1C(=O)NC(C)c2[nH]cc(C)n2	533.3 uM	38787	46431	42609	-4.15	-3.23	-3.69	Y	Y	47519	92906	70212.5	-7.98	-4.44	-6.21	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 83147402	5-methoxy-N-[(6-methoxy-1H-benzimidazol-2-yl)methyl]-4-oxo-1,4-dihydropyridine-2-carboxamide	n(c(ccc(c1)OC)c1[nH]2)c2CNC(=O)C3=CC(C(OC)=CN3)=O	533.3 uM	5997	12404	9200.5	-14.51	-11.51	-13.01	Y	Y	66	279	172.5	-14.07	-15.37	-14.72	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 39938344	N-(2,5-difluoro-4-hydroxyphenyl)-3-(4,5,6,7-tetrahydropyrazolo[1,5-a]pyrazin-2-yl)propanamide hydrochloride	n1(CC2)c(CN2)cc(CCC(=O)Nc3c(F)cc(c(F)c3)O)n1	533.3 uM	9112	9564	9338	-13.53	-12.21	-12.87	Y	Y	14042	19564	16803	-12.27	-13.10	-12.68	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 53999670	4-(3-aminoisoquinolin-6-yl)-N-{2-[ethyl(methyl)amino]ethyl}-N-methylbenzamide	C(=O)(c(cc1)ccc1c(ccc(c2cc(n3)N)c3)c2)N(C)CCN(C)CC	533.3 uM	49	44	46.5	-16.39	-14.52	-15.46	Y	Y	298	630	464	-14.04	-15.33	-14.68	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 79042206	2-(3-biphenyl-4-yl-1,4,6,7-tetrahydro-5H-pyrazolo[4,3-c]pyridin-5-yl)-N-ethylacetamide	c(C1)(c(CCN1CC(NCC)=O)[nH]n2)c2c(cc3)ccc3c4ccccc4	533.3 uM	30436	32575	31505.5	-6.79	-6.60	-6.69	Y	Y	76260	89331	82795.5	-4.29	-4.86	-4.58	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 26996278	4-(2-amino-6-methylpyrimidin-4-yl)-7-(2-methylphenyl)-2,3,4,5-tetrahydro-1,4-benzoxazepin-9-ol	n1c(N)nc(cc1N(CCOc(c(cc2c3ccccc3C)O)c4c2)C4)C	533.3 uM	25793	38298	32045.5	-8.25	-5.21	-6.73	Y	Y	555	819	687	-14.00	-15.31	-14.66	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 87234027	3-[4-(2-chloro-3,4-dimethoxybenzyl)piperazin-1-yl]pyrazine-2-carbonitrile	c1(nccnc1C#N)N(CC2)CCN2Cc(ccc(c3OC)OC)c3Cl	533.3 uM	41163	45286	43224.5	-3.40	-3.51	-3.45	Y	Y	38190	66543	52366.5	-9.17	-7.55	-8.36	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 46748433	4-(8-cyclopentyl-9-oxo-2,8-diazaspiro[5.5]undec-2-yl)-2-methoxynicotinonitrile	N1(C2CCCC2)CC(CCCN3c4ccnc(OC)c4C#N)(CCC1=O)C3	533.3 uM	31981	29809	30895	-6.30	-7.28	-6.79	Y	Y	20647	28046	24346.5	-11.42	-12.10	-11.76	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 20405562	2-[(4-hydroxy-2-pyridin-2-ylpyrimidin-5-yl)carbonyl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide	N1(Cc(cccc2)c2CC1C(N)=O)C(=O)c(cnc(n3)c4ccccn4)c3O	533.3 uM	8294	12217	10255.5	-13.78	-11.56	-12.67	Y	Y	2748	4598	3673	-13.72	-14.86	-14.29	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 68847585	4-{1-[3-(3-ethyl-1,2,4-oxadiazol-5-yl)phenyl]-1H-imidazol-2-yl}pyridine	n1(ccnc1c(cc2)ccn2)c(cccc3c4onc(CC)n4)c3	533.3 uM	21739	31666	26702.5	-9.54	-6.82	-8.18	Y	Y	80505	81234	80869.5	-3.74	-5.82	-4.78	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 81872063	N-cyclopropyl-N'-{rac-(3R,4S)-4-[(3-methylisoxazol-5-yl)methyl]tetrahydrofuran-3-yl}-N-[(1-methyl-1H-pyrazol-4-yl)methyl]urea	C(=O)(N[C@H]1COC[C@H]1Cc(cc(n2)C)o2)N(Cc(c3)cn(n3)C)C4CC4	533.3 uM	42214	41410	41812	-3.07	-4.45	-3.76	Y	Y	84954	104314	94634	-3.17	-3.10	-3.13	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 72802973	N-[2-(4-chlorophenoxy)ethyl]-2-ethyl-3-oxopiperazine-1-carboxamide	N1(CCNC(=O)C1CC)C(NCCOc(cc2)ccc2Cl)=O	533.3 uM	983	1126	1054.5	-16.09	-14.26	-15.18	Y	Y	6186	11844	9015	-13.28	-14.01	-13.64	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 95479415	N~2~-[3-(5-chloro-1H-benzimidazol-2-yl)propyl]-5-fluoro-N~4~-methylpyrimidine-2,4-diamine	n1c(NCCCc2[nH]c(c3n2)ccc(Cl)c3)ncc(F)c1NC	533.3 uM	27950	35378	31664	-7.57	-5.92	-6.75	Y	Y	53136	69235	61185.5	-7.25	-7.24	-7.25	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 77818633	2-methoxy-N-(2-oxo-6-pyrrolidin-1-yl-2,3-dihydro-1H-benzimidazol-5-yl)isonicotinamide	C1(=O)Nc(c(cc(c2NC(=O)c(ccnc3OC)c3)N4CCCC4)N1)c2	533.3 uM	36427	32618	34522.5	-4.89	-6.59	-5.74	Y	Y	39591	47618	43604.5	-8.99	-9.79	-9.39	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 11356820	1-(5-methyl-1,3,4-thiadiazol-2-yl)-N-(pyridin-4-ylmethyl)-N-(tetrahydrofuran-2-ylmethyl)methanamine	c1(CN(CC2CCCO2)Cc(cc3)ccn3)sc(nn1)C	533.3 uM	1724	2938	2331	-15.86	-13.82	-14.84	Y	Y	13055	17396	15225.5	-12.40	-13.35	-12.88	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 69542092	N-[2-(2-pyrimidin-2-yl-1,3-thiazol-4-yl)ethyl]-4-pyrrolidin-1-ylbenzamide	c1(c2ncccn2)scc(CCNC(=O)c(cc3)ccc3N4CCCC4)n1	533.3 uM	39606	42245	40925.5	-3.89	-4.25	-4.07	Y	Y	56194	72739	64466.5	-6.86	-6.82	-6.84	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 67346361	2,3-dimethyl-5-phenyl-N-(1H-tetrazol-5-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine	c1(c(C)c(n2)C)n2c(cc(c3ccccc3)n1)NCc([nH]nn4)n4	533.3 uM	33381	36254	34817.5	-5.86	-5.71	-5.78	Y	Y	2804	5466	4135	-13.71	-14.76	-14.24	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 92326478	3-hydroxy-N-{cis-4-[(3-methylbut-2-en-1-yl)oxy]tetrahydro-2H-pyran-3-yl}isonicotinamide	C(=O)(N[C@@H]1COCC[C@@H]1OC\C=C(\C)/C)c2ccncc2O	533.3 uM	14429	23476	18952.5	-11.85	-8.82	-10.33	Y	Y	45759	61931	53845	-8.20	-8.10	-8.15	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 76697906	4-{[4-(3-pyridin-3-ylpropanoyl)-1,4-diazepan-1-yl]carbonyl}pyridin-3-ol	C(=O)(N(CCCN1C(CCc(cccn2)c2)=O)CC1)c3ccncc3O	533.3 uM	20836	20312	20574	-9.82	-9.59	-9.70	Y	Y	56404	67443	61923.5	-6.83	-7.45	-7.14	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 46283052	5-isonicotinoyl-1-(4-methoxybenzyl)-4,5,6,7-tetrahydro-1H-pyrazolo[4,3-c]pyridine-3-carboxylic acid	c1(C2)c(CCN2C(c(cc3)ccn3)=O)n(nc1C(O)=O)Cc(cc4)ccc4OC	533.3 uM	22566	24459	23512.5	-9.27	-8.58	-8.93	Y	Y	53181	89436	71308.5	-7.25	-4.85	-6.05	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 70094087	N-[2-(2,3-dihydro-1H-indol-1-yl)ethyl]-2-methoxy-4,5-dimethylbenzenesulfonamide	S(NCCN1CCc(cccc2)c12)(=O)(=O)c3c(OC)cc(c(C)c3)C	533.3 uM	24856	27791	26323.5	-8.55	-7.77	-8.16	Y	Y	7560	10951	9255.5	-13.10	-14.11	-13.61	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 16295086	3-(diphenylmethyl)-5-[2-(1H-tetrazol-5-yl)ethyl]-4,5,6,7-tetrahydro-1H-pyrazolo[4,3-c]pyridine	c12c(CCN(CCc([nH]nn3)n3)C1)[nH]nc2C(c4ccccc4)c5ccccc5	533.3 uM	28	16	22	-16.40	-14.53	-15.46	Y	Y	14	162	88	-14.07	-15.39	-14.73	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 70024836	2-(2,2-dimethylpropanoyl)-7-{[2-(methoxymethyl)pyrrolidin-1-yl]sulfonyl}-1,2,3,4-tetrahydroisoquinoline	S(=O)(=O)(c(ccc(c1C2)CCN2C(=O)C(C)(C)C)c1)N3CCCC3COC	533.3 uM	809	1289	1049	-16.15	-14.22	-15.19	Y	Y	2591	3677	3134	-13.74	-14.97	-14.36	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 34166432	2-[({[(1R*,2R*,3S*,4S*)-3-aminobicyclo[2.2.1]hept-2-yl]carbonyl}amino)methyl]-N,N-dimethyl-7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepine-5(6H)-carboxamide hydrochloride	c(C1)(cc(n2)CNC(=O)[C@H]3[C@@H](N)[C@H](C[C@H]34)CC4)n2CCCN1C(=O)N(C)C	533.3 uM	19266	31834	25550	-10.32	-6.78	-8.55	Y	Y	46990	60074	53532	-8.04	-8.32	-8.18	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 29630370	N-(6-cyclopentyl-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-4-yl)-N'-pyridin-3-ylpropane-1,3-diamine	c1(n2C)c(cn2)c(NCCCNc(cccn3)c3)nc(C4CCCC4)n1	533.3 uM	5639	5603	5621	-14.62	-13.17	-13.90	Y	Y	32155	38361	35258	-9.95	-10.88	-10.41	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 70385670	N'-[2-(1-ethylpiperidin-4-yl)ethyl]-N-methyl-N-[(3-pyridin-4-ylisoxazol-5-yl)methyl]urea	n(o1)c(c(cc2)ccn2)cc1CN(C)C(NCCC(CC3)CCN3CC)=O	533.3 uM	3983	8648	6315.5	-18.92	-21.77	-20.35	Y	Y	1744	2920	2332	-10.35	-10.02	-10.18	Y	Y	Y	Y	Peptide & Nucleosome
Primary Screen Hit	ChemBridge 48837150	N-1H-1,2,3-benzotriazol-5-yl-2-methyl-4-(3-methylbenzyl)-3-oxopiperazine-1-carboxamide	N(CCN(C1=O)Cc2cccc(C)c2)(C1C)C(=O)Nc(ccc(c3n4)[nH]n4)c3	533.3 uM	47822	62782	55302	-9.40	-9.30	-9.35	Y	Y	12439	20555	16497	-8.78	-7.87	-8.33	Y	Y	Y	Y	Peptide & Nucleosome
