Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
C03	X	1	C03	CB20405562	100	6343	6492	6417.5	0.07424941898
D03	X	1	D03	CB72802973	100	126427	125304	125865.5	1.456243123
E03	X	1	E03	CB67346361	100	1824	1924	1874	0.02168187163
F03	X	1	F03	CB16295086	100	138	184	161	0.001862743507
G03	X	1	G03	CB83147402	100	338	392	365	0.004222989938
H03	X	1	H03	CB90512907	100	4709	4728	4718.5	0.05459226855
I03	X	1	I03	CB34843398	100	9749	9712	9730.5	0.1125802838
J03	X	1	J03	CB40551911	100	219	264	241.5	0.00279411526
K03	X	1	K03	CB49651708	100	2103	2128	2115.5	0.02447598689
L03	X	1	L03	CB97439664	100	4968	4968	4968	0.0574789425
M03	X	1	M03	CB32128362	100	2820	2840	2830	0.03274263431
N03	X	1	N03	CB63893507	100	27209	27056	27132.5	0.3139185602
C04	X	1	C03	CB20405562	10	76542	76012	76277	0.8825123383
D04	X	1	D03	CB72802973	10	95000	94364	94682	1.09545516
E04	X	1	E03	CB67346361	10	53513	53156	53334.5	0.6170713886
F04	X	1	F03	CB16295086	10	56413	56016	56214.5	0.6503925147
G04	X	1	G03	CB83147402	10	67177	66672	66924.5	0.7743054523
H04	X	1	H03	CB90512907	10	71358	70832	71095	0.8225574511
I04	X	1	I03	CB34843398	10	65716	65232	65474	0.757523406
J04	X	1	J03	CB40551911	10	49555	49220	49387.5	0.5714052481
K04	X	1	K03	CB49651708	10	52650	52268	52459	0.6069419977
L04	X	1	L03	CB97439664	10	55667	55252	55459.5	0.6416572889
M04	X	1	M03	CB32128362	10	34539	34332	34435.5	0.3984130685
N04	X	1	N03	CB63893507	10	63133	62684	62908.5	0.7278409932
C05	X	1	C03	CB20405562	1	81561	81056	81308.5	0.9407259654
D05	X	1	D03	CB72802973	1	98628	97944	98286	1.137152847
E05	X	1	E03	CB67346361	1	76994	76480	76737	0.8878344627
F05	X	1	F03	CB16295086	1	86804	86188	86496	1.000744487
G05	X	1	G03	CB83147402	1	74306	73828	74067	0.856943002
H05	X	1	H03	CB90512907	1	88721	88096	88408.5	1.022871797
I05	X	1	I03	CB34843398	1	77156	76648	76902	0.8897434855
J05	X	1	J03	CB40551911	1	83686	83088	83387	0.9647738684
K05	X	1	K03	CB49651708	1	70343	69876	70109.5	0.8111553782
L05	X	1	L03	CB97439664	1	74494	73972	74233	0.8588635947
M05	X	1	M03	CB32128362	1	62101	61684	61892.5	0.7160860404
N05	X	1	N03	CB63893507	1	70780	70308	70544	0.8161824717
C06	X	1	C03	CB20405562	0.1	87666	87032	87349	1.010613556
D06	X	1	D03	CB72802973	0.1	96372	95640	96006	1.110773622
E06	X	1	E03	CB67346361	0.1	77925	77360	77642.5	0.8983109486
F06	X	1	F03	CB16295086	0.1	89028	88352	88690	1.026128706
G06	X	1	G03	CB83147402	0.1	82744	82124	82434	0.9537478152
H06	X	1	H03	CB90512907	0.1	83999	83376	83687.5	0.9682506039
I06	X	1	I03	CB34843398	0.1	83632	83004	83318	0.9639755497
J06	X	1	J03	CB40551911	0.1	85048	84408	84728	0.9802890177
K06	X	1	K03	CB49651708	0.1	78075	77488	77781.5	0.8999191558
L06	X	1	L03	CB97439664	0.1	74882	74324	74603	0.8631444338
M06	X	1	M03	CB32128362	0.1	72554	72004	72279	0.8362561362
N06	X	1	N03	CB63893507	0.1	71161	70644	70902.5	0.8203302577
C09	X	1	C05	CB44462509	100	33	164	98.5	0.001139628791
D09	X	1	D05	CB59131084	100	14331	14256	14293.5	0.165373443
E09	X	1	E05	CB63206467	100	1433	1476	1454.5	0.01682832566
F09	X	1	F05	CB67271987	100	6754	6736	6745	0.07803854009
G09	X	1	G05	CB67730375	100	134	184	159	0.001839603836
H09	X	1	H05	CB95613023	100	19953	19828	19890.5	0.2301298119
I09	X	1	I05	CB17777655	100	5933	5952	5942.5	0.06875374714
J09	X	1	J05	CB43433036	100	1068	1144	1106	0.012796238
C10	X	1	C05	CB44462509	10	59398	59012	59205	0.6849921076
D10	X	1	D05	CB59131084	10	75397	74836	75116.5	0.8690855443
E10	X	1	E05	CB63206467	10	55440	55056	55248	0.6392102687
F10	X	1	F05	CB67271987	10	56872	56460	56666	0.6556162954
G10	X	1	G05	CB67730375	10	44104	43828	43966	0.5086793852
H10	X	1	H05	CB95613023	10	75805	75244	75524.5	0.8738060372
I10	X	1	I05	CB17777655	10	78648	78032	78340	0.9063809089
J10	X	1	J05	CB43433036	10	26181	26108	26144.5	0.3024875628
C11	X	1	C05	CB44462509	1	82673	82148	82410.5	0.9534759241
D11	X	1	D05	CB59131084	1	96182	95504	95843	1.108887739
E11	X	1	E05	CB63206467	1	80742	80200	80471	0.9310362282
F11	X	1	F05	CB67271987	1	80934	80376	80655	0.9331650779
G11	X	1	G05	CB67730375	1	82397	81824	82110.5	0.9500049734
H11	X	1	H05	CB95613023	1	88253	87648	87950.5	1.017572812
I11	X	1	I05	CB17777655	1	84268	83712	83990	0.9717504791
J11	X	1	J05	CB43433036	1	80376	79816	80096	0.9266975399
C12	X	1	C05	CB44462509	0.1	97506	96780	97143	1.123928525
D12	X	1	D05	CB59131084	0.1	93304	92612	92958	1.075508763
E12	X	1	E05	CB63206467	0.1	91577	90880	91228.5	1.055498733
F12	X	1	F05	CB67271987	0.1	82418	81812	82115	0.9500570377
G12	X	1	G05	CB67730375	0.1	90804	90112	90458	1.046584175
H12	X	1	H05	CB95613023	0.1	86463	85828	86145.5	0.9966892594
I12	X	1	I05	CB17777655	0.1	95983	95244	95613.5	1.106232461
J12	X	1	J05	CB43433036	0.1	84230	83624	83927	0.9710215795
C15	N	1	DMSO	DMSO	DMSO	89962	89308	89635	
D15	N	1	DMSO	DMSO	DMSO	96086	95344	95715	
E15	N	1	DMSO	DMSO	DMSO	82315	81708	82011.5	
F15	N	1	DMSO	DMSO	DMSO	88920	88236	88578	
G15	N	1	DMSO	DMSO	DMSO	85428	84788	85108	
H15	N	1	DMSO	DMSO	DMSO	86427	85772	86099.5	
I15	N	1	DMSO	DMSO	DMSO	84989	84356	84672.5	
J15	N	1	DMSO	DMSO	DMSO	89207	88524	88865.5	
K15	N	1	DMSO	DMSO	DMSO	83993	83368	83680.5	
L15	N	1	DMSO	DMSO	DMSO	88213	87532	87872.5	
M15	N	1	DMSO	DMSO	DMSO	77217	76648	76932.5	
N15	N	1	DMSO	DMSO	DMSO	83272	82648	82960	
C16	N	1	DMSO	DMSO	DMSO	93209	92596	92902.5	
