Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
B02	X	1	C03	Z2973968709	100	19797	19640	19718.5	0.861784887
C02	X	1	D03	Z2846909912	100	7420	7372	7396	0.3232376207
D02	X	1	E03	Z1919601756	100	9097	9040	9068.5	0.3963332022
E02	X	1	F03	Z2059611433	100	12107	12016	12061.5	0.5271404222
F02	X	1	G03	Z116401644	100	19722	19568	19645	0.8585726148
G02	X	1	H03	Z27018291	100	11671	11588	11629.5	0.5082601285
H02	X	1	I03	Z3361170311	100	11586	11508	11547	0.5046545168
I02	X	1	J03	Z1665834106	100	11331	11248	11289.5	0.4934006381
J02	X	1	K03	Z2007878939	100	17900	17756	17828	0.7791617499
K02	X	1	L03	Z1273274105	100	898	916	907	0.03963987588
L02	X	1	M03	Z27705739	100	18968	18812	18890	0.8255758053
M02	X	1	N03	Z234897125	100	10369	10300	10334.5	0.4516629518
N02	X	1	C05	Z3393334332	100	18900	18752	18826	0.8227787247
O02	X	1	D05	Z2184788502	100	11533	11460	11496.5	0.5024474455
B03	X	1	C03	Z2973968709	10	21676	21520	21598	0.9439272759
C03	X	1	D03	Z2846909912	10	6624	6600	6612	0.288973384
D03	X	1	E03	Z1919601756	10	23128	22944	23036	1.006774179
E03	X	1	F03	Z2059611433	10	9326	9284	9305	0.4066692889
F03	X	1	G03	Z116401644	10	25109	24916	25012.5	1.093155894
G03	X	1	H03	Z27018291	10	12549	12476	12512.5	0.5468510992
H03	X	1	I03	Z3361170311	10	23574	23392	23483	1.026310039
I03	X	1	J03	Z1665834106	10	8961	8920	8940.5	0.3907390411
J03	X	1	K03	Z2007878939	10	23873	23688	23780.5	1.039312093
K03	X	1	L03	Z1273274105	10	6132	6108	6120	0.2674708273
L03	X	1	M03	Z27705739	10	22865	22692	22778.5	0.9955203007
M03	X	1	N03	Z234897125	10	9036	8992	9014	0.3939513133
N03	X	1	C05	Z3393334332	10	23699	23520	23609.5	1.031838643
O03	X	1	D05	Z2184788502	10	9104	9068	9086	0.3970980289
B04	X	1	C03	Z2973968709	1	24259	24080	24169.5	1.056313098
C04	X	1	D03	Z2846909912	1	8131	8092	8111.5	0.3545081072
D04	X	1	E03	Z1919601756	1	22943	22776	22859.5	0.9990603558
E04	X	1	F03	Z2059611433	1	9935	9880	9907.5	0.43300118
F04	X	1	G03	Z116401644	1	20065	19928	19996.5	0.8739347057
G04	X	1	H03	Z27018291	1	9865	9816	9840.5	0.4300729863
H04	X	1	I03	Z3361170311	1	24223	24044	24133.5	1.05473974
I04	X	1	J03	Z1665834106	1	8326	8288	8307	0.3630523141
J04	X	1	K03	Z2007878939	1	21647	21492	21569.5	0.942681701
K04	X	1	L03	Z1273274105	1	7469	7436	7452.5	0.3257069184
L04	X	1	M03	Z27705739	1	23055	22884	22969.5	1.003867838
M04	X	1	N03	Z234897125	1	7226	7200	7213	0.3152397185
N04	X	1	C05	Z3393334332	1	23364	23192	23278	1.01735064
O04	X	1	D05	Z2184788502	1	8649	8616	8632.5	0.377278091
B05	X	1	C03	Z2973968709	0.1	23632	23440	23536	1.028626371
C05	X	1	D03	Z2846909912	0.1	6530	6504	6517	0.2848214676
D05	X	1	E03	Z1919601756	0.1	25207	24996	25101.5	1.097045584
E05	X	1	F03	Z2059611433	0.1	7865	7828	7846.5	0.3429264455
F05	X	1	G03	Z116401644	0.1	24921	24712	24816.5	1.084589834
G05	X	1	H03	Z27018291	0.1	9561	9508	9534.5	0.416699445
H05	X	1	I03	Z3361170311	0.1	25200	24992	25096	1.09680521
I05	X	1	J03	Z1665834106	0.1	7494	7460	7477	0.3267776758
