target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3888.17	0	0
NM_001103169	3832	3671.17	22	0.234384
NM_001013630	1575	1414.17	0	0
NM_000350	7325	7164.17	4	0.0218375
NM_012089	3857	3696.17	1901	20.1159
NM_002858	3616	3455.17	2473.54	28
NM_001122674	967	806.17	215.46	10.4532
NM_005158	11940	11779.2	54.317	0.180356
NM_001136001	2140	1979.17	181.594	3.58863
NM_001168237	11918	11757.2	958.127	3.18735
NM_007314	12227	12066.2	489.924	1.58807
NM_001136000	11631	11470.2	102.93	0.350979
NM_001168236	12164	12003.2	1.11195	0.00362325
NM_001168238	11855	11694.2	1.8761	0.00627475
NM_001168239	11568	11407.2	0	0
NM_000016	2603	2442.17	7604.81	121.793
NM_001127328	2615	2454.17	45.1872	0.720146
NM_030649	3759	3598.17	819	8.90249
NM_022735	3565	3404.17	3142	36.0998
NM_032360	1616	1455.17	1914	51.4443
NM_147161	3181	3020.17	0	0
NM_015547	2015	1854.17	12	0.253129
NM_181865	1430	1269.17	0.000138851	4.27896e-06
NM_181866	1414	1253.17	567.964	17.7264
NM_181864	1625	1464.17	13.8784	0.370729
NM_007274	1805	1644.17	576.09	13.7042
NM_016361	1808	1647.17	189	4.48779
NM_001100	1492	1331.17	6.07279	0.178428
NR_024438	1983	1822.17	34.0003	0.729799
NM_030812	1861	1700.17	3	0.0690142
NM_001103	4528	4367.17	3	0.0268677
NM_080431	1422	1261.17	0	0
NM_207191	2764	2603.17	90.0799	1.35343
NM_001261464	2864	2703.17	10.507	0.152025
NM_207197	2981	2820.17	0	0
NM_001261465	2836	2675.17	0	0
NM_207195	2906	2745.17	46.3301	0.660091
NR_048579	3048	2887.17	11.083	0.150139
NM_207194	2909	2748.17	0	0
NM_207196	2978	2817.17	0	0
NR_048578	3123	2962.17	0	0
NM_001261466	2226	2065.17	0	0
NM_003815	2834	2673.17	1.57258e-08	2.3009e-10
NR_048577	3120	2959.17	0	0
NM_021794	2992	2831.17	0	0
NM_005099	4332	4171.17	49.6869	0.465901
NM_025008	2893	2732.17	0	0
NM_019032	4201	4040.17	23	0.222658
NM_001025107	6540	6379.17	8069.39	49.475
NM_015840	6593	6432.17	2240.64	13.6246
NM_001193495	6709	6548.17	1400.79	8.36689
NM_015841	6536	6375.17	147.327	0.903856
NM_001111	6671	6510.17	4065.16	24.4227
NM_052998	2182	2021.17	42	0.812748
NM_020247	2924	2763.17	1565	22.1522
NM_018417	5421	5260.17	0	0
NM_001167749	4966	4805.17	8	0.0651164
NR_046083	2128	1967.17	253.593	5.04202
NM_015999	2175	2014.17	3201.41	62.1662
NM_000674	2919	2758.17	0	0
NM_001048230	2764	2603.17	2	0.0300495
NM_000677	2245	2084.17	6	0.112597
NM_020683	2150	1989.17	0	0
NM_001081976	1163	1002.17	1	0.0390273
NM_017825	1691	1530.17	1562	39.9255
NM_001126	2782	2621.17	2954	44.0783
NM_032785	2988	2827.17	11.6636	0.161358
NM_000646	7182	7021.17	162.684	0.906244
NM_000028	7449	7288.17	156.319	0.838884
NM_000643	7169	7008.17	307.941	1.71859
NM_000644	7109	6948.17	0.938961	0.0052855
NM_000642	7371	7210.17	2475.81	13.4301
NM_000645	7182	7021.17	194.309	1.08241
NM_024758	3154	2993.17	270.371	3.53296
NM_012199	7478	7317.17	2257	12.0642
NM_024852	3645	3484.17	1329.94	14.9294
NM_177422	3387	3226.17	113.06	1.37066
NM_017629	7060	6899.17	1400.9	7.94183
NM_198576	7326	7165.17	222	1.21181
NM_000029	2581	2420.17	0	0
NM_020350	1183	1022.17	174.05	6.65981
NM_001040195	1127	966.17	6.8488	0.277249
NM_001040197	1280	1119.17	83.2324	2.90875
NM_001040194	1162	1001.17	90.345	3.52944
NM_001040196	1259	1098.17	43.5234	1.55011
NM_015446	8631	8470.17	8089.48	37.3541
NM_001242673	4314	4153.17	220.341	2.07504
NM_001242676	4028	3867.17	0	0
NM_001242675	4039	3878.17	134.911	1.3606
NM_006621	3943	3782.17	2684.52	27.761
NM_001242674	3685	3524.17	302.225	3.35415
NM_001029882	6496	6335.17	297	1.83361
NM_022831	3006	2845.17	1996	27.4386
NM_001039775	5245	5084.17	49	0.376951
NM_004833	1484	1323.17	26	0.768541
NM_001042478	2070	1909.17	0	0
NM_018836	2923	2762.17	6.01145	0.0851213
NM_001625	2759	2598.17	2864.59	43.1225
NR_037592	2877	2716.17	89.549	1.28948
NM_013411	3671	3510.17	3935.61	43.8524
NM_001199199	3647	3486.17	0	0
NR_037591	3789	3628.17	308.251	3.32297
NM_013410	6881	6720.17	283.647	1.65085
NM_001005353	6998	6837.17	36.3532	0.207958
NM_203464	6887	6726.17	0.000127388	7.4075e-07
NM_012093	3936	3775.17	0	0
NM_174858	3325	3164.17	10	0.123609
NM_024595	2726	2565.17	3130.08	47.7253
NM_001136275	2591	2430.17	45.0126	0.724447
NM_152763	3063	2902.17	0	0
NR_049760	2912	2751.17	0	0
NM_006066	1580	1419.17	111.796	3.08107
NM_153326	1452	1291.17	1337.35	40.5107
NM_001202414	1491	1330.17	1344.26	39.5263
NM_001202413	1363	1202.17	429.598	13.9767
NM_003689	2619	2458.17	1775.98	28.2576
NR_002796	1324	1163.17	81	2.72365
NM_012067	1241	1080.17	38.0852	1.37903
NR_040289	2117	1956.17	108.523	2.16983
NR_040288	2314	2153.17	30.2316	0.549151
NM_005465	7082	6921.17	201.758	1.14015
NM_181690	1734	1573.17	0	0
NM_001206729	1575	1414.17	99.1034	2.74092
NM_170726	2370	2209.17	0	0
NM_001161504	3243	3082.17	8	0.101518
NM_003748	3383	3222.17	0	0
NM_000696	2500	2339.17	2877	48.1047
NM_144988	1057	896.17	303	13.224
NM_013339	3371	3210.17	1299	15.8267
NM_001127501	2431	2270.17	0	0
NM_000478	2596	2435.17	0	0
NM_001177520	2315	2154.17	4	0.0726256
NM_006492	1478	1317.17	128	3.80082
NM_020703	2471	2310.17	81	1.37136
NM_001172626	2394	2233.17	0	0
NM_000036	2406	2245.17	0	0
NM_001257361	3392	3231.17	321.195	3.88793
NM_139156	3756	3595.17	1119.44	12.1785
NM_203404	3394	3233.17	30.8661	0.37339
NM_004037	3976	3815.17	119.779	1.22794
NM_001257360	4109	3948.17	211.715	2.09732
NM_004038	1862	1701.17	4.35766e-08	1.00188e-09
NM_001008221_2	1781	1620.17	0	0
NM_004038_2	1862	1701.17	4.35766e-08	1.00188e-09
NM_004038_1	1862	1701.17	4.35766e-08	1.00188e-09
NM_001008221	1781	1620.17	0	0
NM_001008221_1	1781	1620.17	0	0
NM_001008218	1838	1677.17	1.10665	0.0258073
NM_001008218_1	1838	1677.17	1.10665	0.0258073
NM_001008218_2	1838	1677.17	1.10665	0.0258073
NM_001008219	1860	1699.17	1.78778e-07	4.11515e-09
