# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "H3K4me3.consensus_peaks.saf" "-s" "0" "-o" "H3K4me3.consensus_peaks.featureCounts.txt" "JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam" "JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam	JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam	DMSO_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam	DMSO_H3K4me3_REP2.mLb.clN.sorted.bam
Interval_1	chr1	777687	780368	+	2682	512	543	572	610	504	489
Interval_2	chr1	826536	827964	+	1429	460	459	457	488	382	420
Interval_3	chr1	869777	870271	+	495	16	23	34	18	26	15
Interval_4	chr1	904358	905570	+	1213	127	133	148	142	106	119
Interval_5	chr1	923838	924086	+	249	1	3	12	3	11	2
Interval_6	chr1	941628	942527	+	900	5	14	46	8	32	11
Interval_7	chr1	958187	961636	+	3450	1391	1397	1360	1527	1112	1286
Interval_8	chr1	966323	967301	+	979	109	114	155	126	128	103
Interval_9	chr1	976076	976594	+	519	13	9	24	11	21	9
Interval_10	chr1	1012785	1015132	+	2348	983	1012	999	1070	802	930
Interval_11	chr1	1019163	1020742	+	1580	241	277	262	242	227	230
Interval_12	chr1	1032750	1034439	+	1690	115	156	196	184	144	131
Interval_13	chr1	1040590	1040822	+	233	8	4	11	6	5	11
Interval_14	chr1	1058882	1060180	+	1299	157	189	227	193	195	132
Interval_15	chr1	1068250	1069828	+	1579	182	194	227	224	184	186
Interval_16	chr1	1115672	1117061	+	1390	369	428	463	412	382	350
Interval_17	chr1	1136860	1137590	+	731	11	10	26	11	34	10
Interval_18	chr1	1156962	1158574	+	1613	340	387	380	423	320	332
Interval_19	chr1	1229541	1233140	+	3600	1342	1338	1347	1449	1175	1218
Interval_20	chr1	1272337	1274857	+	2521	1469	1511	1425	1589	1241	1416
Interval_21	chr1	1305535	1305771	+	237	5	9	7	9	16	7
Interval_22	chr1	1306008	1310126	+	4119	1804	1770	1734	1936	1552	1627
Interval_23	chr1	1324115	1326317	+	2203	1075	1084	1036	1179	915	1026
Interval_24	chr1	1348067	1350076	+	2010	774	837	736	851	638	758
Interval_25	chr1	1373798	1376585	+	2788	1531	1520	1414	1650	1272	1390
Interval_26	chr1	1398024	1401430	+	3407	1854	1947	1918	2185	1712	1766
Interval_27	chr1	1406008	1408368	+	2361	1549	1621	1611	1751	1417	1449
Interval_28	chr1	1462148	1462786	+	639	19	19	36	26	37	24
Interval_29	chr1	1470607	1473203	+	2597	799	849	869	912	741	753
Interval_30	chr1	1505096	1505722	+	627	17	23	31	23	31	20
Interval_31	chr1	1510854	1514125	+	3272	1244	1281	1293	1388	1144	1188
Interval_32	chr1	1540701	1541004	+	304	3	10	22	4	11	12
Interval_33	chr1	1573347	1575690	+	2344	1851	1869	1814	1986	1635	1734
Interval_34	chr1	1599231	1600009	+	779	40	37	68	41	51	28
Interval_35	chr1	1600370	1600606	+	237	10	6	11	2	9	1
Interval_36	chr1	1614122	1617028	+	2907	1452	1521	1467	1598	1286	1387
Interval_37	chr1	1627447	1630181	+	2735	632	695	689	723	553	622
Interval_38	chr1	1630426	1631304	+	879	76	75	90	80	64	81
Interval_39	chr1	1658000	1660057	+	2058	459	410	424	504	365	420
Interval_40	chr1	1677771	1679056	+	1286	142	155	97	178	81	115
Interval_41	chr1	1692173	1693426	+	1254	316	341	343	391	312	315
Interval_42	chr1	1723994	1725364	+	1371	282	297	310	334	274	278
Interval_43	chr1	1737751	1738289	+	539	23	9	24	10	22	12
Interval_44	chr1	1744732	1745144	+	413	24	25	17	21	9	19
Interval_45	chr1	1745976	1746693	+	718	60	62	69	80	52	65
Interval_46	chr1	1775606	1780275	+	4670	1494	1542	1439	1704	1251	1437
Interval_47	chr1	1781865	1783052	+	1188	96	130	101	116	72	104
Interval_48	chr1	1832693	1834129	+	1437	118	109	106	124	98	91
Interval_49	chr1	1887809	1893619	+	5811	2015	2144	1888	2266	1531	1899
Interval_50	chr1	1908035	1910156	+	2122	701	759	737	822	660	731
Interval_51	chr1	1918625	1920070	+	1446	232	240	280	309	231	241
Interval_52	chr1	1942641	1944038	+	1398	107	101	126	114	94	84
Interval_53	chr1	2027796	2029033	+	1238	9	10	113	11	106	6
Interval_54	chr1	2044646	2045357	+	712	46	37	61	50	65	48
Interval_55	chr1	2049416	2051580	+	2165	594	648	650	712	552	591
Interval_56	chr1	2132784	2134009	+	1226	97	96	126	123	96	74
Interval_57	chr1	2189197	2190427	+	1231	187	202	199	229	138	186
Interval_58	chr1	2193474	2195555	+	2082	294	279	308	310	228	254
Interval_59	chr1	2205384	2205721	+	338	11	14	16	12	17	8
Interval_60	chr1	2226999	2228116	+	1118	140	150	175	138	160	117
Interval_61	chr1	2228203	2229795	+	1593	114	142	178	121	163	100
Interval_62	chr1	2314889	2315709	+	821	12	16	42	13	40	17
Interval_63	chr1	2390578	2393140	+	2563	1271	1360	1325	1482	1172	1277
Interval_64	chr1	2411604	2413920	+	2317	1250	1313	1257	1374	1069	1255
Interval_65	chr1	2524903	2527201	+	2299	778	834	729	869	658	716
Interval_66	chr1	2546314	2549483	+	3170	867	890	582	958	491	760
Interval_67	chr1	2555686	2557201	+	1516	313	327	345	352	278	303
Interval_68	chr1	2577515	2578027	+	513	13	13	14	10	22	12
Interval_69	chr1	2584977	2587909	+	2933	838	877	979	979	736	878
Interval_70	chr1	2642128	2643859	+	1732	584	626	566	675	502	527
Interval_71	chr1	3453995	3455337	+	1343	103	112	152	133	127	94
Interval_72	chr1	3611208	3611444	+	237	2	4	9	1	7	4
