target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3885.99	0	0
NM_001103169	3832	3668.99	13	0.162559
NM_001013630	1575	1411.99	0	0
NM_000350	7325	7161.99	0	0
NM_012089	3857	3693.99	773	9.60059
NM_002858	3616	3452.99	680.693	9.0442
NM_001122674	967	803.991	44.6445	2.5476
NM_005158	11940	11777	130.358	0.507827
NM_001136001	2140	1976.99	33.5922	0.779558
NM_001168237	11918	11755	45.6714	0.178253
NM_007314	12227	12064	440.179	1.67399
NM_001136000	11631	11468	12.0595	0.0482453
NM_001168236	12164	12001	416.038	1.59049
NM_001168238	11855	11692	42.3403	0.166142
NM_001168239	11568	11405	0.0790857	0.000318139
NM_000016	2603	2439.99	1022.79	19.2315
NM_001127328	2615	2451.99	64.2086	1.2014
NM_030649	3759	3595.99	243	3.10029
NM_022735	3565	3401.99	1090	14.6997
NM_032360	1616	1452.99	603	19.0401
NM_147161	3181	3017.99	2.22202	0.0337788
NM_015547	2015	1851.99	4.77798	0.118364
NM_181865	1430	1266.99	59.495	2.15438
NM_181866	1414	1250.99	105.912	3.88423
NM_181864	1625	1461.99	20.7866	0.652309
NM_007274	1805	1641.99	457.742	12.7898
NM_016361	1808	1644.99	99	2.76112
NM_001100	1492	1328.99	10.3521	0.357371
NR_024438	1983	1819.99	11.0353	0.278182
NM_030812	1861	1697.99	10	0.270196
NM_001103	4528	4364.99	0	0
NM_080431	1422	1258.99	0	0
NM_207191	2764	2600.99	0	0
NM_001261464	2864	2700.99	34.3539	0.583536
NM_207197	2981	2817.99	12.055	0.196265
NM_001261465	2836	2672.99	0	0
NM_207195	2906	2742.99	0	0
NR_048579	3048	2884.99	0	0
NM_207194	2909	2745.99	31.5028	0.526337
NM_207196	2978	2814.99	16.7048	0.272257
NR_048578	3123	2959.99	56.6122	0.877474
NM_001261466	2226	2062.99	13.2574	0.294832
NM_003815	2834	2670.99	3.2885e-06	5.64858e-08
NR_048577	3120	2956.99	76.5138	1.18715
NM_021794	2992	2828.99	0	0
