target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3890.41	0	0
NM_001103169	3832	3673.41	33	0.461646
NM_001013630	1575	1416.4	0	0
NM_000350	7325	7166.4	0	0
NM_012089	3857	3698.41	813	11.2964
NM_002858	3616	3457.41	2293.95	34.0956
NM_001122674	967	808.486	233.906	14.8674
NM_005158	11940	11781.4	392.685	1.71282
NM_001136001	2140	1981.4	81.6493	2.1176
NM_001168237	11918	11759.4	76.3948	0.333843
NM_007314	12227	12068.4	456.921	1.94561
NM_001136000	11631	11472.4	62.5686	0.280263
NM_001168236	12164	12005.4	119.861	0.513055
NM_001168238	11855	11696.4	19.0747	0.0838048
NM_001168239	11568	11409.4	333.481	1.50201
NM_000016	2603	2444.41	6933.92	145.771
NM_001127328	2615	2456.41	167.081	3.49536
NM_030649	3759	3600.41	551	7.86438
NM_022735	3565	3406.41	2282	34.4258
NM_032360	1616	1457.4	1195	42.1359
NM_147161	3181	3022.41	0	0
NM_015547	2015	1856.4	15	0.415224
NM_181865	1430	1271.4	0.000109904	4.44215e-06
NM_181866	1414	1255.4	443.186	18.1412
NM_181864	1625	1466.4	13.8996	0.487093
NM_007274	1805	1646.4	357.914	11.1714
NM_016361	1808	1649.4	85	2.64823
NM_001100	1492	1333.4	2.05375	0.0791496
NR_024438	1983	1824.4	21.605	0.608551
NM_030812	1861	1702.4	0	0
NM_001103	4528	4369.4	0	0
NM_080431	1422	1263.4	0	0
NM_207191	2764	2605.41	43.6713	0.861361
NM_001261464	2864	2705.41	10.0044	0.190029
NM_207197	2981	2822.41	0	0
NM_001261465	2836	2677.41	0	0
NM_207195	2906	2747.41	0	0
NR_048579	3048	2889.41	0	0
NM_207194	2909	2750.41	0	0
NM_207196	2978	2819.41	5.79594e-08	1.05641e-09
NR_048578	3123	2964.41	0	0
NM_001261466	2226	2067.41	14.8157	0.368265
NM_003815	2834	2675.41	0	0
NR_048577	3120	2961.41	47.5086	0.824402
NM_021794	2992	2833.41	0	0
NM_005099	4332	4173.4	65.2076	0.80292
NM_025008	2893	2734.41	7.8605	0.147724
NM_019032	4201	4042.41	16.1395	0.20517
NM_001025107	6540	6381.4	4837.33	38.9542
NM_015840	6593	6434.4	1403.25	11.207
NM_001193495	6709	6550.4	1682.56	13.1998
NM_015841	6536	6377.4	244.922	1.97355
NM_001111	6671	6512.4	3184.07	25.125
NM_052998	2182	2023.4	3	0.0761908
NM_020247	2924	2765.41	782	14.5316
NM_018417	5421	5262.4	10.9985	0.107403
NM_001167749	4966	4807.4	0.00146601	1.56708e-05
NR_046083	2128	1969.4	368.888	9.6255
NM_015999	2175	2016.4	1621.11	41.3142
NM_000674	2919	2760.41	0	0
NM_001048230	2764	2605.41	0	0
NM_000677	2245	2086.41	7	0.17241
NM_020683	2150	1991.4	0	0
NM_001081976	1163	1004.4	0	0
NM_017825	1691	1532.4	1004	33.6685
NM_001126	2782	2623.41	2495	48.873
NM_032785	2988	2829.41	15.4925	0.281377
NM_000646	7182	7023.4	205.901	1.50652
NM_000028	7449	7290.4	162.701	1.14684
NM_000643	7169	7010.4	0.902696	0.00661702
NM_000644	7109	6950.4	2.25509e-07	1.66732e-09
NM_000642	7371	7212.4	2968.67	21.1517
NM_000645	7182	7023.4	102.824	0.752336
NM_024758	3154	2995.41	267.122	4.58267
NM_012199	7478	7319.4	2077	14.5823
NM_024852	3645	3486.41	1024.73	15.1042
NM_177422	3387	3228.41	60.2685	0.959327
NM_017629	7060	6901.4	1104.07	8.221
NM_198576	7326	7167.4	110	0.788669
NM_000029	2581	2422.41	1	0.0212138
NM_020350	1183	1024.4	80.5943	4.04294
NM_001040195	1127	968.405	0	0
NM_001040197	1280	1121.4	41.498	1.90164
NM_001040194	1162	1003.4	34.8895	1.78683
NM_001040196	1259	1100.4	18.0181	0.841436
NM_015446	8631	8472.41	6332.88	38.4113
NM_001242673	4314	4155.4	46.9849	0.581044
NM_001242676	4028	3869.41	0	0
NM_001242675	4039	3880.41	95.6692	1.26695
NM_006621	3943	3784.41	1174.57	15.9495
NM_001242674	3685	3526.41	492.774	7.18091
NM_001029882	6496	6337.4	178	1.44335
NM_022831	3006	2847.41	1276	23.0285
NM_001039775	5245	5086.4	29	0.292989
NM_004833	1484	1325.4	23	0.891751
NM_001042478	2070	1911.4	0	0
NM_018836	2923	2764.41	3.00165	0.0557984
NM_001625	2759	2600.41	2501.3	49.4299
NR_037592	2877	2718.41	39.4117	0.745033
NM_013411	3671	3512.41	3705.11	54.2077
NM_001199199	3647	3488.41	0	0
NR_037591	3789	3630.41	176.175	2.49375
NM_013410	6881	6722.4	266	2.03339
NM_001005353	6998	6839.4	0	0
NM_203464	6887	6728.4	4.76538e-05	3.63956e-07
NM_012093	3936	3777.41	0	0
NM_174858	3325	3166.41	21	0.340814
NM_024595	2726	2567.41	2213.49	44.3044
NM_001136275	2591	2432.41	34.863	0.736535
NM_152763	3063	2904.41	0	0
NR_049760	2912	2753.41	0	0
NM_006066	1580	1421.4	321.374	11.6187
NM_153326	1452	1293.4	648.84	25.7791
NM_001202414	1491	1332.4	664.283	25.6201
NM_001202413	1363	1204.4	694.503	29.6323
NM_003689	2619	2460.41	1586.62	33.1383
NR_002796	1324	1165.4	66	2.91026
NM_012067	1241	1082.4	21.3778	1.01493
NR_040289	2117	1958.4	94.4442	2.4782
NR_040288	2314	2155.41	49.8385	1.18823
NM_005465	7082	6923.4	39.9801	0.296748
NM_181690	1734	1575.4	5.96313	0.194512
NM_001206729	1575	1416.4	13.4651	0.488524
NM_170726	2370	2211.41	0	0
NM_001161504	3243	3084.41	0	0
NM_003748	3383	3224.41	0	0
NM_000696	2500	2341.41	1923	42.2053
NM_144988	1057	898.405	199	11.3827
NM_013339	3371	3212.41	968	15.4849
NM_001127501	2431	2272.41	0	0
