target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3892.05	0	0
NM_001103169	3832	3675.05	20	0.262109
NM_001013630	1575	1418.05	0	0
NM_000350	7325	7168.05	0	0
NM_012089	3857	3700.05	1049	13.6547
NM_002858	3616	3459.05	963.068	13.4096
NM_001122674	967	810.053	89.7781	5.33792
NM_005158	11940	11783.1	578.922	2.36634
NM_001136001	2140	1983.05	67.3075	1.63472
NM_001168237	11918	11761.1	73.4708	0.300873
NM_007314	12227	12070.1	413.606	1.65041
NM_001136000	11631	11474.1	99.2692	0.41669
NM_001168236	12164	12007.1	107.034	0.429337
NM_001168238	11855	11698.1	17.9002	0.0736987
NM_001168239	11568	11411.1	29.2682	0.123534
NM_000016	2603	2446.05	1323.22	26.0544
NM_001127328	2615	2458.05	58.7774	1.15169
NM_030649	3759	3602.05	179	2.39341
NM_022735	3565	3408.05	1527	21.5798
NM_032360	1616	1459.05	639	21.0933
NM_147161	3181	3024.05	0	0
NM_015547	2015	1858.05	4	0.103685
NM_181865	1430	1273.05	190.605	7.21112
NM_181866	1414	1257.05	92.0848	3.52817
NM_181864	1625	1468.05	20.8721	0.68476
NM_007274	1805	1648.05	674.383	19.7083
NM_016361	1808	1651.05	118	3.4422
NM_001100	1492	1335.05	15.4492	0.557344
NR_024438	1983	1826.05	5.00003	0.131879
NM_030812	1861	1704.05	23	0.650069
NM_001103	4528	4371.05	2	0.0220373
NM_080431	1422	1265.05	0	0
NM_207191	2764	2607.05	0	0
NM_001261464	2864	2707.05	10.5501	0.187705
NM_207197	2981	2824.05	0.00825765	0.000140831
NM_001261465	2836	2679.05	0	0
NM_207195	2906	2749.05	11.8381	0.207402
NR_048579	3048	2891.05	9.54959	0.15909
NM_207194	2909	2752.05	32.2373	0.56418
NM_207196	2978	2821.05	34.9469	0.596639
NR_048578	3123	2966.05	130.302	2.11586
NM_001261466	2226	2069.05	12.6491	0.294445
NM_003815	2834	2677.05	0	0
NR_048577	3120	2963.05	25.9189	0.4213
NM_021794	2992	2835.05	0	0
NM_005099	4332	4175.05	66.4353	0.766394
NM_025008	2893	2736.05	8.02343	0.141238
NM_019032	4201	4044.05	26.9766	0.321281
NM_001025107	6540	6383.05	6131.86	46.2678
NM_015840	6593	6436.05	3068.43	22.9621
NM_001193495	6709	6552.05	452.794	3.32842
NM_015841	6536	6379.05	183.438	1.385
NM_001111	6671	6514.05	2.50444	0.0185172
NM_052998	2182	2025.05	1	0.0237836
NM_020247	2924	2767.05	983	17.11
NM_018417	5421	5264.05	0	0
NM_001167749	4966	4809.05	3	0.0300453
NR_046083	2128	1971.05	115.104	2.81258
NM_015999	2175	2018.05	1030.9	24.6035
NM_000674	2919	2762.05	0	0
NM_001048230	2764	2607.05	1	0.0184742
NM_000677	2245	2088.05	12.2251	0.281985
NM_020683	2150	1993.05	4.7749	0.115388
NM_001081976	1163	1006.05	0	0
NM_017825	1691	1534.05	145	4.55242
NM_001126	2782	2625.05	2317	42.5111
NM_032785	2988	2831.05	7.26336	0.123568
NM_000646	7182	7025.05	37.942	0.260127
NM_000028	7449	7292.05	71.6889	0.473497
NM_000643	7169	7012.05	9.46951e-08	6.50425e-10
NM_000644	7109	6952.05	0	0
NM_000642	7371	7214.05	1118.72	7.46893
NM_000645	7182	7025.05	34.6458	0.237529
NM_024758	3154	2997.05	156.179	2.50982
NM_012199	7478	7321.05	1196	7.86815
NM_024852	3645	3488.05	212.123	2.929
NM_177422	3387	3230.05	13.8773	0.206923
NM_017629	7060	6903.05	256.57	1.79011
NM_198576	7326	7169.05	209	1.4041
NM_000029	2581	2424.05	2	0.0397377
NM_020350	1183	1026.05	89.4746	4.19996
NM_001040195	1127	970.053	0	0
NM_001040197	1280	1123.05	32.1432	1.37849
NM_001040194	1162	1005.05	10.6368	0.509724
NM_001040196	1259	1102.05	3.74547	0.163689
NM_015446	8631	8474.05	6843.18	38.8939
NM_001242673	4314	4157.05	19.1485	0.221852
NM_001242676	4028	3871.05	0	0
NM_001242675	4039	3882.05	42.7462	0.530336
NM_006621	3943	3786.05	1310.25	16.668
NM_001242674	3685	3528.05	95.8506	1.3085
NM_001029882	6496	6339.05	352	2.67444
NM_022831	3006	2849.05	1635	27.6396
NM_001039775	5245	5088.05	3	0.0283978
NM_004833	1484	1327.05	745	27.0385
NM_001042478	2070	1913.05	0	0
NM_018836	2923	2766.05	17.0762	0.297335
NM_001625	2759	2602.05	392.944	7.27327
NR_037592	2877	2720.05	12.6308	0.223649
NM_013411	3671	3514.05	1039.46	14.2467
NM_001199199	3647	3490.05	0	0
NR_037591	3789	3632.05	89.9391	1.19265
NM_013410	6881	6724.05	1424.84	10.2059
NM_001005353	6998	6841.05	214.496	1.51012
NM_203464	6887	6730.05	416.694	2.98204
NM_012093	3936	3779.05	0	0
NM_174858	3325	3168.05	3	0.0456083
NM_024595	2726	2569.05	1239.72	23.2416
NM_001136275	2591	2434.05	32.3711	0.640534
NM_152763	3063	2906.05	0	0
NR_049760	2912	2755.05	0	0
NM_006066	1580	1423.05	502.48	17.0064
NM_153326	1452	1295.05	30.0098	1.11607
NM_001202414	1491	1334.05	125.317	4.5243
NM_001202413	1363	1206.05	723.193	28.8804
NM_003689	2619	2462.05	606.964	11.8735
NR_002796	1324	1167.05	34	1.40315
NM_012067	1241	1084.05	16.095	0.71508
NR_040289	2117	1960.05	23.6471	0.581065
NR_040288	2314	2157.05	43.798	0.977932
NM_005465	7082	6925.05	683.229	4.7518
NM_181690	1734	1577.05	16.0596	0.490459
NM_001206729	1575	1418.05	132.165	4.48888
NM_170726	2370	2213.05	0	0
NM_001161504	3243	3086.05	0	0
NM_003748	3383	3226.05	317	4.73263
NM_000696	2500	2343.05	965	19.8363
NM_144988	1057	900.053	80	4.28092
NM_013339	3371	3214.05	357	5.34971
NM_001127501	2431	2274.05	0	0
NM_000478	2596	2439.05	817.604	16.1449
NM_001177520	2315	2158.05	7.39644	0.165073
NM_006492	1478	1321.05	12	0.437498
NM_020703	2471	2314.05	21	0.43708
NM_001172626	2394	2237.05	0	0
NM_000036	2406	2249.05	0	0
NM_001257361	3392	3235.05	94.5988	1.40838
NM_139156	3756	3599.05	539.227	7.21602
NM_203404	3394	3237.05	68.2256	1.01511
NM_004037	3976	3819.05	91.6425	1.15573
NM_001257360	4109	3952.05	75.3064	0.91775
NM_004038	1862	1705.05	2.26442e-08	6.39639e-10
NM_001008221_2	1781	1624.05	0	0
NM_004038_2	1862	1705.05	2.26442e-08	6.39639e-10
NM_004038_1	1862	1705.05	2.26442e-08	6.39639e-10
NM_001008221	1781	1624.05	0	0
NM_001008221_1	1781	1624.05	0	0
NM_001008218	1838	1681.05	0.341515	0.0097846
NM_001008218_1	1838	1681.05	0.341515	0.0097846
NM_001008218_2	1838	1681.05	0.341515	0.0097846
NM_001008219	1860	1703.05	8.89797e-08	2.51639e-09
NM_001008219_2	1860	1703.05	8.89797e-08	2.51639e-09
NM_001008219_1	1860	1703.05	8.89797e-08	2.51639e-09
NM_000699	1632	1475.05	0	0
NM_020978	2179	2022.05	48.9755	1.16654
NM_144567	4649	4492.05	824.052	8.83537
NM_004673	3546	3389.05	64	0.909529
NM_014495	2126	1969.05	4	0.0978402
NM_021146	2238	2081.05	17	0.393442
NM_030816	5667	5510.05	903	7.89309
NR_046228	1744	1587.05	9.77149	0.296541
NM_001039888	3612	3455.05	92	1.28247
NM_144698	3363	3206.05	0	0
NR_026844	1850	1693.05	552.15	15.7073
NM_198493	2671	2514.05	3.09171	0.0592297
NM_001145210	2192	2035.05	61.9391	1.4659
NM_001243536	1632	1475.05	40.7617	1.33094
NM_001243535	1651	1494.05	266.782	8.60013
NM_001136479	3129	2972.05	1039.4	16.8438
NM_030920	3453	3296.05	3062.89	44.7561
NM_001136478	3330	3173.05	27.7103	0.420609
NM_003568	1824	1667.05	6	0.173347
NM_006594	2790	2633.05	24.0255	0.439468
NM_001253852	2722	2565.05	495.307	9.30022
NM_001253853	2662	2505.05	23.281	0.44761
NR_037864	1734	1577.05	70.4895	2.15275
NM_001639	931	774.053	0	0
NM_016022	2266	2109.05	1762.12	40.2404
NM_001243771	2095	1938.05	46.3384	1.15157
NR_045035	2192	2035.05	0	0
NR_045033	2130	1973.05	78.3329	1.91214
NM_001243772	1718	1561.05	0	0
NM_001077628	1928	1771.05	273.305	7.43244
NR_045034	2021	1864.05	5.90753	0.152638
NR_036462	1431	1274.05	165.039	6.23899
NM_199294	1243	1086.05	68.9792	3.05902
NR_037187	1349	1192.05	0	0
NM_199006	1252	1095.05	0	0
NM_001243768	1383	1226.05	0	0
NM_198544	1319	1162.05	0	0
NM_001270517	1496	1339.05	20.9255	0.752648
NM_144772	1121	964.053	744	37.1695
NM_001643	473	316.187	0	0
NM_203454	2778	2621.05	13	0.238881
NM_080429	1791	1634.05	0	0
NM_001658	1888	1731.05	8878.53	247.028
NM_001024227	2007	1850.05	14.8807	0.387396
NM_001024228	1985	1828.05	0	0
NM_001024226	1973	1816.05	25.5901	0.67867
NM_004815	9117	8960.05	10	0.0537532
NM_001025598	4425	4268.05	1726.1	19.4783
NM_181720	3792	3635.05	338.9	4.4903
NM_001011722	4261	4104.05	0	0
NM_018125	4494	4337.05	0	0
NM_014784	6769	6612.05	134.834	0.982151
NM_198236	6889	6732.05	447.166	3.19916
NM_014448	2904	2747.05	5	0.0876633
NM_153213	3029	2872.05	20	0.335392
NM_001162384	4179	4022.05	977.786	11.7088
NM_004723	4107	3950.05	141.859	1.7297
NM_001162383	4182	4025.05	2018.35	24.1513
NM_006015	8585	8428.05	3608	20.6184
NM_139135	7934	7777.05	0	0
NM_001206794	5946	5789.05	0	0
NM_031371	5809	5652.05	38.2632	0.326054
NM_016374	6067	5910.05	640.737	5.22159
NM_001256129	1727	1570.05	48.1487	1.47701
NM_138795	1795	1638.05	552.851	16.2553
NM_001197325	4839	4682.05	212.217	2.18302
NM_178427	4842	4685.05	44.9353	0.461943
NM_001668	4887	4730.05	665.848	6.77991
NM_005717	2077	1920.05	7807.76	195.852
NM_001270439	2086	1929.05	201.236	5.02432
NM_057090	1944	1787.05	0	0
NM_057091	1920	1763.05	0	0
NM_001136215	1795	1638.05	2	0.0588054
NM_022786	1445	1288.05	488	18.2474
NM_017707	4129	3972.05	0.00562407	6.81947e-05
NM_001143778	4102	3945.05	15.9944	0.195267
NR_026546	1045	888.053	0	0
NM_080868	1107	950.053	0	0
NM_001270601	1420	1263.05	0	0
NM_018489	11774	11617.1	2719.54	11.2749
NR_027023	1964	1807.05	102.459	2.73084
NM_018136	10888	10731.1	4456.19	20.0003
NM_001206846	6133	5976.05	797.808	6.42982
NM_004319	7314	7157.05	0	0
NM_207108	3885	3728.05	0	0
NM_001170536	2332	2175.05	169.793	3.75981
NM_018188	2646	2489.05	446.804	8.64565
NM_001170535	2502	2345.05	709.308	14.5679
NM_031921	2433	2276.05	844.865	17.878
NM_001039211	3859	3702.05	125.409	1.63155
NM_001206486	1997	1840.05	0	0
NM_001040619	2387	2230.05	84.335	1.82141
NM_001206488	2052	1895.05	93.7053	2.38154
NM_001206484	2035	1878.05	0	0
NM_001674	2075	1918.05	547.992	13.7603
NM_001030287	1922	1765.05	10.9675	0.29927
NM_007348	7546	7389.05	1251.88	8.15996
NM_032852	2724	2567.05	306.061	5.74232
NM_178221	2676	2519.05	197.939	3.78451
NM_022089	3996	3839.05	157.006	1.96974
NM_001141974	3694	3537.05	14.6775	0.199859
NM_001141973	3981	3824.05	133.316	1.67909
NM_001160233	3765	3608.05	256.646	3.42591
NM_000701	3741	3584.05	9802.22	131.724
NM_001160234	3574	3417.05	1067.95	15.0527
NR_024126	887	730.053	4.54478	0.299829
NR_024125	1828	1671.05	25.3526	0.730712
NR_027646	562	405.114	3.06173	0.364003
NR_027645	668	511.114	8.11319	0.764519
NR_024124	1552	1395.05	11.1027	0.383311
NM_000702	5457	5300.05	3.05357	0.0277487
NM_001001734	886	729.053	1	0.0660626
NM_144699	3847	3690.05	0	0
NM_001677	2200	2043.05	1522.42	35.8896
NM_001001396	8920	8763.05	27.6111	0.151755
NM_001684	8742	8585.05	246.389	1.38227
NM_001688	2101	1944.05	2999.58	74.3134
NM_004047	1022	865.053	864.916	48.1555
NM_001039457	973	816.053	39.0843	2.30674
NM_133262	632	475.114	1	0.101372
NM_133326	678	521.114	0	0
NM_001005855	1516	1359.05	78.3682	2.77727
NM_020452	5858	5701.05	708.463	5.98518
NM_001256418	1781	1624.05	59.8947	1.77625
NM_001243728	1690	1533.05	72.6406	2.28211
NM_001042546	1625	1468.05	14.3703	0.471453
NM_022745	1829	1672.05	835.094	24.0547
NM_178191	1925	1768.05	57.3458	1.56215
NM_178190	617	460.114	19.8026	2.07287
NM_016311	541	384.154	205.852	25.8085
NM_153340	2382	2225.05	251	5.43311
NM_024037	2061	1904.05	73.8599	1.86829
NM_001127229	909	752.053	95.5246	6.11761
NM_001127230	812	655.053	45.7117	3.36098
NM_017900	990	833.053	644.764	37.2772
NR_001587	1537	1380.05	125.462	4.37856
NM_000707	1773	1616.05	2	0.0596059
NR_073544	3375	3218.05	0	0
NM_144696	3642	3485.05	3	0.0414598
NM_152490	4720	4563.05	331.705	3.50115
NM_003783	3548	3391.05	21	0.298263
NM_080605	2792	2635.05	441	8.06054
NM_001005417	2004	1847.05	390.022	10.1701
NM_003780	2204	2047.05	193.766	4.55892
NM_030587	2005	1848.05	37.2127	0.969822
NM_001199874	2344	2187.05	13.3502	0.293998
NM_003779	2394	2237.05	547.866	11.7954
NM_001199873	2415	2258.05	217.784	4.64522
NM_001703	5415	5258.05	71	0.650352
NM_020063	1496	1339.05	0	0
NM_018664	981	824.053	235	13.735
NM_198427	2858	2701.05	2.70782	0.0482838
NM_021948	3470	3313.05	10.2922	0.149621
NM_003567	3185	3028.05	788.427	12.5404
NM_001261408	3222	3065.05	104.965	1.64939
NM_001261409	3208	3051.05	78.5846	1.24052
NM_001261410	2875	2718.05	34.8935	0.618304
NM_005872	1301	1144.05	658	27.7009
NM_003921	3104	2947.05	1124.36	18.3752
NM_001010922	4973	4816.05	60.6899	0.606932
NM_004326	6276	6119.05	602	4.73835
NM_024603	1328	1171.05	55	2.26204
NM_153274	2096	1939.05	36	0.894186
NM_199173	545	388.154	1.71723	0.213078
NM_003666	2316	2159.05	302.994	6.75904
NM_181809	5626	5469.05	129.39	1.13947
NM_001720	3773	3616.05	180.161	2.39962
NM_138278	2160	2003.05	24.8216	0.596831
NM_001159642	2412	2255.05	8.94862	0.191124
NM_016074	857	700.053	0	0
NM_006085	2461	2304.05	494.952	10.3463
NM_001242810	3703	3546.05	6.01134	0.0816472
NM_001242807	3015	2858.05	0	0
NM_001726	3142	2985.05	0	0
NM_001242805	3416	3259.05	0	0
NM_001242806	3359	3202.05	0	0
