chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr6	44072397	44079174	901.9	-2	7.221e-86	2.929e-81
chr1	109622796	109625985	456.8	-2.7	2.205e-82	9.932e-79
chr7	1022838	1030809	1382.6	-1.4	7.110e-83	9.932e-79
chr11	10302466	10310981	2286.7	-1.1	3.681e-82	1.068e-78
chr4	2792718	2795125	469.4	2.5	6.236e-79	2.740e-75
chr12	57214600	57220116	1784.7	-1.1	3.087e-69	9.149e-66
chr11	111434731	111437207	567.3	-2.1	1.138e-67	4.119e-64
chr12	57454562	57456724	336.8	2.9	1.398e-62	2.408e-59
chr14_GL000225v1_random	71185	73388	300.5	3	2.489e-62	3.812e-59
chr2	218878463	218884875	1599.1	-1.1	6.141e-60	1.086e-56
chr14_GL000225v1_random	57956	60238	315	2.5	3.921e-54	4.864e-51
chr11	566924	569909	1184.3	-1.2	7.485e-50	1.738e-46
chr14	61747877	61752334	467.9	-2.1	4.222e-49	8.228e-46
chr2	231680077	231687360	1488.1	-1.1	2.035e-48	1.687e-45
chr8	95070889	95073835	1113.8	-1.1	5.839e-47	1.579e-43
chr8	81731432	81733051	497.9	1.6	3.657e-43	5.022e-40
chr17	82228089	82232349	872.2	-1.2	7.793e-42	1.278e-38
chr14_GL000225v1_random	23219	25203	243.3	2.5	6.789e-41	4.821e-38
chr6	36678353	36681213	1007.5	1.1	7.399e-41	1.580e-37
chr7	155739521	155749943	1076.5	-1.2	4.332e-40	6.036e-37
chr3	42192628	42196513	394.9	1.8	6.289e-39	4.086e-36
chr19	1449058	1450723	204.1	2.7	3.363e-38	2.043e-35
chr10	86389180	86393410	654.4	-1.3	1.664e-37	5.324e-34
chr7	994538	998313	194.9	-2.7	4.591e-35	2.445e-32
chr3	169660816	169663775	245.7	2.2	7.302e-35	3.719e-32
chr7	1065352	1067283	170.7	-3.1	1.149e-34	5.651e-32
chr3	48553997	48558316	801.6	-1.1	1.814e-34	2.815e-31
chr7	130959487	130961652	446.9	1.7	8.651e-34	3.823e-31
