target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3901.97	0	0
NM_001103169	3832	3684.97	8	0.07758
NM_001013630	1575	1427.97	0	0
NM_000350	7325	7177.97	0	0
NM_012089	3857	3709.97	1191	11.4719
NM_002858	3616	3468.97	982.69	10.123
NM_001122674	967	820.058	157.418	6.8597
NM_005158	11940	11793	798.598	2.41991
NM_001136001	2140	1992.97	0	0
NM_001168237	11918	11771	5.95488	0.0180782
NM_007314	12227	12080	529.433	1.56617
NM_001136000	11631	11484	8.20387	0.0255283
NM_001168236	12164	12017	11.3952	0.0338861
NM_001168238	11855	11708	0.111253	0.000339567
NM_001168239	11568	11421	357.565	1.11878
NM_000016	2603	2455.97	5952	86.6031
NM_001127328	2615	2467.97	0	0
NM_030649	3759	3611.97	356	3.52208
NM_022735	3565	3417.97	1153	12.0547
NM_032360	1616	1468.97	2993	72.8093
NM_147161	3181	3033.97	0	0
NM_015547	2015	1867.97	2	0.0382608
NM_181865	1430	1282.97	0.000112457	3.13228e-06
NM_181866	1414	1266.97	1871.55	52.7873
NM_181864	1625	1477.97	0	0
NM_007274	1805	1657.97	572.446	12.3382
NM_016361	1808	1660.97	149	3.20566
NM_001100	1492	1344.97	0	0
NR_024438	1983	1835.97	0	0
NM_030812	1861	1713.97	6	0.125095
NM_001103	4528	4380.97	10	0.0815687
NM_080431	1422	1274.97	0	0
NM_207191	2764	2616.97	0	0
NM_001261464	2864	2716.97	219.667	2.88918
NM_207197	2981	2833.97	14.9374	0.188353
NM_001261465	2836	2688.97	0.0333034	0.000442585
NM_207195	2906	2758.97	0	0
NR_048579	3048	2900.97	78.2744	0.964208
NM_207194	2909	2761.97	214.108	2.77018
NM_207196	2978	2830.97	97.9626	1.23657
NR_048578	3123	2975.97	2.39446	0.0287524
NM_001261466	2226	2078.97	32.6711	0.561577
NM_003815	2834	2686.97	946.952	12.5939
NR_048577	3120	2972.97	0	0
NM_021794	2992	2844.97	0	0
NM_005099	4332	4184.97	1.02268	0.00873255
NM_025008	2893	2745.97	2.72488	0.0354605
NM_019032	4201	4053.97	29.2751	0.258055
NM_001025107	6540	6392.97	13026.7	72.8161
NM_015840	6593	6445.97	2072.15	11.4875
NM_001193495	6709	6561.97	255.48	1.39129
NM_015841	6536	6388.97	0	0
NM_001111	6671	6523.97	1375.06	7.53186
NM_052998	2182	2034.97	22	0.38633
NM_020247	2924	2776.97	1522	19.5856
NM_018417	5421	5273.97	0	0
NM_001167749	4966	4818.97	3	0.0222465
NR_046083	2128	1980.97	215.069	3.87966
NM_015999	2175	2027.97	2662.93	46.9237
NM_000674	2919	2771.97	0	0
NM_001048230	2764	2616.97	0	0
NM_000677	2245	2097.97	21	0.357696
NM_020683	2150	2002.97	0	0
NM_001081976	1163	1015.97	0	0
NM_017825	1691	1543.97	1194	27.635
NM_001126	2782	2634.97	2115	28.6833
NM_032785	2988	2840.97	0	0
NM_000646	7182	7034.97	0	0
NM_000028	7449	7301.97	0	0
NM_000643	7169	7021.97	33.9094	0.172566
NM_000644	7109	6961.97	21.9621	0.112729
NM_000642	7371	7223.97	677.128	3.34957
NM_000645	7182	7034.97	0	0
NM_024758	3154	3006.97	559.577	6.65004
NM_012199	7478	7330.97	926	4.51381
NM_024852	3645	3497.97	288	2.94219
NM_177422	3387	3239.97	0	0
NM_017629	7060	6912.97	328.571	1.69847
NM_198576	7326	7178.97	298	1.48337
NM_000029	2581	2433.97	0	0
NM_020350	1183	1035.97	187.1	6.45386
NM_001040195	1127	979.974	0	0
NM_001040197	1280	1132.97	0.55537	0.0175169
NM_001040194	1162	1014.97	16.6857	0.587466
NM_001040196	1259	1111.97	25.6589	0.824589
NM_015446	8631	8483.97	2331.93	9.82226
NM_001242673	4314	4166.97	0	0
NM_001242676	4028	3880.97	0	0
NM_001242675	4039	3891.97	0	0
NM_006621	3943	3795.97	676.801	6.37136
NM_001242674	3685	3537.97	577.199	5.82995
NM_001029882	6496	6348.97	1920	10.8067
NM_022831	3006	2858.97	5163	64.5337
NM_001039775	5245	5097.97	6	0.0420579
NM_004833	1484	1336.97	591	15.7964
NM_001042478	2070	1922.97	0	0
NM_018836	2923	2775.97	0	0
NM_001625	2759	2611.97	2024.61	27.6991
NR_037592	2877	2729.97	16.805	0.219976
NM_013411	3671	3523.97	11127.8	112.842
NM_001199199	3647	3499.97	26.1664	0.267161
NR_037591	3789	3641.97	382.649	3.75455
NM_013410	6881	6733.97	2006.69	10.6489
NM_001005353	6998	6850.97	265.307	1.38386
