target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3884.83	0	0
NM_001103169	3832	3667.83	22	0.195109
NM_001013630	1575	1410.83	0	0
NM_000350	7325	7160.83	0	0
NM_012089	3857	3692.83	1151	10.1386
NM_002858	3616	3451.83	1042.49	9.82391
NM_001122674	967	802.825	54.5577	2.21054
NM_005158	11940	11775.8	214.518	0.592563
NM_001136001	2140	1975.83	37.1594	0.611762
NM_001168237	11918	11753.8	80.4188	0.222557
NM_007314	12227	12062.8	862.546	2.32592
NM_001136000	11631	11466.8	17.8055	0.0505095
NM_001168236	12164	11999.8	590.46	1.60058
NM_001168238	11855	11690.8	53.3713	0.148499
NM_001168239	11568	11403.8	8.51915	0.0243001
NM_000016	2603	2438.83	1594.43	21.266
NM_001127328	2615	2450.83	44.5715	0.591571
NM_030649	3759	3594.83	212	1.91832
NM_022735	3565	3400.83	1773	16.9585
NM_032360	1616	1451.83	805	18.0361
NM_147161	3181	3016.83	0	0
NM_015547	2015	1850.83	8	0.1406
NM_181865	1430	1265.83	187.523	4.81883
NM_181866	1414	1249.83	294.012	7.65205
NM_181864	1625	1460.83	6.78662	0.151118
NM_007274	1805	1640.83	701.578	13.9084
NM_016361	1808	1643.83	148	2.92866
NM_001100	1492	1327.83	16.6593	0.408111
NR_024438	1983	1818.83	15.0304	0.268808
NM_030812	1861	1696.83	23	0.440913
NM_001103	4528	4363.83	3	0.0223623
NM_080431	1422	1257.83	0	0
NM_207191	2764	2599.83	0	0
NM_001261464	2864	2699.83	38.2729	0.461124
NM_207197	2981	2816.83	30.552	0.35281
NM_001261465	2836	2671.83	0	0
NM_207195	2906	2741.83	0	0
NR_048579	3048	2883.83	0	0
NM_207194	2909	2744.83	49.9544	0.592
NM_207196	2978	2813.83	39.3248	0.454603
NR_048578	3123	2958.83	100.797	1.10813
NM_001261466	2226	2061.83	26.3591	0.415854
NM_003815	2834	2669.83	0	0
NR_048577	3120	2955.83	127.74	1.40576
NM_021794	2992	2827.83	0	0
NM_005099	4332	4167.83	116.012	0.905433
NM_025008	2893	2728.83	15.57	0.185599
NM_019032	4201	4036.83	48.43	0.390244
NM_001025107	6540	6375.83	3945.79	20.1307
NM_015840	6593	6428.83	3737.61	18.9115
NM_001193495	6709	6544.83	1312.62	6.52383
NM_015841	6536	6371.83	222.892	1.13787
NM_001111	6671	6506.83	2217.22	11.0842
NM_052998	2182	2017.83	3	0.0483615
NM_020247	2924	2759.83	1195	14.0847
NM_018417	5421	5256.83	0	0
NM_001167749	4966	4801.83	1	0.00677417
NR_046083	2128	1963.83	113.109	1.87351
NM_015999	2175	2010.83	1346.89	21.7882
NM_000674	2919	2754.83	2	0.0236156
NM_001048230	2764	2599.83	0	0
NM_000677	2245	2080.83	22	0.343914
NM_020683	2150	1985.83	0	0
NM_001081976	1163	998.825	2	0.0651333
NM_017825	1691	1526.83	206	4.38874
NM_001126	2782	2617.83	2630	32.6796
NM_032785	2988	2823.83	3.27407	0.0377148
NM_000646	7182	7017.83	16.8203	0.0779641
NM_000028	7449	7284.83	60.107	0.268391
NM_000643	7169	7004.83	0	0
NM_000644	7109	6944.83	0	0
NM_000642	7371	7206.83	1240.14	5.59744
NM_000645	7182	7017.83	47.9313	0.222167
NM_024758	3154	2989.83	231.904	2.52305
NM_012199	7478	7313.83	1484	6.60012
NM_024852	3645	3480.83	247.927	2.31688
NM_177422	3387	3222.83	14.0727	0.142038
NM_017629	7060	6895.83	347.17	1.63764
NM_198576	7326	7161.83	320	1.45341
NM_000029	2581	2416.83	0	0
NM_020350	1183	1018.83	118.234	3.7749
NM_001040195	1127	962.825	12.9812	0.438561
NM_001040197	1280	1115.83	41.5373	1.21089
NM_001040194	1162	997.825	8.19328	0.267095
NM_001040196	1259	1094.83	3.05419	0.0907431
NM_015446	8631	8466.83	7929.91	30.4656
NM_001242673	4314	4149.83	31.9907	0.250758
NM_001242676	4028	3863.83	0	0
NM_001242675	4039	3874.83	30.8544	0.259016
NM_006621	3943	3778.83	1728.79	14.8815
NM_001242674	3685	3520.83	26.3676	0.243606
NM_001029882	6496	6331.83	422	2.16793
NM_022831	3006	2841.83	1911	21.8739
NM_001039775	5245	5080.83	0	0
NM_004833	1484	1319.83	816	20.1111
NM_001042478	2070	1905.83	0	0
NM_018836	2923	2758.83	13.0641	0.154034
NM_001625	2759	2594.83	544.824	6.82984
NR_037592	2877	2712.83	18.2468	0.21879
NM_013411	3671	3506.83	1236.7	11.4713
NM_001199199	3647	3482.83	0	0
NR_037591	3789	3624.83	108.256	0.971463
NM_013410	6881	6716.83	1515.41	7.33885
NM_001005353	6998	6833.83	197.677	0.940926
NM_203464	6887	6722.83	649.687	3.14351
NM_012093	3936	3771.83	0	0
NM_174858	3325	3160.83	2	0.0205822
NM_024595	2726	2561.83	1663.9	21.1271
NM_001136275	2591	2426.83	32.0983	0.430235
NM_152763	3063	2898.83	0	0
NR_049760	2912	2747.83	0	0
NM_006066	1580	1415.83	394.696	9.06807
NM_153326	1452	1287.83	302.313	7.63593
NM_001202414	1491	1326.83	383.632	9.4051
NM_001202413	1363	1198.83	662.359	17.9722
NM_003689	2619	2454.83	735.763	9.74944
NR_002796	1324	1159.83	35	0.981607
NM_012067	1241	1076.83	37.1438	1.12203
NR_040289	2117	1952.83	101.554	1.69159
NR_040288	2314	2149.83	8.55157	0.129391
NM_005465	7082	6917.83	751.115	3.53183
NM_181690	1734	1569.83	29.7961	0.617405
NM_001206729	1575	1410.83	175.63	4.04937
NM_170726	2370	2205.83	21.629	0.318954
NM_001161504	3243	3078.83	29.4147	0.310772
NM_003748	3383	3218.83	349.956	3.53654
NM_000696	2500	2335.83	1108	15.4298
NM_144988	1057	892.825	74	2.69605
NM_013339	3371	3206.83	396	4.01682
NM_001127501	2431	2266.83	34.8672	0.500336
