target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3883.46	0	0
NM_001103169	3832	3666.46	21	0.186953
NM_001013630	1575	1409.46	0	0
NM_000350	7325	7159.46	0	0
NM_012089	3857	3691.46	743	6.56977
NM_002858	3616	3450.46	707.892	6.69653
NM_001122674	967	801.456	51.9713	2.11662
NM_005158	11940	11774.5	244.973	0.679104
NM_001136001	2140	1974.46	84.8145	1.40211
NM_001168237	11918	11752.5	160.49	0.445736
NM_007314	12227	12061.5	400.008	1.0825
NM_001136000	11631	11465.5	94.1739	0.268101
NM_001168236	12164	11998.5	93.336	0.253912
NM_001168238	11855	11689.5	35.422	0.0989094
NM_001168239	11568	11402.5	1.49736e-05	4.28633e-08
NM_000016	2603	2437.46	1129.59	15.1267
NM_001127328	2615	2449.46	68.4093	0.911601
NM_030649	3759	3593.46	447	4.06027
NM_022735	3565	3399.46	1133	10.8788
NM_032360	1616	1450.46	772	17.3729
NM_147161	3181	3015.46	3	0.0324734
NM_015547	2015	1849.46	7	0.123542
NM_181865	1430	1264.46	54.0038	1.39405
NM_181866	1414	1248.46	80.9938	2.11757
NM_181864	1625	1459.46	6.03509	0.134975
NM_007274	1805	1639.46	427.52	8.5117
NM_016361	1808	1642.46	140	2.78223
NM_001100	1492	1326.46	18.003	0.443008
NR_024438	1983	1817.46	18.0474	0.324123
NM_030812	1861	1695.46	8	0.154015
NM_001103	4528	4362.46	1	0.00748218
NM_080431	1422	1256.46	0	0
NM_207191	2764	2598.46	0	0
NM_001261464	2864	2698.46	9.42596	0.114017
NM_207197	2981	2815.46	27.9768	0.324346
NM_001261465	2836	2670.46	3.05418e-07	3.73309e-09
NM_207195	2906	2740.46	3.43409e-05	4.09023e-07
NR_048579	3048	2882.46	25.4095	0.287735
NM_207194	2909	2743.46	44.1843	0.52569
NM_207196	2978	2812.46	9.91877e-08	1.15115e-09
NR_048578	3123	2957.46	60.897	0.672105
NM_001261466	2226	2060.46	8.38847	0.132886
NM_003815	2834	2668.46	0	0
NR_048577	3120	2954.46	88.718	0.980152
NM_021794	2992	2826.46	0	0
NM_005099	4332	4166.46	72.3307	0.56665
NM_025008	2893	2727.46	0	0
NM_019032	4201	4035.46	39	0.315451
NM_001025107	6540	6374.46	2405.12	12.3155
NM_015840	6593	6427.46	1884.01	9.56763
NM_001193495	6709	6543.46	842.082	4.20055
NM_015841	6536	6370.46	33.2846	0.170542
NM_001111	6671	6505.46	1280.77	6.42618
NM_052998	2182	2016.46	35	0.566551
NM_020247	2924	2758.46	995	11.7738
NM_018417	5421	5255.46	0	0
NM_001167749	4966	4800.46	1	0.0067995
NR_046083	2128	1962.46	91.0504	1.5144
NM_015999	2175	2009.46	831.95	13.5138
NM_000674	2919	2753.46	10	0.118544
NM_001048230	2764	2598.46	0	0
NM_000677	2245	2079.46	19	0.298238
NM_020683	2150	1984.46	0	0
NM_001081976	1163	997.456	2	0.0654479
NM_017825	1691	1525.46	106	2.26812
NM_001126	2782	2616.46	1353	16.8789
NM_032785	2988	2822.46	4.33777	0.0501648
NM_000646	7182	7016.46	0	0
NM_000028	7449	7283.46	78.2844	0.35083
NM_000643	7169	7003.46	22.8818	0.106644
NM_000644	7109	6943.46	0.358599	0.00168575
NM_000642	7371	7205.46	815.536	3.69438
NM_000645	7182	7016.46	11.9389	0.0555401
NM_024758	3154	2988.46	168.235	1.8375
NM_012199	7478	7312.46	1041	4.64672
NM_024852	3645	3479.46	242.263	2.27267
NM_177422	3387	3221.46	9.73679	0.0986558
NM_017629	7060	6894.46	311.494	1.47472
NM_198576	7326	7160.46	707	3.22284
NM_000029	2581	2415.46	0	0
NM_020350	1183	1017.46	64.5006	2.06922
NM_001040195	1127	961.456	10.5267	0.357372
NM_001040197	1280	1114.46	19.9728	0.584972
NM_001040194	1162	996.456	1.2518e-08	4.1005e-10
NM_001040196	1259	1093.46	2.17063e-08	6.47954e-10
NM_015446	8631	8465.46	3909.08	15.0724
NM_001242673	4314	4148.46	120.188	0.945654
NM_001242676	4028	3862.46	0	0
NM_001242675	4039	3873.46	25.0066	0.210725
NM_006621	3943	3777.46	1218.42	10.5282
NM_001242674	3685	3519.46	42.3885	0.393126
NM_001029882	6496	6330.46	533	2.74822
NM_022831	3006	2840.46	1207	13.8701
NM_001039775	5245	5079.46	3	0.0192781
NM_004833	1484	1318.46	512	12.6755
NM_001042478	2070	1904.46	2	0.0342782
NM_018836	2923	2757.46	4.01908	0.0475749
NM_001625	2759	2593.46	338.387	4.25887
NR_037592	2877	2711.46	20.895	0.251535
NM_013411	3671	3505.46	400.02	3.72475
NM_001199199	3647	3481.46	12.7442	0.119485
NR_037591	3789	3623.46	50.1223	0.45151
NM_013410	6881	6715.46	947.48	4.60526
NM_001005353	6998	6832.46	95.1911	0.454757
NM_203464	6887	6721.46	229.004	1.11209
NM_012093	3936	3770.46	0	0
NM_174858	3325	3159.46	2	0.0206622
NM_024595	2726	2560.46	1052.52	13.4175
NM_001136275	2591	2425.46	13.2046	0.177702
NM_152763	3063	2897.46	0	0
NR_049760	2912	2746.46	0	0
NM_006066	1580	1414.46	364.183	8.40407
NM_153326	1452	1286.46	177.299	4.49853
NM_001202414	1491	1325.46	174.247	4.291
NM_001202413	1363	1197.46	443.271	12.0829
NM_003689	2619	2453.46	630.148	8.38347
NR_002796	1324	1158.46	22	0.619873
NM_012067	1241	1075.46	19.3175	0.586297
NR_040289	2117	1951.46	35.0759	0.58669
NR_040288	2314	2148.46	45.2775	0.687884
NM_005465	7082	6916.46	530.524	2.50369
NM_181690	1734	1568.46	11.3344	0.235877
NM_001206729	1575	1409.46	256.211	5.93342
NM_170726	2370	2204.46	0	0
NM_001161504	3243	3077.46	20.0046	0.212176
NM_003748	3383	3217.46	218.995	2.22168
NM_000696	2500	2334.46	855	11.9547
NM_144988	1057	891.456	48	1.75752
NM_013339	3371	3205.46	209	2.12822
NM_001127501	2431	2265.46	8.96455	0.129161
NM_000478	2596	2430.46	395.047	5.30543
NM_001177520	2315	2149.46	5.98837	0.0909367
NM_006492	1478	1312.46	21	0.522269
NM_020703	2471	2305.46	37	0.523847
NM_001172626	2394	2228.46	0.996201	0.0145916
NM_000036	2406	2240.46	0.00379921	5.53499e-05
NM_001257361	3392	3226.46	71.5256	0.723594
NM_139156	3756	3590.46	433.578	3.94164
NM_203404	3394	3228.46	8.0998	0.0818915
NM_004037	3976	3810.46	94.81	0.81215
NM_001257360	4109	3943.46	52.987	0.438583
NM_004038	1862	1696.46	2.80321e-07	5.39352e-09
NM_001008221_2	1781	1615.46	0	0
NM_004038_2	1862	1696.46	2.80321e-07	5.39352e-09
NM_004038_1	1862	1696.46	2.80321e-07	5.39352e-09
NM_001008221	1781	1615.46	0	0
NM_001008221_1	1781	1615.46	0	0
NM_001008218	1838	1672.46	0.731993	0.014286
NM_001008218_1	1838	1672.46	0.731993	0.014286
NM_001008218_2	1838	1672.46	0.731993	0.014286
NM_001008219	1860	1694.46	9.52609e-07	1.83503e-08
NM_001008219_2	1860	1694.46	9.52609e-07	1.83503e-08
NM_001008219_1	1860	1694.46	9.52609e-07	1.83503e-08
NM_000699	1632	1466.46	0	0
NM_020978	2179	2013.46	64.804	1.05056
NM_144567	4649	4483.46	707.914	5.1538
NM_004673	3546	3380.46	66	0.637277
NM_014495	2126	1960.46	10	0.166495
NM_021146	2238	2072.46	21	0.330745
NM_030816	5667	5501.46	838	4.97194
NR_046228	1744	1578.46	35.4265	0.732579
NM_001039888	3612	3446.46	62	0.58719
NM_144698	3363	3197.46	0	0
NR_026844	1850	1684.46	476.221	9.22802
NM_198493	2671	2505.46	16.3458	0.212951
NM_001145210	2192	2026.46	94.0862	1.51547
NM_001243536	1632	1466.46	0	0
NM_001243535	1651	1485.46	355.328	7.80782
NM_001136479	3129	2963.46	163.843	1.80463
NM_030920	3453	3287.46	1385.16	13.753
NM_001136478	3330	3164.46	0	0
NM_003568	1824	1658.46	12	0.236177
NM_006594	2790	2624.46	97.5506	1.21325
NM_001253852	2722	2556.46	298.572	3.81215
NM_001253853	2662	2496.46	8.87804	0.116079
NR_037864	1734	1568.46	67.9391	1.41386
NM_001639	931	765.456	0	0
NM_016022	2266	2100.46	964.675	14.9909
NM_001243771	2095	1929.46	25.9468	0.438943
NR_045035	2192	2026.46	0	0
NR_045033	2130	1964.46	86.7587	1.44155
NM_001243772	1718	1552.46	0	0
NM_001077628	1928	1762.46	281.168	5.20723
NR_045034	2021	1855.46	12.4519	0.21905
NR_036462	1431	1265.46	98.6313	2.54406
NM_199294	1243	1077.46	47.9727	1.4533
NR_037187	1349	1183.46	0	0
NM_199006	1252	1086.46	2.85602	0.0858042
NM_001243768	1383	1217.46	0	0
NM_198544	1319	1153.46	0	0
NM_001270517	1496	1330.46	5.59924	0.137369
NM_144772	1121	955.456	441	15.0656
NM_001643	473	308.362	0	0
NM_203454	2778	2612.46	19	0.237391
NM_080429	1791	1625.46	3	0.0602428
NM_001658	1888	1722.46	5816.4	110.221
NM_001024227	2007	1841.46	188.493	3.34112
NM_001024228	1985	1819.46	54.0417	0.969497
NM_001024226	1973	1807.46	117.069	2.11414
NM_004815	9117	8951.46	9	0.0328177
NM_001025598	4425	4259.46	1714.09	13.1353
NM_181720	3792	3626.46	27.9085	0.251196
NM_001011722	4261	4095.46	0	0
NM_018125	4494	4328.46	10	0.0754096
NM_014784	6769	6603.46	123.433	0.610125
NM_198236	6889	6723.46	704.567	3.4205
NM_014448	2904	2738.46	32	0.38142
NM_153213	3029	2863.46	55	0.626948
NM_001162384	4179	4013.46	639.035	5.19716
NM_004723	4107	3941.46	200.302	1.65878
NM_001162383	4182	4016.46	1713.66	13.9265
NM_006015	8585	8419.46	2590.05	10.0412
NM_139135	7934	7768.46	88.9475	0.37373
NM_001206794	5946	5780.46	14.2919	0.0807027
NM_031371	5809	5643.46	74.7786	0.432505
NM_016374	6067	5901.46	638.93	3.53389
NM_001256129	1727	1561.46	5.48815	0.114724
NM_138795	1795	1629.46	642.512	12.8706
NM_001197325	4839	4673.46	23.4422	0.163727
NM_178427	4842	4676.46	317.713	2.21757
NM_001668	4887	4721.46	495.844	3.42791
NM_005717	2077	1911.46	4669.26	79.734
NM_001270439	2086	1920.46	78.7359	1.33822
NM_057090	1944	1778.46	4.56229e-06	8.37335e-08
NM_057091	1920	1754.46	6	0.111627
NM_001136215	1795	1629.46	0	0
NM_022786	1445	1279.46	294	7.50035
NM_017707	4129	3963.46	0.0166797	0.000137364
NM_001143778	4102	3936.46	19.9833	0.1657
NR_026546	1045	879.456	0	0
NM_080868	1107	941.456	1	0.0346704
NM_001270601	1420	1254.46	2	0.0520396
NM_018489	11774	11608.5	3296.72	9.26973
NR_027023	1964	1798.46	130.658	2.37135
NM_018136	10888	10722.5	1380.88	4.2036
NM_001206846	6133	5967.46	302.117	1.65252
NM_004319	7314	7148.46	0	0
NM_207108	3885	3719.46	0	0
NM_001170536	2332	2166.46	113.65	1.7123
NM_018188	2646	2480.46	365.421	4.80863
NM_001170535	2502	2336.46	285.708	3.99139
NM_031921	2433	2267.46	680.915	9.80197
NM_001039211	3859	3693.46	150.392	1.32908
NM_001206486	1997	1831.46	0	0
NM_001040619	2387	2221.46	135.641	1.99302
NM_001206488	2052	1886.46	892.628	15.4448
NM_001206484	2035	1869.46	0	0
NM_001674	2075	1909.46	462.499	7.90607
NM_001030287	1922	1756.46	4.23133	0.078632
NM_007348	7546	7380.46	1020.35	4.51257
NM_032852	2724	2558.46	285.784	3.64602
NM_178221	2676	2510.46	84.2162	1.09497
NM_022089	3996	3830.46	250.139	2.13152
NM_001141974	3694	3528.46	36.458	0.337262
NM_001141973	3981	3815.46	28.403	0.242984
NM_001160233	3765	3599.46	540.224	4.89887
NM_000701	3741	3575.46	6142.58	56.0762
NM_001160234	3574	3408.46	87.6939	0.83979
NR_024126	887	721.456	8.3763	0.378967
NR_024125	1828	1662.46	30.9596	0.607861
NR_027646	562	396.815	14.5818	1.19945
NR_027645	668	502.635	8.58165	0.557286
NR_024124	1552	1386.46	0.000432289	1.01772e-05
NM_000702	5457	5291.46	18.7038	0.115375
NM_001001734	886	720.456	2	0.0906112
NM_144699	3847	3681.46	0	0
NM_001677	2200	2034.46	1101.71	17.6758
NM_001001396	8920	8754.46	15.9211	0.0593615
NM_001684	8742	8576.46	392.079	1.49219
NM_001688	2101	1935.46	1608.57	27.1279
NM_004047	1022	856.456	790.517	30.1277
NM_001039457	973	807.456	68.4834	2.76838
NM_133262	632	466.73	4	0.279739
NM_133326	678	512.635	0	0
NM_001005855	1516	1350.46	63.5536	1.5361
NM_020452	5858	5692.46	626.215	3.59073
NM_001256418	1781	1615.46	21.0836	0.425999
NM_001243728	1690	1524.46	0	0
NM_001042546	1625	1459.46	28.1733	0.630096
NM_022745	1829	1663.46	687.743	13.495
NM_178191	1925	1759.46	53.3284	0.989326
NM_178190	617	451.73	10.2113	0.737838
NM_016311	541	375.932	121.46	10.5459
NM_153340	2382	2216.46	223	3.28402
NM_024037	2061	1895.46	61.518	1.05937
NM_001127229	909	743.456	120.463	5.28882
NM_001127230	812	646.523	14.3625	0.725114
NM_017900	990	824.456	563.174	22.2964
NR_001587	1537	1371.46	163.77	3.89772
NM_000707	1773	1607.46	5	0.101529
NR_073544	3375	3209.46	4.47038	0.0454645
NM_144696	3642	3476.46	3.52962	0.0331398
NM_152490	4720	4554.46	297.411	2.13148
NM_003783	3548	3382.46	27	0.26055
NM_080605	2792	2626.46	375	4.66037
NM_001005417	2004	1838.46	77.3003	1.37242
NM_003780	2204	2038.46	194.677	3.11726
NM_030587	2005	1839.46	68.0223	1.20704
NM_001199874	2344	2178.46	11.7155	0.175538
NM_003779	2394	2228.46	341.321	4.9994
NM_001199873	2415	2249.46	188.964	2.74196
NM_001703	5415	5249.46	260	1.61666
NM_020063	1496	1330.46	0	0
NM_018664	981	815.456	156	6.2443
NM_198427	2858	2692.46	0	0
NM_021948	3470	3304.46	27	0.2667
NM_003567	3185	3019.46	474.405	5.12837
NM_001261408	3222	3056.46	85.3035	0.910979
NM_001261409	3208	3042.46	104.906	1.12547
NM_001261410	2875	2709.46	28.2924	0.340837
NM_005872	1301	1135.46	420	12.0736
NM_003921	3104	2938.46	1110.6	12.3366
NM_001010922	4973	4807.46	66.5765	0.452028
NM_004326	6276	6110.46	437	2.33436
NM_024603	1328	1162.46	57	1.60051
NM_153274	2096	1930.46	34	0.574882
NM_199173	545	379.932	8.12298	0.697861
NM_003666	2316	2150.46	348.211	5.28531
NM_181809	5626	5460.46	176.767	1.05665
NM_001720	3773	3607.46	1587.2	14.3612
NM_138278	2160	1994.46	46.7746	0.7655
NM_001159642	2412	2246.46	17.829	0.259053
NM_016074	857	691.456	2	0.0944115
NM_006085	2461	2295.46	430.701	6.12445
NM_001242810	3703	3537.46	19.3239	0.178305
NM_001242807	3015	2849.46	0	0
NM_001726	3142	2976.46	0	0
NM_001242805	3416	3250.46	0	0
NM_001242806	3359	3193.46	0	0
NM_001242808	3209	3043.46	0	0
NM_207189	3347	3181.46	0	0
NM_144695	1681	1515.46	571	12.2985
NM_001143888	2909	2743.46	17.5993	0.209391
NM_001143890	2573	2407.46	10.0546	0.136322
NM_001143889	2690	2524.46	22.8692	0.295694
NM_018045	2858	2692.46	237.477	2.87894
NM_057176	1370	1204.46	2	0.0541999
NM_001136537	1572	1406.46	512	11.8824
NM_183242	1447	1281.46	28	0.713204
NM_152265	4643	4477.46	341.42	2.48895
NM_001243767	4441	4275.46	78.1603	0.59671
NM_001136497	4576	4410.46	83.2553	0.616152
NM_006763	2711	2545.46	7599	97.4429
NM_015991	1098	932.456	0	0
NM_000491	1044	878.456	0	0
NM_172369	1168	1002.46	0	0
NM_001114101	1191	1025.46	0	0
NM_001012970	574	408.815	0	0
NM_001276349	401	237.584	5	0.686929
NM_001276348	478	313.331	0	0
NM_001130957	3194	3028.46	0	0
NM_001242340	3042	2876.46	4.97225	0.0564228
NM_173807	3036	2870.46	10.0278	0.114028
NM_139240	985	819.456	0	0
